"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"RV2792_07-01-2011_Serengeti.fasta","Cosmopolitan_G1","Tanzania",2010,2013
"RV2799_29-01-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"RV3075_31-01-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"RV2794_12-01-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"RV2810_23-04-2010_Morogoro.fasta","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"RV2896_19-08-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"RV2789_22-10-2010_Serengeti.fasta","Cosmopolitan AF1b_B1.1","Tanzania",2010,2018
"RV2894_15-08-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2858_21-02-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2867_22-05-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2870_01-06-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2873_20-06-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2879_10-06-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2893_01-08-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2890_03-08-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2891_10-08-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2882_23-07-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2892_12-08-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2906_09-09-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3114_06-05-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2883_23-07-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3048_17-09-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3049_04-10-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3131_07-07-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3135_19-07-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3136_16-07-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3150_24-03-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3084_22-08-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3052_13-11-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3053_10-11-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3113_06-05-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2793_02-01-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3110_30-04-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3137_21-07-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2878_03-07-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2887_25-07-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2889_04-08-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3134_19-07-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2885_24-07-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3064_02-01-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2895_18-08-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3115_11-05-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3119_17-05-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3051_13-10-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3067_25-02-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3082_03-09-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2808_04-04-2010_Morogoro.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3066_22-02-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV3111_29-04-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2500_23-11-2008_Serengeti.fasta","Cosmopolitan AF1b_B1.1.1","Tanzania",2010,2013
"RV2483_28-09-2008_Serengeti.fasta","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"RV2489_17-01-2009_Serengeti.fasta","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"RV2490_07-08-2008_Serengeti.fasta","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"RV2491_02-08-2008_Serengeti.fasta","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"RV2493_31-07-2008_Serengeti.fasta","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"RV2501_14-02-2004_Serengeti.fasta","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"RV3128_16-06-2012_Serengeti.fasta","Cosmopolitan AF1b_B1","Tanzania",2004,2012
"RV3117_12-05-2012_Serengeti.fasta","Cosmopolitan AF1b_B1","Tanzania",2004,2012
"SD670_11-04-2017_Serengeti.fasta","Cosmopolitan AF1b_B1","Tanzania",2004,2012
"RV3132_02-04-2012_Serengeti.fasta","Cosmopolitan AF1b_B1","Tanzania",2004,2012
"RV3050_02-09-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3138_16-07-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3070_27-02-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2909_12-11-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2786_20-06-2010_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2797_30-01-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2798_31-01-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2868_06-06-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2897_02-09-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3088_25-04-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2796_19-01-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2880_02-07-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV2859_01-03-2011_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3123_26-04-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3129_25-06-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3145_08-08-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3130_28-06-2012_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3073_18-02-2013_Serengeti.fasta","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
