"","x"
"1",8
"2",42.4943893235177
"3",14.6494600642473
"4",11.9208124019206
"5",26
"6",66
"7",76
"8",79
"9",71
"10",202
"11",13.919620802626
"12",9.29455175809562
"13",16
"14",15.3887597462149
"15",5
"16",8.36217593215406
"17",10.0136323049664
"18",15.757717801258
"19",13.6631410326809
"20",39
"21",59
"22",20.5152790360153
"23",27.6354267783463
"24",26.3514912072569
"25",12.9748936984688
"26",9.42989785037935
"27",19
"28",27.2287521678954
"29",10
"30",4
"31",7
"32",34.8867699354887
"33",38
"34",115.194227509201
"35",25.1161572188139
"36",13.8112339470536
"37",3.45041305571795
"38",23
"39",14.3056602180004
"40",27
"41",21
"42",32
"43",10
"44",21
"45",5
"46",6
"47",7
"48",13
"49",22
"50",29
"51",22
"52",3
"53",53
"54",3
"55",4.61740897782147
"56",12
"57",79
"58",17
"59",7.34866596013308
"60",7.65508224070072
"61",3
"62",9
"63",12
"64",23
"65",17
"66",33
"67",13.6492733489722
"68",8.01755376718938
"69",39.5251984894276
"70",3
"71",9.7981005590409
"72",1
"73",5.82185381092131
"74",42
"75",14
"76",35
"77",13.5712601672858
"78",44
"79",25
"80",34.0479761250317
"81",22.0429628565907
"82",16.2235582713038
"83",9
"84",20.575702842325
"85",5.8811353109777
"86",5
"87",243.04729193449
"88",60
"89",3.19783619791269
"90",4
"91",3
"92",3
"93",12.4548321850598
"94",49.8141894116998
"95",3.99355743080378
"96",7.61675396189094
"97",8.43269097991288
"98",14
"99",27.98082135804
"100",7.47262916527689
"101",3.44700752943754
"102",6.37223019450903
"103",25
"104",18.683434844017
"105",18.4717346634716
"106",21.0492041464895
"107",20.2793386504054
"108",21.2352458760142
"109",19.6914784479886
"110",11.604031862691
"111",1
"112",19
"113",5
"114",3
"115",7.63425691798329
"116",9
"117",9
"118",6.52178365364671
"119",22
"120",28
"121",23
"122",13
"123",42
"124",33.1044312436134
"125",21.5422261096537
"126",27.8489124085754
"127",29.0738300997764
"128",10.5795199591666
"129",10.7993530947715
"130",17
"131",20.0366954393685
"132",6.19271697476506
"133",12.2178333550692
"134",32.6794791501015
"135",21.9577518869191
"136",35
"137",35
"138",15
"139",16.5255162641406
"140",17.0613334421068
"141",26
"142",24.3432508669794
"143",14.6573493983597
"144",12.2529995199293
"145",8.2932178452611
"146",15
"147",3
"148",10.6772695891559
"149",13.9532017875463
"150",12.6858870871365
"151",11.8148427419364
"152",9.25943959876895
"153",401.218968490139
"154",16.3292934726924
"155",16.4468254856765
"156",16.1743233129382
"157",13.9720012713224
"158",18
"159",3
"160",3
"161",13.7132950089872
"162",10.3226047977805
"163",22.4759713858366
"164",1
"165",12.9233901910484
"166",22.2411662079394
"167",19.5003375858068
"168",17.7757782507688
"169",23.2438927795738
"170",22.7770381364971
"171",5
"172",25.4167926609516
"173",29.8559229988605
"174",13
"175",13
"176",10
"177",13
"178",15.7341777347028
"179",23.7257462944835
"180",12
"181",4
"182",15.9408725257963
"183",12.4425134398043
"184",11.8208062388003
"185",9
"186",30.4750859942287
"187",29.01697136648
"188",30.9770479481667
"189",30.6374192405492
"190",30.4534208662808
"191",11.8335139602423
"192",6.20713532157242
"193",11.4114187192172
"194",15
"195",6.34611774235964
"196",38.6542465351522
"197",44.307268133387
"198",29
"199",15.7287695426494
"200",61
"201",10
