AncId,Desc,Branch.Length,Clock.Rate
154,RV2859_01-03-2011_Serengeti.fasta,31.74551,0.0001
154,RV2868_06-06-2011_Serengeti.fasta,128.745355,0.0001
155,RV2897_02-09-2011_Serengeti.fasta,138.73066,0.0001
155,RV2880_02-07-2011_Serengeti.fasta,76.730665,0.0001
156,154,126.110785,0.0002
156,155,204.125155,0.0001
157,RV2798_31-01-2011_Serengeti.fasta,50.077635,0.0001
157,RV2797_30-01-2011_Serengeti.fasta,49.077535,0.0001
158,RV3129_25-06-2012_Serengeti.fasta,54.068545,0.0001
158,RV3130_28-06-2012_Serengeti.fasta,57.06045,0.0001
159,158,111.261855,0.0001
159,RV3123_26-04-2012_Serengeti.fasta,105.49449,0.0001
160,159,155.136315,0.0001
160,RV3132_02-04-2012_Serengeti.fasta,236.696295,0.001
161,RV3145_08-08-2012_Serengeti.fasta,555.272675,0.0001
161,160,190.926025,0.0002
162,157,223.363575,0.0001
162,161,272.567765,0.0003
163,RV3050_02-09-2012_Serengeti.fasta,134.565645,0.0002
163,RV3138_16-07-2012_Serengeti.fasta,86.696625,0.0001
164,RV3070_27-02-2013_Serengeti.fasta,408.506175,0.0003
164,163,96.271305,0.0001
165,164,167.19336,0.0002
165,RV2909_12-11-2011_Serengeti.fasta,103.699785,0.0001
166,165,351.27746,0.0003
166,RV3088_25-04-2013_Serengeti.fasta,983.97722,0.0001
167,RV3073_18-02-2013_Serengeti.fasta,85.67134,0.0001
167,RV3085_06-09-2013_Serengeti.fasta,285.671265,0.0001
168,167,568.64591,0.0002
168,RV2888_29-07-2011_Serengeti.fasta,85.31729,0.0001
169,RV2786_20-06-2010_Serengeti.fasta,74.688125,0.0001
169,168,393.37072,0.0002
170,166,200.864245,0.0001
170,169,71.1531,0.0001
171,162,227.11322,0.0001
171,170,129.713335,0.0001
172,171,40.470835,0.0001
172,RV2796_19-01-2011_Serengeti.fasta,529.02516,0.0003
173,156,527.3155,0.0003
173,172,115.14655,0.0001
