"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"1",NA,NA,NA,NA
"2","Generation",0.01,0.1,0.79150545593992
"3","Generation",0.01,0.2,0.356337068687748
"4","Generation",0.01,0.5,0.671119242342909
"5","Generation",0.01,1,0.436186697698069
"6","Generation",0.01,2,0.42790229020444
"7","Generation",0.01,0.05,0.115778920455929
"8","Generation",0.01,0.15,0.265402121632042
"9","Generation",0.01,0.25,0.777644720471839
"10","Generation",0.01,0.75,0.831939489846534
"11","Generation",0.01,1.5,0.944460111762636
"12","Generation",0.01,3,0.885180126784306
"13","Clock Rate",0.01,0.1,0.773296089682972
"14","Clock Rate",0.01,0.2,0.415390804454015
"15","Clock Rate",0.01,0.5,0.879524720907943
"16","Clock Rate",0.01,1,0.760139463875386
"17","Clock Rate",0.01,2,0.946610774389089
"18","Clock Rate",0.01,0.05,0.195950222437656
"19","Clock Rate",0.01,0.15,0.734531480628816
"20","Clock Rate",0.01,0.25,0.7399647593454
"21","Clock Rate",0.01,0.75,0.775271650688875
"22","Clock Rate",0.01,1.5,0.962164289960098
"23","Clock Rate",0.01,3,0.990458029198824
"24","Generation",0.05,0.1,0.546975007207962
"25","Generation",0.05,0.2,0.521854095007777
"26","Generation",0.05,0.5,0.764231249356915
"27","Generation",0.05,1,0.663525978827415
"28","Generation",0.05,2,0.456621070370442
"29","Generation",0.05,0.05,0.252454774498446
"30","Generation",0.05,0.15,0.625031569453684
"31","Generation",0.05,0.25,0.656311916183187
"32","Generation",0.05,0.75,0.666352088917935
"33","Generation",0.05,1.5,0.845234812780312
"34","Generation",0.05,3,0.83886057593899
"35","Clock Rate",0.05,0.1,0.392619937854331
"36","Clock Rate",0.05,0.2,0.743109974816475
"37","Clock Rate",0.05,0.5,0.640953734313643
"38","Clock Rate",0.05,1,0.919540187108861
"39","Clock Rate",0.05,2,0.959168905830801
"40","Clock Rate",0.05,0.05,0.463213411227342
"41","Clock Rate",0.05,0.15,0.665771784018007
"42","Clock Rate",0.05,0.25,0.793952693590926
"43","Clock Rate",0.05,0.75,0.658046329224581
"44","Clock Rate",0.05,1.5,0.892025013183825
"45","Clock Rate",0.05,3,0.956644916555969
"46","Generation",0.1,0.1,0.45471610083154
"47","Generation",0.1,0.2,0.553552187650888
"48","Generation",0.1,0.5,0.779381754805885
"49","Generation",0.1,1,0.659608698443837
"50","Generation",0.1,2,0.473879697483691
"51","Generation",0.1,0.05,0.102622792931727
"52","Generation",0.1,0.15,0.198207078586686
"53","Generation",0.1,0.25,0.693743572069174
"54","Generation",0.1,0.75,0.758597849681839
"55","Generation",0.1,1.5,0.926806079207
"56","Generation",0.1,3,0.873356178758348
"57","Clock Rate",0.1,0.1,0.289477549872255
"58","Clock Rate",0.1,0.2,0.376409028689524
"59","Clock Rate",0.1,0.5,0.856791761462772
"60","Clock Rate",0.1,1,0.911022060758268
"61","Clock Rate",0.1,2,0.961008909710964
"62","Clock Rate",0.1,0.05,0.298303577103047
"63","Clock Rate",0.1,0.15,0.739566052273665
"64","Clock Rate",0.1,0.25,0.790155485740031
"65","Clock Rate",0.1,0.75,0.699883538186472
"66","Clock Rate",0.1,1.5,0.899500467150291
"67","Clock Rate",0.1,3,0.962077279449452
"68","Generation",0.2,0.1,0.497417711232172
"69","Generation",0.2,0.2,0.585677312321857
"70","Generation",0.2,0.5,0.766655040135516
"71","Generation",0.2,1,0.704849421747251
"72","Generation",0.2,2,0.452369403334784
"73","Generation",0.2,0.05,0.122361413815219
"74","Generation",0.2,0.15,0.300762499700754
"75","Generation",0.2,0.25,0.658730230498538
"76","Generation",0.2,0.75,0.795371506403801
"77","Generation",0.2,1.5,0.856881141449621
"78","Generation",0.2,3,0.819921715132157
"79","Clock Rate",0.2,0.1,0.202311638885568
"80","Clock Rate",0.2,0.2,0.435126292167821
"81","Clock Rate",0.2,0.5,0.827250162107184
"82","Clock Rate",0.2,1,0.88807313899033
"83","Clock Rate",0.2,2,0.953903721531978
"84","Clock Rate",0.2,0.05,0.327326945518796
"85","Clock Rate",0.2,0.15,0.749862131912468
"86","Clock Rate",0.2,0.25,0.777137058767411
"87","Clock Rate",0.2,0.75,0.734203824931479
"88","Clock Rate",0.2,1.5,0.940784913877296
"89","Clock Rate",0.2,3,0.960854987516671
"90","Generation",0.01,0.1,0.453905515219987
"91","Generation",0.01,0.2,0.186886792280654
"92","Generation",0.01,0.5,0.806170273472638
"93","Generation",0.01,1,0.854829067038026
