"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"2","Generation",0.01,0.1,0.79150545593992
"3","Clock Rate",0.01,0.1,0.773296089682972
"4","Clock Rate",0.01,0.2,0.415390804454015
"5","Clock Rate",0.01,0.5,0.879524720907943
"6","Clock Rate",0.01,1,0.760139463875386
"7","Clock Rate",0.01,2,0.946610774389089
"8","Clock Rate",0.01,0.05,0.195950222437656
"9","Clock Rate",0.01,0.15,0.734531480628816
"10","Clock Rate",0.01,0.25,0.7399647593454
"11","Clock Rate",0.01,0.75,0.775271650688875
"12","Clock Rate",0.01,1.5,0.962164289960098
"13","Clock Rate",0.01,3,0.990458029198824
"14","Generation",0.01,0.2,0.356337068687748
"15","Clock Rate",0.01,0.1,0.773296089682972
"16","Clock Rate",0.01,0.2,0.415390804454015
"17","Clock Rate",0.01,0.5,0.879524720907943
"18","Clock Rate",0.01,1,0.760139463875386
"19","Clock Rate",0.01,2,0.946610774389089
"20","Clock Rate",0.01,0.05,0.195950222437656
"21","Clock Rate",0.01,0.15,0.734531480628816
"22","Clock Rate",0.01,0.25,0.7399647593454
"23","Clock Rate",0.01,0.75,0.775271650688875
"24","Clock Rate",0.01,1.5,0.962164289960098
"25","Clock Rate",0.01,3,0.990458029198824
"26","Generation",0.01,0.5,0.671119242342909
"27","Clock Rate",0.01,0.1,0.773296089682972
"28","Clock Rate",0.01,0.2,0.415390804454015
"29","Clock Rate",0.01,0.5,0.879524720907943
"30","Clock Rate",0.01,1,0.760139463875386
"31","Clock Rate",0.01,2,0.946610774389089
"32","Clock Rate",0.01,0.05,0.195950222437656
"33","Clock Rate",0.01,0.15,0.734531480628816
"34","Clock Rate",0.01,0.25,0.7399647593454
"35","Clock Rate",0.01,0.75,0.775271650688875
"36","Clock Rate",0.01,1.5,0.962164289960098
"37","Clock Rate",0.01,3,0.990458029198824
"38","Generation",0.01,1,0.436186697698069
"39","Clock Rate",0.01,0.1,0.773296089682972
"40","Clock Rate",0.01,0.2,0.415390804454015
"41","Clock Rate",0.01,0.5,0.879524720907943
"42","Clock Rate",0.01,1,0.760139463875386
"43","Clock Rate",0.01,2,0.946610774389089
"44","Clock Rate",0.01,0.05,0.195950222437656
"45","Clock Rate",0.01,0.15,0.734531480628816
