"","trueSNPRate","predictedSNPRate","accuracy","clockRate","no_cases","percent_sampled"
"1",0.1,0.254319901008732,0.933422741375357,7.94273250671347e-07,8.16,0.01
"2",0.1,0.117239298718874,0.159046948250848,3.62916088173489e-07,40.8,0.05
"3",0.1,0.124639327930955,0.220254004038256,3.80691508361907e-07,81.6,0.1
"4",0.1,0.0891018677102403,-0.115389889775467,2.72478361547176e-07,163.2,0.2
"5",0.1,0.0777178290887352,-0.252085494335064,2.41016884647321e-07,5.68,0.01
"6",0.1,0.10104410839832,0.0103869523351828,3.12573729606368e-07,28.4,0.05
"7",0.1,0.124258615979409,0.217194820483134,3.89548763627112e-07,56.8,0.1
"8",0.1,0.0824848309654834,-0.192555776638131,2.51517121394154e-07,113.6,0.2
"9",0.1,0.0865853305452661,-0.144039778010088,2.68042916564049e-07,124.34,0.01
"10",0.1,0.0893715803095562,-0.112367447976638,2.77169371705695e-07,621.7,0.05
"11",0.1,0.0930086995269581,-0.072477153909112,2.86488794951401e-07,1243.4,0.1
"12",0.1,0.211579757158012,0.749431843814947,6.62307617009303e-07,2486.8,0.2
"13",0.1,0.115380922531949,0.143068838405406,3.48500098950582e-07,15.65,0.01
"14",0.1,0.118433035361911,0.169177512425405,3.6978375645324e-07,78.25,0.05
"15",0.1,0.0858086825329434,-0.153049989591395,2.65386682431412e-07,156.5,0.1
"16",0.1,0.0995016597895025,-0.00499586066114259,3.07298362679099e-07,313,0.2
"17",0.1,0.0980134416371018,-0.0200655571607692,3.04427554651981e-07,38.39,0.01
"18",0.1,0.08777548813028,-0.1303879027952,2.720439123449e-07,191.95,0.05
"19",0.1,0.105890803146134,0.0572382181467632,3.27603496299385e-07,383.9,0.1
"20",0.1,0.0924856376935947,-0.0781168217024179,2.85278612587695e-07,767.8,0.2
"21",0.1,0.33919473776196,1.22140420413585,1.04972373637483e-06,5.33,0.01
"22",0.1,0.0622560482135829,-0.473914495305451,1.9224617450807e-07,26.65,0.05
"23",0.1,0.0816261716916847,-0.203020243925644,2.55445009682879e-07,53.3,0.1
"24",0.1,0.0909393263622699,-0.0949776451151452,2.76493808591297e-07,106.6,0.2
"25",0.1,0.0953605215228096,-0.0475055136968123,2.89942864751965e-07,33.49,0.01
"26",0.1,0.106441623241147,0.062426510297742,3.31574537255529e-07,167.45,0.05
"27",0.1,0.0871067692263391,-0.138035587281094,2.71939926180743e-07,334.9,0.1
"28",0.1,0.0930523414862428,-0.0720080394738989,2.81631305772403e-07,669.8,0.2
"29",0.1,0.0866086463106856,-0.143770533478799,2.68443588179914e-07,193.82,0.01
"30",0.1,0.093288389482172,-0.069474528727622,2.87700282668921e-07,969.1,0.05
"31",0.1,0.124421437418033,0.218504305982,3.8445316361888e-07,1938.2,0.1
"32",0.1,0.687958223341924,1.92855792821487,2.11710092310847e-06,3876.4,0.2
"33",0.1,0.0481308226751551,-0.731247410046347,1.4829446358633e-07,19.17,0.01
"34",0.1,0.0780662960787347,-0.24761177057386,2.42416200623929e-07,95.85,0.05
"35",0.1,0.0933208082113686,-0.0691270782276099,2.85857839077242e-07,191.7,0.1
"36",0.1,0.09867686187834,-0.0133196958222613,3.03625412687645e-07,383.4,0.2
"37",0.2,0.157898507637013,-0.236364896648311,4.92768547660541e-07,8.16,0.01
"38",0.2,0.234159650543109,0.157685783449399,7.04525167366297e-07,40.8,0.05
"39",0.2,0.233684948245987,0.155656466615311,7.15703666621707e-07,81.6,0.1
"40",0.2,0.183784630719753,-0.0845527797106131,5.60596482768488e-07,163.2,0.2
"41",0.2,0.103965526947185,-0.654257994017223,3.14115761167084e-07,5.68,0.01
"42",0.2,0.133763772998463,-0.402242010384112,4.07528071353473e-07,28.4,0.05
"43",0.2,0.179009056992951,-0.110880964261321,5.48237208457254e-07,56.8,0.1
"44",0.2,0.146528237145416,-0.311099211643947,4.5516828601096e-07,113.6,0.2
"45",0.2,0.179299374430728,-0.10926047489603,5.50084792951212e-07,124.34,0.01
"46",0.2,0.187872566881853,-0.0625534692874203,5.78255338863535e-07,621.7,0.05
"47",0.2,0.188721266855102,-0.0580462185890927,5.73766916335916e-07,1243.4,0.1
"48",0.2,0.20914422781393,0.044706732651561,6.47436037394862e-07,2486.8,0.2
"49",0.2,0.189039632370223,-0.0563606783907915,5.89614887883037e-07,15.65,0.01
"50",0.2,0.181707346921822,-0.0959199576110074,5.62389504117092e-07,78.25,0.05
"51",0.2,0.197060449844058,-0.014806832879201,6.00251809565898e-07,156.5,0.1
"52",0.2,0.197325756519805,-0.0134614170837905,6.09087951521194e-07,313,0.2
"53",0.2,0.180963185183348,-0.100023752747222,5.59014542107452e-07,38.39,0.01
"54",0.2,0.168693900570023,-0.17023153313271,5.16817087497908e-07,191.95,0.05
"55",0.2,0.168998335641898,-0.168428499946251,5.30639254684658e-07,383.9,0.1
"56",0.2,0.180313872108073,-0.103618300263075,5.58492946109182e-07,767.8,0.2
"57",0.2,0.00675536331200783,-3.38798061242115,2.11700183878103e-08,5.33,0.01
"58",0.2,0.16700956623686,-0.180266272916434,5.17090788265382e-07,26.65,0.05
"59",0.2,0.157191237971032,-0.240854226204116,4.7863119667794e-07,53.3,0.1
"60",0.2,0.128858508796772,-0.439602395178503,4.06650906408725e-07,106.6,0.2
"61",0.2,0.179548467749474,-0.107872179749872,5.52127726099472e-07,33.49,0.01
"62",0.2,0.144604128121465,-0.324317508673024,4.46670106580796e-07,167.45,0.05
"63",0.2,0.157020684966792,-0.24193981849734,4.73375658492384e-07,334.9,0.1
"64",0.2,0.154720893425786,-0.256694560391095,4.71572940783392e-07,669.8,0.2
"65",0.2,0.175829066167173,-0.128805058403972,5.39339941707794e-07,193.82,0.01
"66",0.2,0.192902196385004,-0.0361340605684417,5.9391939948414e-07,969.1,0.05
"67",0.2,0.188233780571975,-0.0606326625601464,5.86375574096355e-07,1938.2,0.1
"68",0.2,0.306274176834404,0.426163336960326,9.48186719644775e-07,3876.4,0.2
"69",0.2,0.207378279621012,0.0362271967670513,6.43896658285998e-07,19.17,0.01
"70",0.2,0.2086058621739,0.042129278087333,6.41309183635857e-07,95.85,0.05
"71",0.2,0.18761144495299,-0.0639443246246774,5.77594899812393e-07,191.7,0.1
"72",0.2,0.173190307115841,-0.143926335520126,5.32993083717123e-07,383.4,0.2
"73",0.5,0.0407236060695338,-2.50780017240118,1.27976202636528e-07,8.16,0.01
"74",0.5,0.521360617005175,0.0418338670544616,1.61511305709774e-06,40.8,0.05
"75",0.5,0.497472797789461,-0.00506722112855962,1.54092024211492e-06,81.6,0.1
"76",0.5,0.452884961796762,-0.0989699526577934,1.39008144590796e-06,163.2,0.2
"77",0.5,0.300162032605379,-0.51028566088759,9.21905028440103e-07,5.68,0.01
"78",0.5,0.346889727561358,-0.365601156988255,1.06625907590356e-06,28.4,0.05
"79",0.5,0.459642580121051,-0.0841589106966501,1.40966256711104e-06,56.8,0.1
"80",0.5,0.457081591650247,-0.0897461859360218,1.39341912990169e-06,113.6,0.2
"81",0.5,0.493834730146096,-0.0124071915701928,1.50943087535844e-06,124.34,0.01
"82",0.5,0.487207069112115,-0.0259188724599393,1.480265777791e-06,621.7,0.05
"83",0.5,0.475117330955744,-0.0510463123517164,1.4768688796242e-06,1243.4,0.1
"84",0.5,0.463397450069201,-0.0760229890950736,1.45130826735196e-06,2486.8,0.2
"85",0.5,0.823532187466104,0.498994536607863,2.47730723622775e-06,15.65,0.01
