"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"1","40139_2229.8863385747","40780_2254.46224206859",92.5808317825,5,0.2,1
"2","40139_2229.8863385747","39043_2190.17771623257",87.8385466069,1,1,1
"3","40139_2229.8863385747","39044_2190.17771623257",143.9756377809,9,0.222222222222223,2
"4","40139_2229.8863385747","37157_2117.43061600396",141.2629951572,5,0.2,1
"5","40139_2229.8863385747","36775_2103.7232006158",209.604680457,12,0.25,3
"6","40139_2229.8863385747","37899_2146.17293943746",252.0544192787,14,0.214285714285714,3
"7","40139_2229.8863385747","36777_2103.7232006158",221.7729787801,13,0.153846153846154,2
"8","40139_2229.8863385747","36771_2103.7232006158",266.9884549737,8,0.375,3
"9","40139_2229.8863385747","35758_2065.00399875399",336.7721606499,8,0.5,4
"10","40139_2229.8863385747","38690_2177.19693200358",506.5793503719,19,0.315789473684211,6
"11","40139_2229.8863385747","39942_2223.39305481869",552.775473187,18,0.444444444444445,8
"12","40139_2229.8863385747","38303_2162.21955182523",491.6019701934,14,0.357142857142857,5
"13","40139_2229.8863385747","38302_2162.21955182523",491.6019701934,16,0.3125,5
"14","40139_2229.8863385747","47524_2484.98526624003",814.3676846082,27,0.333333333333333,9
"15","40139_2229.8863385747","47994_2501.7550794017",831.1374977699,21,0.476190476190476,9.99999999999999
"16","40139_2229.8863385747","47521_2484.98526624003",814.3676846083,23,0.347826086956522,8
"17","40139_2229.8863385747","47522_2484.98526624003",814.3676846083,22,0.363636363636364,8
"18","40139_2229.8863385747","49001_2537.32417839124",866.7065967595,38,0.210526315789474,8
"19","40139_2229.8863385747","47671_2490.49549799586",819.8779163641,42,0.190476190476191,8
"20","40139_2229.8863385747","48138_2507.51112716475",836.893545533,31,0.258064516129032,8
"21","40139_2229.8863385747","46520_2452.504781302",781.8871996702,32,0.25,8
"22","40139_2229.8863385747","47968_2501.01792219308",830.4003405613,27,0.259259259259259,7
"23","40139_2229.8863385747","48384_2516.49010830204",845.8725266703,26,0.307692307692308,8
"24","40139_2229.8863385747","45507_2422.42501588809",751.8074342563,29,0.275862068965517,8
"25","40139_2229.8863385747","44810_2400.40056365174",729.78298202,30,0.233333333333333,7
"26","40139_2229.8863385747","45131_2410.40712278005",739.7895411483,33,0.212121212121212,7
"27","40139_2229.8863385747","45336_2417.03284824881",746.4152666171,30,0.3,9
"28","40139_2229.8863385747","46670_2456.99141219886",786.3738305671,27,0.37037037037037,9.99999999999999
"29","40139_2229.8863385747","41765_2289.53335444437",618.9157728127,30,0.2,6
"30","40139_2229.8863385747","37976_2149.84813983467",479.230558203,19,0.263157894736842,5
"31","40139_2229.8863385747","37516_2130.59507849564",459.9774968639,15,0.4,6
"32","40139_2229.8863385747","35891_2069.70677146791",399.0891898363,16,0.3125,5
"33","40139_2229.8863385747","36280_2086.1095824782",467.2824126487,16,0.3125,5
"34","40139_2229.8863385747","36749_2103.18549432921",484.3583244997,15,0.4,6
"35","40139_2229.8863385747","36200_2083.01901696416",567.5354015601,25,0.2,5
"36","40139_2229.8863385747","48711_2527.19561547456",1352.3099697338,56,0.178571428571428,9.99999999999999
"37","40139_2229.8863385747","47664_2490.38934106348",1315.5036953227,47,0.212765957446808,9.99999999999999
"38","40139_2229.8863385747","48451_2518.1194963611",1343.2338506204,58,0.172413793103448,9.99999999999999
"39","40139_2229.8863385747","46830_2463.05766682147",1288.1720210807,49,0.204081632653061,9.99999999999999
"40","40139_2229.8863385747","46831_2463.05766682147",1288.1720210808,54,0.185185185185185,9.99999999999999
"41","40139_2229.8863385747","44421_2386.57905914261",1211.6934134019,44,0.204545454545455,9
"42","40139_2229.8863385747","47272_2476.49086427515",1301.6052185344,50,0.18,9
"43","40139_2229.8863385747","43279_2346.1634623787",1171.277816638,56,0.160714285714286,9
"44","40139_2229.8863385747","45604_2425.25238992723",1250.3667441865,37,0.27027027027027,9.99999999999999
"45","40139_2229.8863385747","43280_2346.1634623787",1171.277816638,36,0.222222222222222,8
"46","40139_2229.8863385747","41771_2289.80081328725",1114.9151675465,45,0.177777777777778,8
"47","40139_2229.8863385747","42143_2304.9903829258",1130.1047371851,42,0.238095238095238,9.99999999999999
"48","40139_2229.8863385747","42163_2305.79891868687",1130.9132729462,35,0.228571428571429,8
"49","40139_2229.8863385747","42162_2305.79891868687",1130.9132729462,41,0.195121951219512,8
"50","40139_2229.8863385747","39852_2219.62724842252",1044.7416026818,42,0.190476190476191,8
"51","40139_2229.8863385747","35789_2065.87303263965",890.9873868989,26,0.269230769230769,7
"52","40139_2229.8863385747","44544_2390.48370015721",1215.5980544162,51,0.176470588235294,9
"53","40139_2229.8863385747","44546_2390.48370015721",1215.5980544162,49,0.183673469387755,9
"54","40139_2229.8863385747","44335_2383.47766728074",1208.5920215398,44,0.204545454545455,9
"55","40139_2229.8863385747","43291_2346.78846027731",1171.9028145364,48,0.1875,9
"56","40139_2229.8863385747","42455_2316.97176740124",1142.0861216603,57,0.157894736842105,9
"57","40139_2229.8863385747","43889_2367.36686420819",1192.4812184672,47,0.191489361702128,9
"58","40139_2229.8863385747","44228_2379.29951101605",1204.4138652751,45,0.2,9
"59","40139_2229.8863385747","43058_2338.55483596806",1163.6691902271,54,0.185185185185185,9.99999999999999
"60","40139_2229.8863385747","47644_2489.20119467866",1314.3155489378,58,0.172413793103448,9.99999999999999
"61","40139_2229.8863385747","47111_2471.63675522313",1296.7511094822,41,0.219512195121951,9
"62","40139_2229.8863385747","46364_2448.42950579759",1273.5438600567,59,0.152542372881356,9
"63","40139_2229.8863385747","47108_2471.63675522313",1296.7511094822,46,0.195652173913043,9
"64","40139_2229.8863385747","47113_2471.63675522313",1296.7511094822,54,0.185185185185185,9.99999999999999
"65","40139_2229.8863385747","41476_2279.10998056597",1104.224334825,41,0.219512195121951,9
"66","40139_2229.8863385747","39343_2199.24244598974",1024.3568002488,37,0.243243243243243,9
"67","40139_2229.8863385747","40347_2236.98807109603",1062.1024253551,42,0.214285714285714,9
"68","40139_2229.8863385747","39340_2199.24244598974",1024.3568002489,37,0.27027027027027,9.99999999999999
"69","40139_2229.8863385747","39688_2212.81812190804",1037.9324761672,40,0.25,9.99999999999999
"70","40139_2229.8863385747","39346_2199.24244598974",1024.3568002489,31,0.290322580645161,9
"71","40139_2229.8863385747","35937_2072.09263267937",897.2069869386,36,0.25,9
"72","40139_2229.8863385747","37392_2126.20321831696",951.3175725763,31,0.225806451612903,7
"73","40139_2229.8863385747","37393_2126.20321831696",951.3175725763,39,0.179487179487179,7
"74","40139_2229.8863385747","38584_2173.277411568",998.3917658273,35,0.2,7
"75","40139_2229.8863385747","35530_2056.7632807308",881.8776349901,29,0.206896551724138,6
"76","40139_2229.8863385747","35529_2056.7632807308",881.8776349901,37,0.189189189189189,7
"77","40139_2229.8863385747","36711_2101.70543396644",926.8197882257,34,0.176470588235294,6
"78","40139_2229.8863385747","36217_2083.62841170485",908.7427659641,31,0.193548387096774,6
"79","40139_2229.8863385747","35531_2056.7632807308",881.8776349901,36,0.166666666666667,6
"80","40139_2229.8863385747","35787_2065.87303263965",890.987386899,25,0.24,6
"81","40139_2229.8863385747","42103_2303.7112410955",2674.7267794083,110,0.2,22
"82","40139_2229.8863385747","41498_2280.04160380687",2651.0571421196,83,0.265060240963855,22
"83","40139_2229.8863385747","43555_2354.88403658012",2725.8995748929,117,0.188034188034188,22
"84","40139_2229.8863385747","36026_2075.94899467376",2446.9645329866,75,0.28,21
"85","40139_2229.8863385747","36882_2107.24177621803",2478.2573145308,112,0.1875,21
"86","40139_2229.8863385747","36439_2091.85071599794",2462.8662543107,111,0.198198198198198,22
"87","40139_2229.8863385747","36728_2102.04923644611",2473.0647747589,91,0.241758241758241,22
"88","40139_2229.8863385747","40019_2226.10570712281",2597.1212454356,92,0.25,23
"89","40139_2229.8863385747","37970_2149.68619505974",2520.7017333725,89,0.269662921348315,24
"90","40139_2229.8863385747","41095_2266.45767172445",2637.4732100373,111,0.207207207207208,23
"91","40139_2229.8863385747","41096_2266.45767172445",2637.4732100373,113,0.212389380530973,24
"92","40139_2229.8863385747","44713_2396.79301540148",2767.8085537144,98,0.234693877551021,23
"93","40139_2229.8863385747","43996_2370.85336373828",2741.8689020512,102,0.225490196078432,23
"94","40139_2229.8863385747","43994_2370.85336373828",2741.8689020512,117,0.196581196581197,23
"95","40139_2229.8863385747","47723_2492.28380199475",2863.2993403076,103,0.242718446601941,25
"96","40139_2229.8863385747","47724_2492.28380199475",2863.2993403076,117,0.213675213675213,25
"97","40139_2229.8863385747","45599_2425.09506708441",2796.1106053973,105,0.228571428571429,24
"98","40139_2229.8863385747","44106_2374.91279709141",2745.9283354042,112,0.214285714285714,24
"99","40139_2229.8863385747","45817_2431.51846715188",2802.5340054647,114,0.201754385964913,23
"100","40139_2229.8863385747","45815_2431.51846715188",2802.5340054647,103,0.233009708737864,24
"101","40139_2229.8863385747","46607_2455.44101855233",2826.4565568652,108,0.203703703703703,22
"102","40139_2229.8863385747","48810_2530.75673049293",2901.7722688058,110,0.2,22
"103","40139_2229.8863385747","48690_2526.53578372218",2897.5513220351,114,0.201754385964913,23
"104","40139_2229.8863385747","44931_2404.55929688333",2775.5748351962,102,0.215686274509804,22
"105","40139_2229.8863385747","43954_2368.75089013618",2739.7664284491,102,0.215686274509804,22
"106","40139_2229.8863385747","43951_2368.75089013618",2739.7664284491,110,0.2,22
"107","40139_2229.8863385747","41940_2297.50357621117",2668.519114524,106,0.20754716981132,22
"108","40139_2229.8863385747","40532_2244.4832274051",2615.4987657179,100,0.22,22
"109","40139_2229.8863385747","40531_2244.4832274051",2615.4987657179,102,0.215686274509804,22
"110","40139_2229.8863385747","40436_2240.84497640335",2611.8605147161,100,0.22,22
"111","40139_2229.8863385747","39653_2210.85637664459",2581.8719149574,109,0.201834862385321,22
"112","40139_2229.8863385747","39295_2198.16290841124",2569.1784467241,106,0.20754716981132,22
"113","40139_2229.8863385747","45801_2431.06622732369",2802.0817656363,95,0.273684210526316,26
"114","40139_2229.8863385747","46037_2438.36063471563",2809.3761730282,96,0.28125,27
"115","40139_2229.8863385747","43755_2361.69608255742",2732.71162087,92,0.260869565217391,24
"116","40139_2229.8863385747","44154_2376.33784496519",2747.3533832778,100,0.24,24
"117","40139_2229.8863385747","41218_2269.90886208745",2640.9244004001,86,0.244186046511628,21
"118","40139_2229.8863385747","47334_2478.68293751785",2849.6984758305,111,0.198198198198198,22
"119","40139_2229.8863385747","42991_2336.10560945246",2707.1211477651,107,0.196261682242991,21
"120","40139_2229.8863385747","42569_2320.24375654438",2691.259294857,101,0.207920792079208,21
"121","40139_2229.8863385747","42570_2320.24375654438",2691.259294857,101,0.207920792079208,21
"122","40139_2229.8863385747","43949_2368.66198259052",2739.6775209031,94,0.234042553191489,22
"123","40139_2229.8863385747","46665_2456.73826328477",2827.7538015974,100,0.23,23
"124","40139_2229.8863385747","43192_2343.14976996448",2714.1653082771,90,0.233333333333333,21
"125","40139_2229.8863385747","43193_2343.14976996448",2714.1653082771,101,0.207920792079208,21
"126","40139_2229.8863385747","43191_2343.14976996448",2714.1653082771,82,0.25609756097561,21
"127","40139_2229.8863385747","41222_2269.90886208745",2640.9244004001,101,0.207920792079208,21
"128","40139_2229.8863385747","43184_2342.93245632508",2713.9479946378,106,0.216981132075472,23
"129","40139_2229.8863385747","40345_2236.69700594086",2607.7125442536,107,0.196261682242991,21
"130","40139_2229.8863385747","40208_2232.66125553425",2603.676793847,85,0.258823529411764,22
"131","40139_2229.8863385747","37892_2145.96208038664",2516.9776186994,87,0.241379310344828,21
"132","40139_2229.8863385747","37453_2128.82753321557",2499.8430715284,91,0.21978021978022,20
"133","40139_2229.8863385747","47226_2475.266893833",2846.2824321459,113,0.132743362831858,15
"134","40139_2229.8863385747","47605_2487.85348508782",2858.8690234007,111,0.135135135135135,15
"135","40139_2229.8863385747","47612_2488.11682046354",2859.1323587764,111,0.135135135135135,15
"136","40139_2229.8863385747","46416_2449.51241740139",2820.5279557142,116,0.129310344827586,15
"137","40139_2229.8863385747","46269_2444.76903027884",2815.7845685917,76,0.210526315789473,16
"138","40139_2229.8863385747","45338_2417.23587598812",2788.251414301,122,0.122950819672131,15
"139","40139_2229.8863385747","45343_2417.23587598812",2788.251414301,109,0.137614678899083,15
"140","40139_2229.8863385747","48770_2528.3664485051",2899.3819868178,101,0.168316831683169,17
"141","40139_2229.8863385747","48363_2515.1632500332",2886.1787883459,110,0.145454545454545,16
"142","40139_2229.8863385747","48916_2534.09349845077",2905.1090367635,117,0.145299145299146,17
"143","40139_2229.8863385747","47488_2483.65083788571",2854.6663761985,116,0.137931034482758,16
"144","40139_2229.8863385747","38176_2157.31813883107",2528.3336771439,101,0.148514851485149,15
"145","40139_2229.8863385747","37084_2114.73477455809",2485.7503128709,95,0.147368421052632,14
"146","40139_2229.8863385747","36979_2110.44817844374",2481.4637167566,91,0.153846153846154,14
"147","40139_2229.8863385747","37637_2136.3261276279",2507.3416659408,68,0.205882352941177,14
"148","40139_2229.8863385747","35290_2045.43035674398",2416.4458950569,96,0.15625,15
"149","40139_2229.8863385747","35611_2059.90111965301",2430.9166579659,82,0.182926829268293,15
"150","40780_2254.46224206859","39043_2190.17771623257",112.4144501008,4,0,0
"151","40780_2254.46224206859","39044_2190.17771623257",168.5515412748,9,0.111111111111111,1
"152","40780_2254.46224206859","37157_2117.43061600396",165.8388986511,8,0,0
"153","40780_2254.46224206859","36775_2103.7232006158",234.1805839509,10,0.2,2
"154","40780_2254.46224206859","37899_2146.17293943746",276.6303227726,16,0.125,2
"155","40780_2254.46224206859","36777_2103.7232006158",246.348882274,9,0.111111111111111,1
"156","40780_2254.46224206859","36771_2103.7232006158",291.5643584676,9,0.222222222222223,2
"157","40780_2254.46224206859","35758_2065.00399875399",361.3480641438,11,0.272727272727273,3
"158","40780_2254.46224206859","38690_2177.19693200358",531.1552538658,16,0.3125,5
"159","40780_2254.46224206859","39942_2223.39305481869",577.3513766809,28,0.25,7
"160","40780_2254.46224206859","38303_2162.21955182523",516.1778736873,14,0.285714285714285,4
"161","40780_2254.46224206859","38302_2162.21955182523",516.1778736873,26,0.153846153846154,4
"162","40780_2254.46224206859","47524_2484.98526624003",838.9435881021,26,0.307692307692308,8
"163","40780_2254.46224206859","47994_2501.7550794017",855.7134012638,33,0.272727272727273,9
"164","40780_2254.46224206859","47521_2484.98526624003",838.9435881022,32,0.21875,7
"165","40780_2254.46224206859","47522_2484.98526624003",838.9435881022,36,0.194444444444444,7
"166","40780_2254.46224206859","49001_2537.32417839124",891.2825002534,40,0.175,7
"167","40780_2254.46224206859","47671_2490.49549799586",844.453819858,28,0.25,7
"168","40780_2254.46224206859","48138_2507.51112716475",861.4694490269,33,0.212121212121212,7
"169","40780_2254.46224206859","46520_2452.504781302",806.4631031641,36,0.194444444444444,7
"170","40780_2254.46224206859","47968_2501.01792219308",854.9762440552,26,0.230769230769231,6
"171","40780_2254.46224206859","48384_2516.49010830204",870.4484301642,33,0.212121212121212,7
"172","40780_2254.46224206859","45507_2422.42501588809",776.3833377502,37,0.189189189189189,7
"173","40780_2254.46224206859","44810_2400.40056365174",754.3588855139,17,0.352941176470588,6
"174","40780_2254.46224206859","45131_2410.40712278005",764.3654446422,37,0.162162162162162,6
"175","40780_2254.46224206859","45336_2417.03284824881",770.991170111,29,0.275862068965517,8
"176","40780_2254.46224206859","46670_2456.99141219886",810.949734061,28,0.321428571428571,9
"177","40780_2254.46224206859","41765_2289.53335444437",643.4916763066,26,0.192307692307692,5
"178","40780_2254.46224206859","37976_2149.84813983467",503.8064616969,17,0.235294117647059,4
"179","40780_2254.46224206859","37516_2130.59507849564",484.5534003578,19,0.263157894736842,5
"180","40780_2254.46224206859","35891_2069.70677146791",423.6650933302,21,0.19047619047619,4
"181","40780_2254.46224206859","36280_2086.1095824782",491.8583161426,16,0.25,4
"182","40780_2254.46224206859","36749_2103.18549432921",508.9342279936,24,0.208333333333334,5
"183","40780_2254.46224206859","36200_2083.01901696416",592.111305054,23,0.173913043478261,4
"184","40780_2254.46224206859","48711_2527.19561547456",1376.8858732277,43,0.209302325581395,9
"185","40780_2254.46224206859","47664_2490.38934106348",1340.0795988166,57,0.157894736842105,9
"186","40780_2254.46224206859","48451_2518.1194963611",1367.8097541143,47,0.191489361702128,9
"187","40780_2254.46224206859","46830_2463.05766682147",1312.7479245746,40,0.225,9
"188","40780_2254.46224206859","46831_2463.05766682147",1312.7479245747,52,0.173076923076923,9
"189","40780_2254.46224206859","44421_2386.57905914261",1236.2693168958,45,0.177777777777778,8
"190","40780_2254.46224206859","47272_2476.49086427515",1326.1811220283,56,0.142857142857143,8
"191","40780_2254.46224206859","43279_2346.1634623787",1195.8537201319,43,0.186046511627907,8
"192","40780_2254.46224206859","45604_2425.25238992723",1274.9426476804,33,0.272727272727273,9
"193","40780_2254.46224206859","43280_2346.1634623787",1195.8537201319,49,0.142857142857143,7
"194","40780_2254.46224206859","41771_2289.80081328725",1139.4910710404,39,0.179487179487179,7
"195","40780_2254.46224206859","42143_2304.9903829258",1154.680640679,45,0.2,9
"196","40780_2254.46224206859","42163_2305.79891868687",1155.4891764401,49,0.142857142857143,7
"197","40780_2254.46224206859","42162_2305.79891868687",1155.4891764401,39,0.179487179487179,7
"198","40780_2254.46224206859","39852_2219.62724842252",1069.3175061757,36,0.194444444444444,7
"199","40780_2254.46224206859","35789_2065.87303263965",915.5632903928,43,0.13953488372093,6
"200","40780_2254.46224206859","44544_2390.48370015721",1240.1739579101,43,0.186046511627907,8
"201","40780_2254.46224206859","44546_2390.48370015721",1240.1739579101,41,0.195121951219512,8
"202","40780_2254.46224206859","44335_2383.47766728074",1233.1679250337,42,0.190476190476191,8
"203","40780_2254.46224206859","43291_2346.78846027731",1196.4787180303,47,0.170212765957447,8
"204","40780_2254.46224206859","42455_2316.97176740124",1166.6620251542,37,0.216216216216216,8
"205","40780_2254.46224206859","43889_2367.36686420819",1217.0571219611,51,0.156862745098039,8
"206","40780_2254.46224206859","44228_2379.29951101605",1228.989768769,62,0.129032258064516,8
"207","40780_2254.46224206859","43058_2338.55483596806",1188.245093721,49,0.183673469387755,9
"208","40780_2254.46224206859","47644_2489.20119467866",1338.8914524317,59,0.152542372881356,9
"209","40780_2254.46224206859","47111_2471.63675522313",1321.3270129761,55,0.145454545454546,8
"210","40780_2254.46224206859","46364_2448.42950579759",1298.1197635506,46,0.173913043478261,8
"211","40780_2254.46224206859","47108_2471.63675522313",1321.3270129761,52,0.153846153846154,8
"212","40780_2254.46224206859","47113_2471.63675522313",1321.3270129761,54,0.166666666666667,9
