"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"1","5417_318.922588101129","1805_106.105280176545",248.7168476391,8,0.125,1
"2","5417_318.922588101129","3106_190.934434258281",384.8371544344,10,0.2,2
"3","5417_318.922588101129","3347_206.416983554409",400.3197037305,13,0.153846153846154,2
"4","5417_318.922588101129","5030_297.238811628315",491.1415318045,21,0.142857142857143,3
"5","5417_318.922588101129","4491_271.647829975728",465.5505501519,22,0.136363636363636,3
"6","5417_318.922588101129","7382_403.32037595417",597.2230961302,22,0.136363636363636,3
"7","5417_318.922588101129","7176_394.515615225714",588.4183354018,25,0.0800000000000002,2
"8","5417_318.922588101129","9781_546.873138276622",740.7758584526,26,0.153846153846154,4
"9","5417_318.922588101129","13517_766.611160916713",960.5138810927,39,0.128205128205128,5
"10","5417_318.922588101129","10673_596.327413791202",790.2301339672,21,0.19047619047619,4
"11","5417_318.922588101129","21786_1300.80534853399",1494.70806871,64,0.109375,7
"12","5417_318.922588101129","21808_1302.46066652684",1496.3633867029,50,0.14,7
"13","5417_318.922588101129","21897_1307.92936142971",1501.8320816057,50,0.14,7
"14","5417_318.922588101129","30942_1844.65315464759",2038.5558748234,60,0.2,12
"15","5417_318.922588101129","31926_1894.56679886152",2088.4695190374,73,0.178082191780821,13
"16","5417_318.922588101129","30949_1845.1183134844",2039.0210336603,83,0.144578313253012,12
"17","5417_318.922588101129","40301_2235.84502384616",2429.7477440221,81,0.19753086419753,16
"18","5417_318.922588101129","38083_2154.12225116628",2348.0249713422,88,0.181818181818181,16
"19","5417_318.922588101129","41641_2285.04920865465",2478.9519288305,78,0.192307692307692,15
"20","5417_318.922588101129","41220_2269.90886208745",2463.8115822633,89,0.168539325842697,15
"21","5417_318.922588101129","37418_2127.25946143736",2321.1621816133,81,0.209876543209877,17
"22","5417_318.922588101129","34185_1994.62023970808",2188.522959884,79,0.164556962025316,13
"23","5417_318.922588101129","41984_2299.1985825079",2493.1013026838,99,0.161616161616161,16
"24","5417_318.922588101129","37035_2111.91092601268",2305.8136461885,97,0.175257731958763,17
"25","5417_318.922588101129","34922_2031.60673048644",2225.5094506623,88,0.170454545454545,15
"26","5417_318.922588101129","33190_1954.03011702032",2147.9328371962,73,0.205479452054795,15
"27","5417_318.922588101129","45600_2425.09506708441",2618.9977872604,92,0.195652173913043,18
"28","5417_318.922588101129","48994_2536.93585007998",2730.838570256,109,0.155963302752294,17
"29","5417_318.922588101129","44931_2404.55929688333",2598.4620170593,111,0.144144144144144,16
"30","5417_318.922588101129","41325_2274.03331569595",2467.9360358719,77,0.207792207792207,16
"31","5417_318.922588101129","39910_2222.21822721568",2416.1209473916,71,0.225352112676056,16
"32","5417_318.922588101129","37760_2140.53143237702",2334.4341525529,93,0.182795698924732,17
"33","5417_318.922588101129","34936_2031.97479493869",2225.8775151146,82,0.195121951219512,16
"34","5417_318.922588101129","32644_1930.94917342041",2124.8518935963,83,0.168674698795181,14
"35","5417_318.922588101129","32451_1922.87412619663",2116.7768463725,71,0.19718309859155,14
"36","5417_318.922588101129","30672_1828.73180856698",2022.6345287429,78,0.141025641025641,11
"37","5417_318.922588101129","32830_1938.67286521006",2132.575585386,83,0.120481927710843,9.99999999999999
"38","5417_318.922588101129","33056_1948.03357960697",2141.9362997829,85,0.129411764705882,11
"39","5417_318.922588101129","31336_1863.63339914755",2057.5361193235,75,0.133333333333333,9.99999999999999
"40","5417_318.922588101129","29304_1751.49749570059",1945.4002158765,83,0.120481927710843,9.99999999999999
"41","5417_318.922588101129","27489_1653.82396674146",1847.7266869174,55,0.181818181818182,9.99999999999999
"42","5417_318.922588101129","23866_1425.41000824756",1619.3127284235,77,0.116883116883117,9
"43","5417_318.922588101129","31970_1896.93605355611",2090.8387737321,73,0.123287671232877,9
"44","5417_318.922588101129","28841_1728.11566495756",1922.0183851335,70,0.128571428571429,9
"45","5417_318.922588101129","29678_1771.22312732904",1965.125847505,87,0.114942528735632,9.99999999999999
"46","5417_318.922588101129","24804_1484.00280336384",1677.9055235398,74,0.121621621621622,9
"47","5417_318.922588101129","45301_2415.71273530141",2609.6154554775,91,0.0989010989010989,9
"48","5417_318.922588101129","45342_2417.23587598812",2611.1385961642,111,0.0810810810810811,9
"49","5417_318.922588101129","47612_2488.11682046354",2682.0195406396,94,0.0957446808510638,9
"50","5417_318.922588101129","24270_1449.14817165385",1643.0508918299,61,0.114754098360656,7
"51","5417_318.922588101129","21079_1255.02088121834",1448.9236013944,46,0.152173913043478,7
"52","5417_318.922588101129","22477_1343.33095451993",1537.233674696,56,0.142857142857143,8
"53","5417_318.922588101129","26205_1575.14033169871",1769.0430518748,74,0.0945945945945945,7
"54","5417_318.922588101129","21741_1298.8143323566",1492.7170525327,66,0.106060606060606,7
"55","5417_318.922588101129","21800_1301.81049468108",1495.7132148571,62,0.145161290322581,9
"56","5417_318.922588101129","20028_1185.00353661757",1378.9062567935,37,0.189189189189189,7
"57","5417_318.922588101129","19914_1178.18529475845",1372.0880149344,54,0.12962962962963,7
