"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"1","37244_2119.73941351427","37942_2148.91084162002",51.7527911352,2,0,0
"2","37244_2119.73941351427","48017_2502.58451272461",429.4808918208,18,0.277777777777778,5
"3","37244_2119.73941351427","47228_2475.266893833",402.1632729292,13,0.384615384615385,5
"4","37244_2119.73941351427","45536_2423.6517708182",350.5481499144,13,0.307692307692308,4
"5","37244_2119.73941351427","46269_2444.76903027884",371.665409375,17,0.176470588235294,3
"6","37244_2119.73941351427","46358_2448.09801426453",374.9943933607,15,0.2,3
"7","37244_2119.73941351427","48494_2519.107282407",446.0036615032,13,0.384615384615385,5
"8","37244_2119.73941351427","45337_2417.23587598812",344.1322550843,16,0.1875,3
"9","37244_2119.73941351427","44741_2397.63768370721",324.5340628034,17,0.176470588235294,3
"10","37244_2119.73941351427","38424_2166.68041206292",93.5767911591,4,0,0
"11","37244_2119.73941351427","36979_2110.44817844374",117.8382141036,2,0,0
"12","37244_2119.73941351427","35611_2059.90111965301",352.3768253543,15,0.133333333333333,2
"13","37244_2119.73941351427","41498_2280.04160380687",1494.4311046916,57,0.105263157894737,6
"14","37244_2119.73941351427","41499_2280.04160380687",1494.4311046916,66,0.0909090909090909,6
"15","37244_2119.73941351427","43555_2354.88403658012",1569.2735374648,55,0.109090909090909,6
"16","37244_2119.73941351427","42103_2303.7112410955",1518.1007419802,48,0.166666666666667,8
"17","37244_2119.73941351427","39331_2199.12423393058",1413.5137348153,51,0.117647058823529,6
"18","37244_2119.73941351427","40962_2261.43180145797",1475.8213023427,59,0.101694915254237,6
"19","37244_2119.73941351427","37708_2138.40093182218",1352.7904327069,56,0.107142857142857,6
"20","37244_2119.73941351427","36025_2075.94899467376",1290.3384955585,43,0.13953488372093,6
"21","37244_2119.73941351427","38621_2174.61463936514",1389.0041402498,50,0.14,7
"22","37244_2119.73941351427","37892_2145.96208038664",1360.3515812713,44,0.159090909090909,7
"23","37244_2119.73941351427","43196_2343.14976996448",1557.5392708493,55,0.163636363636364,9
"24","37244_2119.73941351427","44154_2376.33784496519",1590.72734585,59,0.169491525423729,10
"25","37244_2119.73941351427","43192_2343.14976996448",1557.5392708492,64,0.140625,9
"26","37244_2119.73941351427","42570_2320.24375654438",1534.6332574291,62,0.145161290322581,9
"27","37244_2119.73941351427","43950_2368.66198259052",1583.0514834753,47,0.191489361702128,9
"28","37244_2119.73941351427","43193_2343.14976996448",1557.5392708493,63,0.142857142857143,9
"29","37244_2119.73941351427","42991_2336.10560945246",1550.4951103372,58,0.155172413793103,9
"30","37244_2119.73941351427","43116_2340.08602604707",1554.4755269318,62,0.145161290322581,9
"31","37244_2119.73941351427","42217_2308.08919594823",1522.4786968329,56,0.160714285714286,9
"32","37244_2119.73941351427","41641_2285.04920865465",1499.4387095394,71,0.126760563380282,9
"33","37244_2119.73941351427","38620_2174.61463936514",1389.0041402499,52,0.134615384615385,7
"34","37244_2119.73941351427","43445_2351.74306647746",1566.1325673622,59,0.169491525423729,10
"35","37244_2119.73941351427","39859_2220.04467900904",1434.4341798938,62,0.161290322580645,10
"36","37244_2119.73941351427","38122_2155.61645603416",1370.0059569188,55,0.127272727272727,7
"37","37244_2119.73941351427","38277_2161.25976153545",1375.6492624202,59,0.0847457627118644,5
"38","37244_2119.73941351427","38352_2163.6902682223",1378.079769107,61,0.114754098360656,7
"39","37244_2119.73941351427","36101_2078.84475912493",1293.2342600097,41,0.146341463414634,6
"40","37244_2119.73941351427","35675_2061.93937182151",1276.3288727062,51,0.117647058823529,6
"41","37244_2119.73941351427","41325_2274.03331569595",1488.4228165806,62,0.112903225806452,7
"42","37244_2119.73941351427","41940_2297.50357621117",1511.8930770958,54,0.12962962962963,7
"43","37244_2119.73941351427","44931_2404.55929688333",1618.948797768,71,0.126760563380282,9
"44","37244_2119.73941351427","44754_2398.27104554005",1612.6605464248,60,0.15,9
"45","37244_2119.73941351427","44690_2395.81697481177",1610.2064756965,59,0.135593220338983,8
"46","37244_2119.73941351427","47037_2469.28734715862",1683.6768480433,73,0.123287671232877,9
"47","37244_2119.73941351427","44107_2374.91279709141",1589.3022979761,60,0.116666666666667,7
"48","37244_2119.73941351427","44937_2404.90322494007",1619.2927258247,53,0.132075471698113,7
"49","37244_2119.73941351427","47854_2497.07974587354",1711.4692467582,69,0.101449275362319,7
