# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Nov 08 13:37:27 GMT 2022 [seed=1667914636879]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1641034.1976937465	-2573.415141365729	-1638460.7825523808	2386.7367219948383	31.931505150081648	2478.7185776129895	1.0	2.0	1.0	1.0	-1638460.7825523808	0.0	-96.16658727737556
1000	-1348157.7262079255	-561.6363689401558	-1347596.0898389854	2386.7815308964623	31.88669624845761	2449.98134318846	0.6320521079490925	4.061740695285733	0.2068369520452226	0.20683695204522262	-1347596.0898389854	0.0	-56.87063680543026
2000	-644196.4653410078	-96.95655794408597	-644099.5087830637	2386.7160139634475	31.952213181472416	2427.860772660674	0.3939869542839808	5.834007932765512	0.03496997864856286	0.03496997864856286	-644099.5087830637	0.0	-14.89498222944901
3000	-418103.23560291994	-10.999548112388581	-418092.23605480755	2386.604624207696	32.063602937224005	2412.18044644498	0.246715666106176	12.236097514550679	0.019748373668272885	0.01974837366827289	-418092.23605480755	0.0	34.324147063793156
4000	-231792.524049774	45.1590364006197	-231837.6830861746	2386.597322501362	32.0709046435577	2405.1642433150096	0.17235813561213817	30.61078008771878	0.008965351010354367	0.008965351010354365	-231837.6830861746	0.0	65.7260587455808
5000	-51638.52712284782	64.51526993852391	-51703.042392786345	2386.5733866470614	32.09484049785851	2405.4154731025824	0.17355746920048307	26.686584473380965	0.0010270365196489327	0.0010270365196489327	-51703.042392786345	0.0	64.56936838119962
6000	-28253.25333641109	-115.8498575817936	-28137.403478829296	2386.580594331569	32.087632813350865	2504.359017208518	1.145319379591194	24.109076647975535	1.705027169256677E-4	1.7050271692566781E-4	-28137.403478829296	0.0	-117.11703085317558
7000	-24732.76958749337	-221.42521270349403	-24511.34437478988	2386.5687994336254	32.09942771129454	2723.122463517316	3.8973390364348703	18.28058087683681	4.256085884945853E-5	4.2560858849458544E-5	-24511.34437478988	0.0	-223.15347732920836
8000	-23688.006472364403	-360.22653757268694	-23327.779934791717	2386.5671710299634	32.101056114956464	3603.7244087256904	14.1164103196024	5.025161227377324	1.5152251888164415E-5	1.5152251888164423E-5	-23327.779934791717	0.0	-363.71841418500395
9000	-23299.9882619172	-412.4855145168159	-22887.502747400384	2387.155571953054	31.512655191866088	4211.918223899677	22.82795525960893	4.677876641608472	1.2424489826313596E-5	1.24244898263136E-5	-22887.502747400384	0.0	-415.7743660379549
10000	-23055.02566759716	-463.453887433616	-22591.571780163544	2387.4108598999046	31.257367245015303	5093.250320981986	46.07316872387283	2.540652318876251	9.993759506492382E-6	9.993759506492382E-6	-22591.571780163544	0.0	-466.949037235469
11000	-22764.788534107764	-486.8217393338035	-22277.96679477396	2390.6047175543	28.063509590620015	5631.961753776881	59.12363456826074	0.9490602299497538	8.748228163130003E-6	8.748228163129993E-6	-22277.96679477396	0.0	-490.8177752689557
12000	-22545.792110738843	-524.0474301989872	-22021.744680539854	2396.3645148195724	22.303712325347533	6599.036687156898	81.22880346573008	0.9948656003288096	6.720268598648636E-6	6.720268598648641E-6	-22021.744680539854	0.0	-527.9257413292828
13000	-22434.489739040473	-544.8070930072669	-21889.682646033205	2392.166336729474	26.501890415445814	7197.547660769443	106.85917874277946	1.1863143338708944	5.452565412623978E-6	5.452565412623979E-6	-21889.682646033205	0.0	-548.4915016699844
14000	-22387.66227889522	-553.3272429940179	-21834.3350359012	2395.055495307167	23.612731837753017	7389.215066845547	96.26649917391666	1.0943852710922863	5.9174135946293746E-6	5.917413594629375E-6	-21834.3350359012	0.0	-557.1195719623682
15000	-22332.357321073192	-583.4739502688861	-21748.883370804306	2394.1406530687896	24.52757407613035	8355.236575008099	190.36739930248936	1.0185436639358683	5.198022094307465E-6	5.198022094307466E-6	-21748.883370804306	0.0	-586.7393321064247
16000	-22283.354950296685	-585.7945352142492	-21697.560415082437	2393.747283847101	24.92094329781912	8759.10055188299	118.25454349487711	0.8968932245446727	5.08167113501687E-6	5.081671135016876E-6	-21697.560415082437	0.0	-589.6119826926981
17000	-22258.379152819314	-603.5221671721608	-21654.856985647155	2406.473088393982	12.195138750937986	9530.694735010165	168.0434887034092	0.8798191123854283	4.5913486101124075E-6	4.591348610112412E-6	-21654.856985647155	0.0	-607.0873913732896
18000	-22172.105982689816	-608.0003257473459	-21564.10565694247	2412.320616262311	6.347610882608933	9737.510552767308	179.86219583142454	0.911936319848891	4.026340453946327E-6	4.026340453946324E-6	-21564.10565694247	0.0	-611.5681451816705
