AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
101, 13409_1163.19123399897, 12825_1110.96519685341, 103.3792107365, 51.1531735909
102, 12248_1062.4575118587,   101, 229.5051985969, 226.8597100007
103, 9969_850.638623967311,   102, 115.1165794952, 97.4302687896
104,   103, 15936_1493.03023266793, 185.9145413202, 943.4227295160
105, 16651_1617.51321683854, 14965_1332.21700946527, 313.8785363663, 28.5823289930
106, 14896_1323.43408843689,   105, 400.2216924183, 380.4222844537
107,   106, 12872_1115.25733185653, 33.5349346946, 225.5798705325
108, 8787_743.626726638389,   107, 32.8096950657, 178.8604297514
109, 12715_1102.36018092694, 9285_794.103955253477, 374.6610324715, 66.4048067981
110, 19680_2215.6595432809, 16874_1649.58667080384, 639.0355367340, 72.9626642570
111,   110, 16279_1563.46894798449, 242.6740907752, 229.5190322128
112,   111, 15440_1411.83605214675, 98.4322740128, 176.3184103879
113,   112, 8886_756.010542995365, 501.4869516738, 21.9798529103
114,   109,   113, 31.9990560484, 38.3305976781
115,   114, 9790_834.485564562464, 48.3325029668, 187.1179751222
116,   108,   115, 142.0913290460, 78.6418869137
117, 18242_1861.67400235337, 18061_1831.87513495854, 175.0758012117, 145.2769338169
118,   117, 18586_1923.96761084803, 67.9540862262, 305.3234959326
119,   118, 19472_2125.69767757798, 84.6042369958, 591.6577996583
120,   119, 18901_1984.07483875654, 19.6181744132, 469.6531352501
121, 20384_2501.85991738144, 19812_2260.48891986003, 250.9618384779, 9.5908409565
122, 20133_2383.16163760244,   121, 172.6546868685, 40.3911281695
123, 19778_2248.26014287116,   122, 111.5314045699, 73.7782124327
124,   123, 19699_2221.49438737492, 12.4047416065, 97.1703906802
125, 19549_2160.95481724302,   124, 63.4092944997, 26.7784739514
126,   125, 19314_2083.41886184474, 112.1378048801, 98.0111439815
127,   120,   126, 118.8504904286, 589.8365047854
128, 17393_1729.68566136645, 16925_1657.30795557616, 251.8829173270, 179.5052115367
129,   127,   128, 187.8234096597, 270.0549406213
130,   129, 14549_1271.80775871376, 56.4745331164, 120.5344884120
131, 13454_1167.01619069419,   130, 38.6308986020, 22.8879782096
132, 12704_1101.23721313424,   131, 71.8635938068, 99.0116727647
133,   132, 14645_1287.07211573331, 91.7721395859, 349.4706359917
134, 7521_617.581859195508, 8313_689.421673606786, 44.5810845867, 116.4208989979
135,   133,   134, 396.8422516547, 32.2415465219
136,   116,   135, 108.5155184888, 80.5490440491
137,   104,   136, 187.0970537864, 97.6997346722
138, 14489_1263.18469776998,   137, 1047.8760795748, 147.2018311704
139,   138, 2863_194.809969583647, 37.4469361742, 16.9482875626
140, 7757_637.865223236113, 4573_351.260760448621, 323.0162307911, 36.4117680036
141,   139,   140, 205.0889599028, 342.0762703267
142, 19455_2122.80395098962, 18934_1989.06393883441, 341.1452972552, 207.4052851000
143, 18003_1824.91359333877,   142, 221.0161034758, 177.7611638714
144, 14464_1260.08684887092,   143, 202.2965763200, 546.1072173120
145, 12488_1082.81641583608, 15041_1341.85192557639, 64.0617790314, 323.0972887717
146,   144,   145, 68.5005439765, 29.4649082303
147,   146, 10674_909.838588813917, 160.0565313495, 80.6053915890
148, 10322_879.385262629126, 9846_840.763972009971, 49.1409523116, 10.5196616924
149,   147,   148, 129.2911006280, 130.3022137205
150, 4966_395.538563385466,   149, 15.7011265605, 320.1046597720
151,   150, 5064_405.383054435255, 20.9386906283, 46.4843082386
152,   151, 4051_295.175957008635, 114.6286027199, 50.9058135319
153, 12481_1082.02557751028, 14944_1330.41244283898, 730.9950690372, 979.3819343659
154,   153, 4012_291.156569514952, 123.1886819564, 63.3147429982
155, 511 1, 385 1, 8.0145803208, 8.0145803208
156,   154,   155, 248.5454778158, 13.6890709783
157, 4500_344.799712933335, 7812_644.437391733119, 224.2532575796, 523.8909363793
158, 4625_355.659249410998,   157, 321.1184423972, 86.0056483399
159, 10418_888.439261682719, 12851_1113.2938962389, 20.0040422604, 244.8586768166
160, 18838_1970.96694790197, 19123_2030.36415391488, 386.0213361206, 445.4185421335
161,   160, 12032_1042.06094657728, 567.2260782110, 24.3414130069
162,   159,   161, 7.2232108413, 156.5075249894
163, 4298_320.905889681766, 3869_277.822035929063, 51.5145464462, 8.4306926935
164,   162,   163, 675.3941067886, 83.5734414431
165, 4008_290.22907251958,   164, 180.0589183502, 75.6477476230
166, 4722_367.9055169931,   165, 295.0494883932, 37.3141255695
167,   158,   166, 19.5775783171, 57.8927999032
168, 19461_2123.64564392318, 17181_1695.56512029047, 472.9164589586, 44.8359353259
169, 16637_1615.95172456013, 16638_1615.95172456013, 8.3221382798, 8.3221382798
170,   168,   169, 670.3279637221, 627.2283650379
171, 12594_1091.46677393127, 11195_964.954579024738, 149.3634911892, 22.8512962827
172, 16149_1539.52764341308, 11831_1022.45749899418, 611.5055806653, 94.4354362464
173, 9636_822.117345209586,   172, 59.2023456925, 165.1070632306
174,   171,   173, 242.2102965150, 63.0220132901
175,   170,   174, 300.5070941979, 19.9988591824
176, 4142_305.785877894679, 1889_117.739825771206, 221.7834747387, 33.7374226153
177,   176, 2254_148.878030904408, 38.1141950262, 102.9898227746
178,   175,   177, 655.2433882361, 21.2374693212
179,   167,   178, 16.1083368419, 25.7958469537
180,   156,   179, 19.1670117515, 38.7255549054
181, 10064_859.808812622498, 4504_345.300031208422, 537.3271190252, 22.8183376111
182, 2013_127.882984436076, 6625_548.098415290714, 70.9935281165, 491.2089589711
183, 7620_627.610547183519, 8000_661.641964244108, 59.7502721718, 93.7816892324
