"","386_1","439_1","471_1","1277_89.2118218274983","1430_105.590590529992","1454_108.116166250286","1460_108.817580083911","1939_159.780529376522","1981_162.205285524088","2058_169.02064330515","2161_178.111570410682","2191_180.747148323248","2208_182.255270919796","2217_182.708353634285","2414_200.701847162053","2426_201.399567162118","2439_201.895473680842","2685_227.437397091871","2706_229.71424727066","2735_232.282363787655","2796_236.80173709329","2837_240.281063310086","2918_246.000388784204","2992_253.250242560707","3252_274.870614144514","3397_284.852217217408","3709_313.521865258348","3739_316.349984393766","3891_327.476833401537","4067_344.623347595963","4200_358.306462827607","4341_372.870151886442","4456_384.281962548879","4681_406.547825561549","4771_418.923394850363","5193_462.619637668355","5287_474.248537855765","5292_476.030237990001","5511_499.928571017879","5527_501.319165333991","5777_525.103496188922","6186_578.13561373104","6466_610.651699998763","6523_616.805459945779","6830_655.835757169753","7049_686.223598348335","7054_686.534988300241","7284_732.253753366588","7400_745.407597629544","7717_787.284675205213","8141_862.243987803129","8391_904.575213283419","8616_935.261101096793","8634_936.026813468743","8792_957.95223248524","9819_1120.93610653814","9872_1128.30972785452","10121_1170.11849088774","10355_1200.72853303943","10504_1230.47875939033","10672_1269.96845509862","10776_1294.14121886132","10783_1296.77766942735","11062_1339.82410807483","11067_1341.12282251281","11080_1342.81034309291","11711_1467.37489741288","11961_1538.0894373614","11998_1543.94058968141","12196_1585.49043470396","12263_1607.09774844034","12337_1626.69057456896","12352_1633.3725055561","12532_1668.59926296517","12537_1670.17712378816","12752_1713.44663728494","12826_1726.57600481962","13075_1786.21574740447","13091_1789.89364301442","13138_1797.54421565826","13162_1799.6553825652","13936_1921.42108305663","14637_2019.14675640735","14796_2049.96634962042","14880_2065.07207729596","14978_2080.02545040463","15271_2132.14290389555","15301_2135.51620106067","15331_2140.26865784943","15461_2161.76581008314","15939_2245.62306417842","16058_2264.13212290752","16093_2270.44398542966","16897_2396.32560515747","16998_2417.38033119798","17010_2419.16043884652","17112_2436.11256737301","17228_2453.7571140237","17544_2508.8686209599","17651_2528.35777654938"
"386_1",0,0.000333333333333333,5e-04,0.00158333333333333,0.000833333333333333,0.0015,0.00141666666666667,0.00283333333333333,0.0015,0.00125,0.00208333333333333,0.00141666666666667,0.00175,0.00133333333333333,0.00191666666666667,0.0015,0.00258333333333333,0.00216666666666667,0.00125,0.00191666666666667,0.00241666666666667,0.00191666666666667,0.00233333333333333,0.00266666666666667,0.00291666666666667,0.00233333333333333,0.00275,0.00258333333333333,0.00283333333333333,0.00291666666666667,0.00241666666666667,0.00291666666666667,0.00391666666666667,0.00366666666666667,0.00291666666666667,0.00358333333333333,0.00316666666666667,0.00433333333333333,0.003,0.00291666666666667,0.003,0.00358333333333333,0.00366666666666667,0.00266666666666667,0.00408333333333333,0.00483333333333333,0.00566666666666667,0.00558333333333333,0.00466666666666667,0.00683333333333333,0.00783333333333333,0.006,0.00708333333333333,0.00683333333333333,0.00416666666666667,0.00675,0.00566666666666667,0.006,0.00758333333333333,0.00775,0.00691666666666667,0.00825,0.00966666666666667,0.00791666666666667,0.00733333333333333,0.00691666666666667,0.00966666666666667,0.00966666666666667,0.00958333333333333,0.00975,0.0085,0.01025,0.0100833333333333,0.00975,0.00908333333333333,0.0129166666666667,0.0130833333333333,0.0103333333333333,0.011,0.0116666666666667,0.01075,0.0118333333333333,0.0121666666666667,0.0108333333333333,0.0121666666666667,0.0136666666666667,0.0133333333333333,0.0134166666666667,0.0124166666666667,0.0159166666666667,0.0121666666666667,0.01275,0.0123333333333333,0.01325,0.0130833333333333,0.0143333333333333,0.0151666666666667,0.0146666666666667,0.01575,0.01475
"439_1",0.000333333333333333,0,5e-04,0.00158333333333333,0.00075,0.0015,0.00141666666666667,0.00283333333333333,0.0015,0.00125,0.00208333333333333,0.00141666666666667,0.00175,0.00133333333333333,0.00191666666666667,0.0015,0.00258333333333333,0.00216666666666667,0.00125,0.00191666666666667,0.00241666666666667,0.00191666666666667,0.00233333333333333,0.00266666666666667,0.00291666666666667,0.00233333333333333,0.00275,0.00258333333333333,0.00283333333333333,0.00291666666666667,0.00241666666666667,0.00291666666666667,0.00391666666666667,0.00366666666666667,0.00291666666666667,0.00358333333333333,0.00316666666666667,0.00433333333333333,0.003,0.00291666666666667,0.003,0.00358333333333333,0.00366666666666667,0.00266666666666667,0.00408333333333333,0.00483333333333333,0.00566666666666667,0.00558333333333333,0.00466666666666667,0.00683333333333333,0.008,0.006,0.00708333333333333,0.00683333333333333,0.00416666666666667,0.00675,0.00566666666666667,0.006,0.00758333333333333,0.00775,0.00691666666666667,0.00825,0.00966666666666667,0.00791666666666667,0.00733333333333333,0.00691666666666667,0.00966666666666667,0.00966666666666667,0.00958333333333333,0.00975,0.0085,0.01025,0.0100833333333333,0.00975,0.00908333333333333,0.0130833333333333,0.01325,0.0103333333333333,0.011,0.0116666666666667,0.01075,0.0118333333333333,0.0121666666666667,0.0108333333333333,0.0121666666666667,0.0136666666666667,0.0133333333333333,0.0134166666666667,0.0124166666666667,0.0160833333333333,0.0121666666666667,0.01275,0.0123333333333333,0.01325,0.0130833333333333,0.0143333333333333,0.0151666666666667,0.0146666666666667,0.01575,0.01475
"471_1",5e-04,5e-04,0,0.00175,0.001,0.00166666666666667,0.00158333333333333,0.003,0.00166666666666667,0.00141666666666667,0.00225,0.00158333333333333,0.00191666666666667,0.0015,0.00208333333333333,0.00166666666666667,0.00275,0.00233333333333333,0.00141666666666667,0.00208333333333333,0.00258333333333333,0.00208333333333333,0.0025,0.00283333333333333,0.00308333333333333,0.0025,0.00291666666666667,0.00275,0.003,0.00308333333333333,0.00258333333333333,0.00308333333333333,0.00408333333333333,0.00383333333333333,0.00308333333333333,0.00308333333333333,0.00333333333333333,0.0045,0.00316666666666667,0.00308333333333333,0.00316666666666667,0.00375,0.00383333333333333,0.00283333333333333,0.00425,0.005,0.00583333333333333,0.00575,0.00416666666666667,0.007,0.00816666666666667,0.00616666666666667,0.00725,0.007,0.00433333333333333,0.00691666666666667,0.00583333333333333,0.00616666666666667,0.00775,0.00791666666666667,0.00708333333333333,0.00841666666666667,0.00983333333333333,0.00741666666666667,0.0075,0.00708333333333333,0.00983333333333333,0.00983333333333333,0.00908333333333333,0.00925,0.00866666666666667,0.0104166666666667,0.00958333333333333,0.00991666666666667,0.00925,0.01325,0.0134166666666667,0.0105,0.0111666666666667,0.0118333333333333,0.0109166666666667,0.012,0.0123333333333333,0.011,0.0123333333333333,0.0138333333333333,0.0135,0.0135833333333333,0.0125833333333333,0.01625,0.0123333333333333,0.0129166666666667,0.0125,0.0134166666666667,0.01325,0.0145,0.0153333333333333,0.0148333333333333,0.0159166666666667,0.0149166666666667
"1277_89.2118218274983",0.00158333333333333,0.00158333333333333,0.00175,0,0.00208333333333333,0.00191666666666667,0.00266666666666667,0.00408333333333333,0.00275,0.0025,0.00275,0.00266666666666667,0.003,0.0025,0.00316666666666667,0.00275,0.00383333333333333,0.00341666666666667,0.0025,0.00316666666666667,0.00366666666666667,0.00316666666666667,0.00358333333333333,0.00308333333333333,0.00358333333333333,0.00358333333333333,0.004,0.00383333333333333,0.00408333333333333,0.00416666666666667,0.00366666666666667,0.00416666666666667,0.00516666666666667,0.00491666666666667,0.00416666666666667,0.00483333333333333,0.00441666666666667,0.00558333333333333,0.00425,0.00416666666666667,0.00425,0.00483333333333333,0.00491666666666667,0.00391666666666667,0.00533333333333333,0.00608333333333333,0.00691666666666667,0.00683333333333333,0.00591666666666667,0.00808333333333333,0.00925,0.00725,0.00833333333333333,0.00808333333333333,0.00541666666666667,0.008,0.00691666666666667,0.00725,0.00883333333333333,0.009,0.00816666666666667,0.0095,0.0109166666666667,0.00916666666666667,0.00858333333333333,0.00816666666666667,0.0109166666666667,0.0109166666666667,0.0108333333333333,0.011,0.00975,0.0115,0.0113333333333333,0.0108333333333333,0.0101666666666667,0.0143333333333333,0.0145,0.0115833333333333,0.01225,0.0129166666666667,0.012,0.0130833333333333,0.0134166666666667,0.0120833333333333,0.0134166666666667,0.0149166666666667,0.0145833333333333,0.0146666666666667,0.0136666666666667,0.0173333333333333,0.0134166666666667,0.014,0.0135833333333333,0.0145,0.0143333333333333,0.0155833333333333,0.0164166666666667,0.0159166666666667,0.017,0.016
"1430_105.590590529992",0.000833333333333333,0.00075,0.001,0.00208333333333333,0,0.002,0.00191666666666667,0.00333333333333333,0.002,0.00175,0.00258333333333333,0.00191666666666667,0.00225,0.00183333333333333,0.00241666666666667,0.002,0.00308333333333333,0.00266666666666667,0.00175,0.00241666666666667,0.00291666666666667,0.00241666666666667,0.00283333333333333,0.00316666666666667,0.00341666666666667,0.00283333333333333,0.00325,0.00308333333333333,0.00333333333333333,0.00341666666666667,0.00291666666666667,0.00341666666666667,0.00441666666666667,0.00416666666666667,0.00341666666666667,0.00408333333333333,0.00366666666666667,0.00483333333333333,0.0035,0.00341666666666667,0.0035,0.00408333333333333,0.00416666666666667,0.00316666666666667,0.00458333333333333,0.00533333333333333,0.00616666666666667,0.00608333333333333,0.00516666666666667,0.00733333333333333,0.0085,0.0065,0.00758333333333333,0.00733333333333333,0.00466666666666667,0.00725,0.00616666666666667,0.0065,0.00808333333333333,0.00825,0.00741666666666667,0.00875,0.0101666666666667,0.00841666666666667,0.00783333333333333,0.00741666666666667,0.0101666666666667,0.0101666666666667,0.0100833333333333,0.01025,0.009,0.01075,0.0105833333333333,0.01025,0.00958333333333333,0.0135833333333333,0.01375,0.0108333333333333,0.0115,0.012,0.01125,0.0123333333333333,0.0126666666666667,0.0113333333333333,0.0126666666666667,0.0141666666666667,0.0138333333333333,0.0139166666666667,0.0129166666666667,0.0165833333333333,0.0126666666666667,0.01325,0.0128333333333333,0.01375,0.0135833333333333,0.0148333333333333,0.0156666666666667,0.0151666666666667,0.01625,0.01525
"1454_108.116166250286",0.0015,0.0015,0.00166666666666667,0.00191666666666667,0.002,0,0.00258333333333333,0.004,0.00266666666666667,0.00241666666666667,0.00275,0.00258333333333333,0.00291666666666667,0.0025,0.00308333333333333,0.00266666666666667,0.00375,0.00333333333333333,0.00241666666666667,0.00308333333333333,0.00358333333333333,0.00308333333333333,0.0035,0.00233333333333333,0.00358333333333333,0.0035,0.00383333333333333,0.00375,0.004,0.00408333333333333,0.00358333333333333,0.00408333333333333,0.00508333333333333,0.00483333333333333,0.00408333333333333,0.00475,0.00433333333333333,0.0055,0.00416666666666667,0.00408333333333333,0.00416666666666667,0.00475,0.00483333333333333,0.00383333333333333,0.00525,0.006,0.00683333333333333,0.00675,0.00583333333333333,0.008,0.00916666666666667,0.00716666666666667,0.00825,0.008,0.00533333333333333,0.00791666666666667,0.00683333333333333,0.00716666666666667,0.00875,0.00891666666666667,0.00808333333333333,0.00941666666666667,0.0108333333333333,0.00908333333333333,0.0085,0.00808333333333333,0.0108333333333333,0.0108333333333333,0.01075,0.0109166666666667,0.00966666666666667,0.0114166666666667,0.01125,0.0109166666666667,0.01025,0.01425,0.0144166666666667,0.0115,0.0120833333333333,0.01275,0.0119166666666667,0.013,0.0133333333333333,0.0119166666666667,0.01325,0.0148333333333333,0.0145,0.0145,0.0135,0.01725,0.0133333333333333,0.0139166666666667,0.0135,0.0144166666666667,0.01425,0.0154166666666667,0.0163333333333333,0.01575,0.0169166666666667,0.0158333333333333
"1460_108.817580083911",0.00141666666666667,0.00141666666666667,0.00158333333333333,0.00266666666666667,0.00191666666666667,0.00258333333333333,0,0.00391666666666667,0.00258333333333333,0.00233333333333333,0.00316666666666667,0.0025,0.00283333333333333,0.00241666666666667,0.003,0.00258333333333333,0.00366666666666667,0.00325,0.00233333333333333,0.003,0.0035,0.003,0.00341666666666667,0.00375,0.004,0.00341666666666667,0.00383333333333333,0.00366666666666667,0.00391666666666667,0.004,0.0035,0.004,0.005,0.00475,0.004,0.00466666666666667,0.00425,0.00541666666666667,0.00408333333333333,0.004,0.00408333333333333,0.00466666666666667,0.00475,0.00375,0.00516666666666667,0.00591666666666667,0.00675,0.00666666666666667,0.00575,0.00791666666666667,0.00908333333333333,0.00708333333333333,0.00816666666666667,0.00791666666666667,0.00525,0.00783333333333333,0.00675,0.00708333333333333,0.00866666666666667,0.00883333333333333,0.008,0.00925,0.01075,0.009,0.00841666666666667,0.008,0.0106666666666667,0.01075,0.0106666666666667,0.0108333333333333,0.00958333333333333,0.01125,0.0111666666666667,0.0108333333333333,0.0101666666666667,0.0141666666666667,0.0143333333333333,0.0114166666666667,0.012,0.0126666666666667,0.01175,0.0129166666666667,0.01325,0.0119166666666667,0.01325,0.0146666666666667,0.0143333333333333,0.0144166666666667,0.0135,0.0171666666666667,0.01325,0.0138333333333333,0.0134166666666667,0.0143333333333333,0.0141666666666667,0.0154166666666667,0.0161666666666667,0.01575,0.01675,0.0158333333333333
"1939_159.780529376522",0.00283333333333333,0.00283333333333333,0.003,0.00408333333333333,0.00333333333333333,0.004,0.00391666666666667,0,0.004,0.00375,0.00458333333333333,0.00383333333333333,0.00425,0.00383333333333333,0.00441666666666667,0.00391666666666667,0.00125,0.00466666666666667,0.00375,0.00441666666666667,0.00491666666666667,0.00441666666666667,0.00483333333333333,0.00516666666666667,0.00541666666666667,0.00483333333333333,0.00525,0.00508333333333333,0.00533333333333333,0.00541666666666667,0.00491666666666667,0.00541666666666667,0.00641666666666667,0.00616666666666667,0.00541666666666667,0.00608333333333333,0.00566666666666667,0.00683333333333333,0.0055,0.00541666666666667,0.0055,0.00608333333333333,0.00616666666666667,0.00516666666666667,0.00658333333333333,0.00733333333333333,0.00808333333333333,0.008,0.00716666666666667,0.00933333333333333,0.0104166666666667,0.0085,0.0095,0.00933333333333333,0.00666666666666667,0.00925,0.00808333333333333,0.0085,0.0100833333333333,0.01025,0.00941666666666667,0.01075,0.0121666666666667,0.0104166666666667,0.00983333333333333,0.00933333333333333,0.0121666666666667,0.012,0.0120833333333333,0.01225,0.011,0.01275,0.0125833333333333,0.01225,0.0115,0.0155,0.0156666666666667,0.0128333333333333,0.0135,0.0141666666666667,0.01325,0.0141666666666667,0.0145833333333333,0.0133333333333333,0.0146666666666667,0.0161666666666667,0.0158333333333333,0.0159166666666667,0.0149166666666667,0.0185,0.0145,0.0150833333333333,0.0146666666666667,0.0155833333333333,0.0155,0.0166666666666667,0.0176666666666667,0.017,0.01825,0.01725
"1981_162.205285524088",0.0015,0.0015,0.00166666666666667,0.00275,0.002,0.00266666666666667,0.00258333333333333,0.004,0,0.00241666666666667,0.00325,0.00258333333333333,0.00291666666666667,0.0025,0.00308333333333333,0.00266666666666667,0.00375,0.00333333333333333,0.00241666666666667,0.00308333333333333,0.00358333333333333,0.00308333333333333,0.0035,0.00383333333333333,0.00408333333333333,0.0025,0.00325,0.00375,0.004,0.00408333333333333,0.00358333333333333,0.00408333333333333,0.00408333333333333,0.00483333333333333,0.004,0.00475,0.00433333333333333,0.0055,0.00316666666666667,0.00408333333333333,0.00416666666666667,0.00475,0.00483333333333333,0.00383333333333333,0.00525,0.006,0.00683333333333333,0.00675,0.00583333333333333,0.00791666666666667,0.00916666666666667,0.00716666666666667,0.00825,0.008,0.00533333333333333,0.00791666666666667,0.00683333333333333,0.00716666666666667,0.00875,0.00891666666666667,0.00808333333333333,0.00941666666666667,0.0108333333333333,0.00908333333333333,0.00841666666666667,0.00808333333333333,0.0108333333333333,0.0108333333333333,0.01075,0.0109166666666667,0.00966666666666667,0.0114166666666667,0.01125,0.0109166666666667,0.01025,0.01425,0.0144166666666667,0.0115,0.0121666666666667,0.0128333333333333,0.0119166666666667,0.013,0.0131666666666667,0.012,0.0133333333333333,0.0148333333333333,0.0145,0.0145833333333333,0.0135833333333333,0.01725,0.0133333333333333,0.0139166666666667,0.0135,0.0143333333333333,0.0140833333333333,0.0155,0.0163333333333333,0.0158333333333333,0.0169166666666667,0.0159166666666667
"2058_169.02064330515",0.00125,0.00125,0.00141666666666667,0.0025,0.00175,0.00241666666666667,0.00233333333333333,0.00375,0.00241666666666667,0,0.003,0.00233333333333333,0.00266666666666667,0.00225,0.00283333333333333,0.00241666666666667,0.0035,0.00308333333333333,0.00216666666666667,0.00283333333333333,0.00333333333333333,0.00283333333333333,0.00325,0.00358333333333333,0.00383333333333333,0.00325,0.00366666666666667,0.0035,0.00375,0.00383333333333333,0.00333333333333333,0.00383333333333333,0.00483333333333333,0.00458333333333333,0.00383333333333333,0.0045,0.00408333333333333,0.00525,0.00391666666666667,0.00383333333333333,0.00391666666666667,0.0045,0.00458333333333333,0.00358333333333333,0.005,0.00575,0.00658333333333333,0.0065,0.00558333333333333,0.00775,0.00891666666666667,0.00691666666666667,0.008,0.00775,0.00508333333333333,0.00766666666666667,0.00658333333333333,0.00691666666666667,0.0085,0.00866666666666667,0.00783333333333333,0.00916666666666667,0.0105833333333333,0.00875,0.00825,0.00783333333333333,0.0105833333333333,0.0105833333333333,0.0104166666666667,0.0105833333333333,0.00941666666666667,0.0111666666666667,0.0109166666666667,0.0106666666666667,0.01,0.014,0.0141666666666667,0.01125,0.0119166666666667,0.0125833333333333,0.0116666666666667,0.01275,0.0130833333333333,0.01175,0.0130833333333333,0.0145833333333333,0.01425,0.0143333333333333,0.0133333333333333,0.017,0.0130833333333333,0.0136666666666667,0.01325,0.0141666666666667,0.014,0.0151666666666667,0.0160833333333333,0.0155833333333333,0.0166666666666667,0.0156666666666667
