# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 26 14:05:40 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.000125_156_313.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-4676241.018579335	-2161.8124681080462	-4674079.206111227	1578.4948233046564	-0.5744298975264428	1855.7800639841453	1.0	1.0	1.0	-4674079.206111227	0.0	-309.2230693841456
1000	-1331201.9016470783	-384.25599374428134	-1330817.645653334	1578.1147319608353	-0.19433855370539277	1807.9809390257644	0.7716978206146615	0.08187273294095652	0.08187273294095661	-1330817.645653334	0.0	-240.9197280843307
2000	-435968.1547930286	-197.1500481615474	-435771.00474486704	1578.025595904665	-0.10520249753494681	1760.299036727143	0.5840677401709333	0.019667802266625015	0.01966780226662502	-435771.00474486704	0.0	-168.19521382552665
3000	-131365.58895365134	-148.01540167849842	-131217.57355197283	1577.952899577042	-0.032506169912039695	1748.31689771013	0.6023083650348369	0.002929047965366547	0.0029290479653665464	-131217.57355197283	0.0	-149.47886174738886
4000	-99754.2517744814	-257.59224605911106	-99496.65952842229	1577.934967793977	-0.014574386847016285	1820.544127608177	0.8606367536895657	0.0011846273935236255	0.0011846273935236253	-99496.65952842229	0.0	-262.135906272094
5000	-87473.44707495136	-543.4552737692869	-86929.99180118207	1578.6290937915994	-0.7087003844694664	2103.5601878675275	1.9940544398422806	5.503078735150008E-4	5.50307873515001E-4	-86929.99180118207	0.0	-548.6133427106558
6000	-82655.54141554398	-665.0548794513209	-81990.48653609266	1578.570028746441	-0.6496353393110894	2314.4949407276254	3.0092884976783765	2.6260329809985007E-4	2.626032980998501E-4	-81990.48653609266	0.0	-670.7689232378941
7000	-80385.3602765934	-733.2654376602751	-79652.09483893313	1578.0836400144333	-0.16324660730333562	2486.663400625626	3.8477631525319165	2.3893382039220465E-4	2.3893382039220397E-4	-79652.09483893313	0.0	-738.8304432697131
8000	-78585.56055355682	-801.3815998125198	-77784.1789537443	1577.9653405614645	-0.044947154334522565	2629.456709887827	5.266004200832561	2.136852069464579E-4	2.1368520694645812E-4	-77784.1789537443	0.0	-806.7488565851661
9000	-76569.75857402151	-1057.4778352044054	-75512.2807388171	1581.1720018550727	-3.251608447942772	3385.2382842404168	10.45627175682859	1.5951995979382095E-4	1.595199597938207E-4	-75512.2807388171	0.0	-1062.453515760411
