# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 26 14:50:59 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.000125_166_383.9.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-5938311.76708108	-3221.7699959249003	-5935089.997085155	2507.4804805933627	24.916355514937095	2853.6286136697768	1.0	1.0	1.0	-5935089.997085155	0.0	-371.54719064281596
1000	-1684092.2901312748	-459.0128179221099	-1683633.2773133528	2507.2005941518432	25.19624195645656	2797.461830124227	0.8102466902296298	0.05802767421595802	0.05802767421595806	-1683633.2773133528	0.0	-301.7123173092086
2000	-323421.18097438075	-266.5180868901955	-323154.6628874905	2507.1804311469823	25.216404961317494	2762.0214501528385	0.6586437004740018	0.00719097380816737	0.007190973808167366	-323154.6628874905	0.0	-252.93099398792867
3000	-151757.5345972129	-336.7561305785367	-151420.77846663437	2507.1994137727	25.19742233559964	2828.40439559028	0.8618605087043184	0.0013625342700796111	0.0013625342700796124	-151420.77846663437	0.0	-339.75156800785464
4000	-129738.19608573607	-587.5268439689115	-129150.66924176716	2507.177885774336	25.218950333963676	3120.2517511417273	1.8261793929367547	3.698790790813626E-4	3.698790790813626E-4	-129150.66924176716	0.0	-593.1721388537944
5000	-123629.25156352956	-736.2642576736007	-122892.98730585596	2507.234109142996	25.16272696530359	3365.9062787539206	2.5941819236065844	3.1516603236315846E-4	3.151660323631582E-4	-122892.98730585596	0.0	-741.7697339386028
6000	-117938.29618807764	-944.9298953648477	-116993.36629271279	2507.2350414736934	25.161794634606395	3842.521883435286	4.599973541045385	2.601252372808535E-4	2.601252372808531E-4	-116993.36629271279	0.0	-950.0860587195018
7000	-115532.28812862122	-1044.0622692460984	-114488.22585937512	2507.1979549336766	25.19888117462324	4151.958122522457	5.749058577966258	2.2996168213561437E-4	2.2996168213561448E-4	-114488.22585937512	0.0	-1049.140543513853
8000	-112544.93632880243	-1142.0087599710407	-111402.9275688314	2507.164899031892	25.231937076407576	4448.630464967675	7.584812691903774	2.0485066412634853E-4	2.048506641263483E-4	-111402.9275688314	0.0	-1146.9457326445086
9000	-109199.10825908507	-1290.9173501725672	-107908.1909089125	2507.1651014486742	25.231734659625545	4961.9553724670795	9.937312529824533	1.637703284834248E-4	1.6377032848342458E-4	-107908.1909089125	0.0	-1295.8493679125527
10000	-105974.7067600681	-1303.1537098394751	-104671.55305022863	2507.1632771648096	25.233558943490152	5080.200159829281	11.584985476693793	1.5937228352966225E-4	1.593722835296626E-4	-104671.55305022863	0.0	-1307.9606787060752
11000	-103619.35428888156	-1420.7187989635825	-102198.63548991797	2507.1738502958297	25.222985812470142	5541.815653408569	15.005749043639637	1.5114803046062852E-4	1.5114803046062898E-4	-102198.63548991797	0.0	-1425.3090302664843
12000	-102076.66532025968	-1449.9091911694723	-100626.75612909021	2507.213038963499	25.183797144800792	5714.547064334371	17.654518642657422	1.3787568562138682E-4	1.3787568562138676E-4	-100626.75612909021	0.0	-1454.4479015811264
13000	-99209.65112947203	-1495.6764750013306	-97713.9746544707	2507.210923218084	25.185912890215604	5987.5520428114	19.161351460516784	1.300583880107399E-4	1.3005838801073973E-4	-97713.9746544707	0.0	-1500.1949658877197
14000	-97475.07993552636	-1543.1174049648848	-95931.96253056148	2507.1725551973764	25.224280910923426	6283.140045309283	22.219986001047666	1.2051905799169714E-4	1.2051905799169703E-4	-95931.96253056148	0.0	-1547.5714736491084
15000	-96163.44229481323	-1573.1955838350686	-94590.24671097816	2507.21501300388	25.18182310441989	6469.850473912532	22.658919022165566	1.1784339527961281E-4	1.1784339527961278E-4	-94590.24671097816	0.0	-1577.6507673202
16000	-94121.91300042103	-1597.3277590612706	-92524.58524135976	2507.1699506445066	25.226885463793224	6677.14808916381	23.73719479063473	1.0816320126320906E-4	1.0816320126320906E-4	-92524.58524135976	0.0	-1601.8352869829757
