# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat May 27 01:48:13 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.000125_83_113.6.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1684967.4780674696	-1372.402196644568	-1683595.075870825	1168.0062251988213	83.3788116614287	1266.340950193074	1.0	1.0	1.0	-1683595.075870825	0.0	-109.06082494827756
1000	-901914.8578804531	-186.26151741304867	-901728.59636304	1166.5052300041916	84.8798068560584	1228.1978723093569	0.6701511351357727	0.10992598259231759	0.10992598259231759	-901728.59636304	0.0	-55.7391721833067
2000	-458389.8583873196	-32.67467178244395	-458357.18371553713	1166.3502778320917	85.0347590281583	1202.1035434500325	0.3543404288175436	0.038595795139109663	0.03859579513910967	-458357.18371553713	0.0	8.083117996497592
3000	-212498.65313139115	45.60837395494039	-212544.2615053461	1166.2282351382505	85.1568017219995	1189.7417937373225	0.21849925629607975	0.014406349226077596	0.014406349226077598	-212544.2615053461	0.0	56.13881308235866
4000	-53007.49196210333	25.422735137281133	-53032.914697240616	1166.2033530703047	85.18168378994528	1198.6611729646256	0.2875307017135894	0.001858283394663492	0.0018582833946634927	-53032.914697240616	0.0	20.287595274252155
5000	-33991.173887601566	-83.3673080925834	-33907.806579508986	1166.2013052599366	85.18373160031342	1251.4345879989085	0.7609495108919522	4.2364370646850736E-4	4.236437064685075E-4	-33907.806579508986	0.0	-89.98730083824447
6000	-30336.632963599317	-229.44516553963186	-30107.187798059684	1167.3492653857463	84.03577147450369	1458.7298239162258	2.981933959574885	1.0377945011760599E-4	1.0377945011760596E-4	-30107.187798059684	0.0	-235.85812431548052
7000	-29687.41237025366	-345.3038072028093	-29342.10856305085	1167.1371980623398	84.24783879791016	1856.9691184116277	9.945812823028184	6.306287736980516E-5	6.30628773698052E-5	-29342.10856305085	0.0	-350.91622440690537
8000	-28630.458930942412	-393.58304758873703	-28236.875883353674	1167.6605957058716	83.72444115437838	2113.2655620314267	12.409606723423478	4.833878832968396E-5	4.8338788329683965E-5	-28236.875883353674	0.0	-399.1866920099157
9000	-28348.83853152203	-434.5893494559837	-27914.249182066047	1168.0166562852912	83.36838057495879	2427.085296959136	23.275261546404504	3.9817694521306306E-5	3.9817694521306285E-5	-27914.249182066047	0.0	-439.7357752661325
10000	-27827.46356267706	-464.7262178820337	-27362.737344795027	1168.956977964934	82.4280588953161	2697.64839241939	26.398678883856668	3.526803902627553E-5	3.526803902627555E-5	-27362.737344795027	0.0	-469.8617327641586
11000	-26897.962267198534	-537.1488320264285	-26360.813435172106	1168.600905651623	82.78413120862706	3534.9817265339516	49.087202297299584	2.3790951659936944E-5	2.379095165993694E-5	-26360.813435172106	0.0	-542.0071024694646
12000	-26348.68368449743	-593.376750948748	-25755.306933548683	1168.4343598135888	82.95067704666121	4315.907575933976	79.7428770699302	1.8512432026937633E-5	1.8512432026937623E-5	-25755.306933548683	0.0	-597.97924611925
13000	-26228.595827785215	-608.495649824265	-25620.10017796095	1169.746399421511	81.63863743873912	4572.062055835515	81.93148024786986	1.628516284371754E-5	1.628516284371755E-5	-25620.10017796095	0.0	-613.169432673779
14000	-25350.876248442786	-617.8868455971478	-24732.98940284564	1168.7276386730923	82.6573981871577	4716.296967018999	97.07918888621002	1.5411611839406337E-5	1.541161183940632E-5	-24732.98940284564	0.0	-622.4358521637955
15000	-24849.25004609058	-635.4661078843465	-24213.783938206234	1170.883201634441	80.50183522580892	5033.719048017352	130.2886413955574	1.3032676731614272E-5	1.3032676731614267E-5	-24213.783938206234	0.0	-639.8443703621103
16000	-24525.2943018833	-663.8796132734802	-23861.41468860982	1172.9386976670162	78.44633919323383	5707.6877753482195	136.8200773942474	1.1100283487760353E-5	1.1100283487760355E-5	-23861.41468860982	0.0	-668.3542792132786
