# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat May 27 21:23:56 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.000166666666666667_156_313.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-4448361.920270566	-2029.5045576670502	-4446332.415712899	1476.1793452314996	-0.1688949967995086	1738.2452637039864	1.0	1.0	1.0	-4446332.415712899	0.0	-294.41724472726224
1000	-1674657.9426754427	-421.0702526998052	-1674236.872422743	1475.4925747597088	0.5178754749913423	1687.2869496722924	0.7274420070221557	0.12030030961388329	0.1203003096138834	-1674236.872422743	0.0	-222.60928692492374
2000	-411514.55098767526	-190.78927150138315	-411323.7617161739	1475.1617449191374	0.8487053155627109	1650.6550826574667	0.6673847554823076	0.018748377872738992	0.018748377872739006	-411323.7617161739	0.0	-165.36697766165514
3000	-159271.3060403718	-162.27180716419963	-159109.0342332076	1475.0531152001438	0.9573350345563085	1648.7140324424888	0.5800450916733152	0.004332661304873968	0.004332661304873971	-159109.0342332076	0.0	-161.52543426154537
4000	-95226.54892064106	-687.0682812582195	-94539.48063938283	1476.100935822593	-0.09048558789299932	1976.9861223223527	0.925455454920642	4.012886237715031E-4	4.0128862377150306E-4	-94539.48063938283	0.0	-693.4851227705734
5000	-90917.42174499769	-646.9025927270545	-90270.51915227063	1475.385348428688	0.6251018060120259	2168.8675401174087	2.9310802787512302	3.1241964150739726E-4	3.124196415073975E-4	-90270.51915227063	0.0	-652.4538217680987
6000	-87988.52468979798	-729.5075359377627	-87259.01715386022	1475.0972492797182	0.9132009549819031	2345.0022872327345	3.834420384874486	2.868284966770771E-4	2.8682849667707695E-4	-87259.01715386022	0.0	-734.8768731037452
7000	-85232.53233094385	-796.1520350641362	-84436.38029587972	1475.0598634910366	0.9505867436635071	2498.457438119877	5.066372205765852	2.472085380710112E-4	2.47208538071011E-4	-84436.38029587972	0.0	-801.4037586350604
8000	-83654.22617018981	-847.0529978527063	-82807.1731723371	1475.0308851866587	0.9795650480414224	2621.770584507906	5.585798210629624	2.3506367466957114E-4	2.3506367466957136E-4	-82807.1731723371	0.0	-852.2577521836149
9000	-80796.17878862358	-1100.7706404390888	-79695.40814818449	1477.535532166391	-1.52508193169092	3399.555254289291	11.3803516859384	1.731590928624964E-4	1.731590928624964E-4	-79695.40814818449	0.0	-1105.574073094432
10000	-79096.64806720197	-1112.0183047802461	-77984.62976242173	1475.1338440814623	0.8766061532378444	3464.770560992002	11.669334133356756	1.7275325203418583E-4	1.7275325203418597E-4	-77984.62976242173	0.0	-1116.7974490505153
11000	-77921.2836492836	-1122.7747187776308	-76798.50893050598	1475.2651248643135	0.7453253703865812	3525.6550876155898	14.124522169039112	1.5931337325942395E-4	1.5931337325942395E-4	-76798.50893050598	0.0	-1127.4489868484684
12000	-76488.58036044857	-1152.5901320373573	-75335.99022841122	1475.7069389244257	0.30351131027441625	3662.0750123134044	14.37673862219436	1.5216891945870177E-4	1.521689194587018E-4	-75335.99022841122	0.0	-1157.2930538453115
13000	-75205.01404540599	-1179.7692734994325	-74025.24477190655	1475.9578463385321	0.05260389616796601	3780.0330674841216	16.18528285746618	1.4674624092449805E-4	1.4674624092449813E-4	-74025.24477190655	0.0	-1184.3902474253887
14000	-74440.86774260156	-1203.5452222545382	-73237.32252034702	1475.2090376979127	0.8014125367874385	3911.0707829950697	17.94038475038694	1.3922581403448488E-4	1.392258140344848E-4	-73237.32252034702	0.0	-1208.1167709225235
15000	-73652.17894352978	-1241.8473439246463	-72410.33159960514	1475.1076837863218	0.9027664483783155	4177.77800616879	21.29035329156313	1.3125299440593235E-4	1.3125299440593254E-4	-72410.33159960514	0.0	-1246.3063383599133
16000	-72105.93282745432	-1272.7258554316945	-70833.20697202263	1475.0506966337355	0.9597536009646319	4329.602330682572	19.36117539412267	1.206486658429428E-4	1.2064866584294259E-4	-70833.20697202263	0.0	-1277.3657893516024
17000	-70544.32927325401	-1306.8059279178158	-69237.5233453362	1475.099210048265	0.9112401864351796	4503.269232809378	24.550689974178315	1.0175773368340545E-4	1.0175773368340535E-4	-69237.5233453362	0.0	-1311.3773178638953
18000	-69501.15601540335	-1370.9360378969266	-68130.21997750642	1475.0834560808264	0.926994153873693	4840.527850160706	29.60087450912365	1.0165567716992353E-4	1.0165567716992368E-4	-68130.21997750642	0.0	-1375.3231510239202
19000	-68215.9305353611	-1398.3209002721242	-66817.60963508897	1475.096022164975	0.9144280697250906	5012.848359765736	31.309355171916675	8.846359674665458E-5	8.846359674665456E-5	-66817.60963508897	0.0	-1402.7875032902778
20000	-67452.65371097976	-1460.3525439482676	-65992.3011670315	1476.0671878490455	-0.05673761434536573	5429.800797910615	43.19763419162506	8.85176642832365E-5	8.851766428323646E-5	-65992.3011670315	0.0	-1464.4997430696485
21000	-66867.65829753398	-1474.6182079233981	-65393.040089610586	1475.0104577604575	0.9999924742426174	5556.423393192078	40.78436500109841	8.187052150106805E-5	8.187052150106794E-5	-65393.040089610586	0.0	-1478.8991776375829
22000	-65823.5614490104	-1491.9542231343794	-64331.607225876025	1475.0104623087564	0.9999879259437421	5713.015574039054	41.26545203774173	7.763038634777547E-5	7.763038634777552E-5	-64331.607225876025	0.0	-1496.275355905533
23000	-65116.984226869215	-1523.5354735434764	-63593.44875332574	1475.5200609381602	0.49038929653988816	6007.465067349537	49.363446076108346	7.066865527941673E-5	7.066865527941669E-5	-63593.44875332574	0.0	-1527.7684922224803
24000	-63942.981668833105	-1534.499819624533	-62408.48184920857	1476.0967394667434	-0.0862892320433275	6126.348916965493	46.84555317898707	6.912905516990586E-5	6.912905516990594E-5	-62408.48184920857	0.0	-1538.8070347203288
25000	-63364.10265279744	-1545.8323041023243	-61818.270348695114	1475.674696383748	0.33575385095218735	6224.113561807447	51.07706863189808	6.729777144871078E-5	6.729777144871084E-5	-61818.270348695114	0.0	-1550.0790194192427
26000	-62591.0306951496	-1579.8145461964425	-61011.21614895316	1475.3518908092933	0.6585594254067928	6477.3514256699245	65.32306806693742	6.564006260903551E-5	6.564006260903546E-5	-61011.21614895316	0.0	-1583.8413579201663
27000	-61610.40659476271	-1600.598600250083	-60009.80799451263	1475.0378334801876	0.9726167545125008	6648.293083987484	65.0751276146375	6.068337918942058E-5	6.068337918942062E-5	-60009.80799451263	0.0	-1604.703230074049
28000	-60891.9947668087	-1609.618009558997	-59282.3767572497	1475.020921112989	0.9895291217110298	6732.276246580326	61.55085499882069	5.843222812518091E-5	5.8432228125180935E-5	-59282.3767572497	0.0	-1613.813554750081
29000	-59901.931691441176	-1625.0554698368194	-58276.876221604354	1475.074204082727	0.9362461519731369	6923.959805200937	68.88290202887359	5.5788184520488856E-5	5.5788184520488924E-5	-58276.876221604354	0.0	-1629.1827675403272
30000	-59150.74227021819	-1663.819759751804	-57486.922510466386	1475.039333877548	0.9711163571521411	7318.103411524901	87.75650241396973	5.187881330984849E-5	5.187881330984853E-5	-57486.922510466386	0.0	-1667.7755276015998
31000	-58177.537312480505	-1690.424513736744	-56487.11279874376	1475.5041740676213	0.506276167078795	7634.333873311043	74.8850972534575	4.8618199390597574E-5	4.8618199390597574E-5	-56487.11279874376	0.0	-1694.6009881209598
32000	-57147.239353271274	-1698.7162863654432	-55448.52306690583	1475.6434299874204	0.3670202472796973	7792.628218812105	90.05653973370002	4.5651490935334466E-5	4.565149093533449E-5	-55448.52306690583	0.0	-1702.7654425121666
33000	-56748.59777864572	-1740.9542746566378	-55007.643503989086	1477.4530158370842	-1.442565602384093	8233.639103640999	101.5850108532127	3.900994915309519E-5	3.900994915309514E-5	-55007.643503989086	0.0	-1745.0236584822735
34000	-56473.8488724377	-1756.1533775680296	-54717.69549486967	1476.8618684385613	-0.851418203861158	8422.876613597185	98.36273701456878	4.2941620567815506E-5	4.294162056781547E-5	-54717.69549486967	0.0	-1760.1778464677247
35000	-56163.19722049512	-1793.870904521053	-54369.32631597407	1476.7464813484614	-0.736031113761328	8809.490802044096	115.0501767899189	3.991367583330591E-5	3.991367583330586E-5	-54369.32631597407	0.0	-1797.8077402947017
36000	-55468.61156231985	-1852.9699048053492	-53615.6416575145	1475.1308211816718	0.8796290530283386	9557.52729483564	125.18040001840842	3.381316299859807E-5	3.3813162998598E-5	-53615.6416575145	0.0	-1856.9744860945543
37000	-54677.08095656107	-1873.8602798473084	-52803.22067671376	1475.238704286468	0.7717459482321374	9842.873953710392	155.98777865270594	3.411842367354625E-5	3.4118423673546286E-5	-52803.22067671376	0.0	-1877.6424019243473
38000	-53833.394202585936	-1888.1235818454063	-51945.27062074053	1475.1021494241706	0.9083008105294539	10082.545503585576	160.84368396794227	3.219773491559173E-5	3.219773491559172E-5	-51945.27062074053	0.0	-1891.9272365347695
39000	-53088.069730396186	-1929.1857589369918	-51158.883971459196	1475.2614352559983	0.7490149787017799	10742.408737048634	183.91552545859935	2.87324788831062E-5	2.8732478883106166E-5	-51158.883971459196	0.0	-1932.9599799238458
40000	-52436.43246239396	-1947.8798014670356	-50488.55266092692	1475.1271948706242	0.8832553640759215	10988.325920247544	185.1890759547943	2.7775858630913102E-5	2.7775858630913065E-5	-50488.55266092692	0.0	-1951.6788150101029
41000	-51922.85571371242	-1945.3129680605412	-49977.54274565188	1475.2236941533113	0.7867560813888304	11029.600825550451	186.296773886576	2.72284660592107E-5	2.7228466059210743E-5	-49977.54274565188	0.0	-1949.122735798871
42000	-51536.442192445225	-1946.1473660263846	-49590.29482641884	1475.7586566753619	0.251793559338239	11060.988566040955	199.37871479079772	2.609218174133296E-5	2.6092181741332982E-5	-49590.29482641884	0.0	-1949.9237168999384
43000	-51165.57763432187	-1959.1288841495248	-49206.44875017234	1475.4077784589715	0.6026717757285951	11285.901517293447	192.89881689936382	2.609218174133296E-5	2.609218174133297E-5	-49206.44875017234	0.0	-1962.9424718319701
44000	-50933.88354008921	-1968.7652468219442	-48965.11829326727	1475.575455659966	0.4349945747339916	11516.121332622046	194.9818043717211	2.5084901075854244E-5	2.5084901075854264E-5	-48965.11829326727	0.0	-1972.6034686869652
45000	-50727.56174567807	-1985.1133959021047	-48742.448349775965	1475.5022836906726	0.5081665440275174	11782.156972164194	188.14201240708246	2.4287409918589527E-5	2.428740991858954E-5	-48742.448349775965	0.0	-1989.017622818904
46000	-50536.41566477946	-1986.34249216861	-48550.07317261085	1476.5474495213282	-0.5369992866280882	11890.30769358448	213.23336666208488	2.4165729148559453E-5	2.4165729148559463E-5	-48550.07317261085	0.0	-1990.1274290599288
47000	-50426.16315485292	-1999.8754204767847	-48426.287734376136	1477.052062217109	-1.0416119824089947	12163.595138313714	227.04569111948112	2.330125450502125E-5	2.3301254505021247E-5	-48426.287734376136	0.0	-2003.6310802892006
48000	-50250.71258950089	-2012.677550610359	-48238.03503889053	1477.327428915754	-1.3169786810537971	12401.634664088922	228.30346090307359	2.301798550551357E-5	2.301798550551357E-5	-48238.03503889053	0.0	-2016.441458427516
49000	-49834.61180519491	-2021.107394229232	-47813.504410965674	1484.9535223810994	-8.943072146399345	12539.193763859612	223.76207565888365	2.2426939387533708E-5	2.242693938753371E-5	-47813.504410965674	0.0	-2024.914161317407
50000	-49252.632575250675	-2026.5500830407289	-47226.08249220995	1478.7111668163075	-2.7007165816073666	12662.293535878687	247.406649117116	2.2013316404367568E-5	2.2013316404367548E-5	-47226.08249220995	0.0	-2030.273069108166
51000	-48848.57160609904	-2034.6079334201388	-46813.963672678896	1487.5250584449	-11.514608210199867	12825.686841402501	238.09064665721618	2.1549146481455407E-5	2.1549146481455414E-5	-46813.963672678896	0.0	-2038.388724189346
52000	-48537.16647603526	-2044.7738588615905	-46492.39261717367	1478.5292882649094	-2.518838030209281	13032.018832368456	254.13251622029256	2.004791212351309E-5	2.0047912123513092E-5	-46492.39261717367	0.0	-2048.548648371205
53000	-48028.143027724494	-2052.2017630562536	-45975.94126466824	1476.5984611522701	-0.5880109175700454	13159.455734664623	289.3359902446891	1.9832576118405057E-5	1.9832576118405063E-5	-45975.94126466824	0.0	-2055.8573638770763
54000	-47547.92792338632	-2055.848669737557	-45492.079253648764	1477.0521333941897	-1.041683159489594	13223.488350127904	255.85839943407268	1.92420517808357E-5	1.924205178083569E-5	-45492.079253648764	0.0	-2059.6513147952205
55000	-47269.98459257924	-2082.8924504237325	-45187.09214215551	1477.847974864698	-1.8375246299979153	13777.435833311778	297.5524270088576	1.92420517808357E-5	1.9242051780835712E-5	-45187.09214215551	0.0	-2086.5539888751023
56000	-47005.04916111627	-2086.5418410378397	-44918.50732007843	1476.98869280918	-0.9782425744799639	13852.760462232576	310.5598458003086	1.8036994499658126E-5	1.803699449965815E-5	-44918.50732007843	0.0	-2090.2109000389305
57000	-46747.65385111358	-2089.363549760753	-44658.29030135283	1476.9122131215647	-0.901762886864617	13926.19505201904	302.4370068546792	1.793851781239173E-5	1.7938517812391727E-5	-44658.29030135283	0.0	-2093.064540108669
58000	-46528.11598476108	-2109.833264057393	-44418.28272070369	1478.7985254436244	-2.7880752089242833	14309.849398551722	308.99992783363643	1.793851781239173E-5	1.7938517812391737E-5	-44418.28272070369	0.0	-2113.5194924188936
59000	-45723.07183833508	-2124.3561199873634	-43598.71571834772	1477.293907094863	-1.2834568601629144	14601.208159796377	356.6231251777195	1.6165522922359133E-5	1.6165522922359143E-5	-43598.71571834772	0.0	-2127.9817840034566
