# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun May 28 00:03:24 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.000166666666666667_191_669.8.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-9603129.674638482	-3751.014203900059	-9599378.660434581	2433.070750267478	86.24517986262163	3040.2745701413924	1.0	1.0	1.0	-9599378.660434581	0.0	-714.177120370477
1000	-7715772.766980039	-2156.138195586965	-7713616.628784452	2432.995739888556	86.32019024154397	2970.5741786698563	0.880343881913414	0.5166831326446205	0.5166831326446208	-7713616.628784452	0.0	-625.1761189425675
2000	-4101081.02509152	-1045.440980462679	-4100035.584111057	2432.986608715547	86.32932141455285	2934.642950614155	0.8285964332565927	0.16163726792956912	0.16163726792956928	-4100035.584111057	0.0	-575.6123394944681
3000	-491171.476041258	-543.5619536264454	-490627.91408763157	2432.716903172657	86.59902695744267	2898.27989612369	0.7746758720957586	0.01044999903603429	0.010449999036034299	-490627.91408763157	0.0	-519.2243901763198
4000	-383655.2082626152	-501.2967284536119	-383153.9115341616	2432.538902171743	86.77702795835694	2872.720372898189	0.7167794883159223	0.007145860736947386	0.007145860736947386	-383153.9115341616	0.0	-486.9814091895164
5000	-216493.75914057498	-542.0734547098509	-215951.68568586514	2432.5062345191127	86.80969561098709	2908.6680185846444	0.8164584513445289	0.0014522329219300034	0.0014522329219300062	-215951.68568586514	0.0	-544.7348573108881
6000	-198345.52722271826	-752.6726305775279	-197592.85459214073	2432.46081041388	86.85511971621963	3082.0796627220416	1.0966994043994425	5.404372832630422E-4	5.404372832630417E-4	-197592.85459214073	0.0	-758.1205356599754
7000	-193831.8295242729	-993.5770395886901	-192838.25248468423	2432.418613958986	86.89731617111374	3345.037107260626	1.5608648405203713	4.663658926854992E-4	4.66365892685499E-4	-192838.25248468423	0.0	-998.892309936759
8000	-188485.18854915036	-1159.2094543660928	-187325.97909478427	2432.4145352359683	86.9013948941315	3560.080482217404	1.9629123040006595	4.459682537844567E-4	4.459682537844564E-4	-187325.97909478427	0.0	-1164.3213779170173
9000	-183383.4529993848	-1247.4964409722925	-182135.95655841252	2432.429479726613	86.88645040348683	3715.678782719066	2.4475583685338007	4.1546640813116615E-4	4.1546640813116615E-4	-182135.95655841252	0.0	-1252.4884580925443
