# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue May 30 22:57:35 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.000166666666666667_83_5.68.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-75862.11917520288	-87.15469103711257	-75774.96448416577	79.65574798466037	318.20063623312865	84.02478388448375	1.0	1.0	1.0	-75774.96448416577	0.0	-4.773098110499689
1000	-60542.73783727175	-0.8502138886219894	-60541.887623383125	79.439074250876	318.417309966913	79.71879319080105	0.4457518651086072	0.08891877792240545	0.08891877792240543	-60541.887623383125	0.0	2.603387238885083
2000	-39750.839882179105	7.130800321604168	-39757.97068250071	79.4375110932917	318.4188731244973	79.46197103287378	0.29603081873253795	0.02852645083606766	0.028526450836067665	-39757.97068250071	0.0	4.786540522766003
3000	-19147.58589452144	3.8230506503991406	-19151.40894517184	79.43588673243913	318.42049748534987	80.94062878466175	0.16436758894374054	0.002268913214735935	0.002268913214735935	-19151.40894517184	0.0	-2.4676722228211507
4000	-17529.658049952144	-0.9418613700941725	-17528.71618858205	79.47340393081018	318.38298028697886	83.2373757904601	0.33334880296399916	5.159393033418177E-4	5.159393033418177E-4	-17528.71618858205	0.0	-7.420725826250482
5000	-17219.409349491307	-7.668713967035926	-17211.74063552427	79.7495356174011	318.10684860038793	97.04216263508343	1.615925126788044	1.7827038978673155E-4	1.7827038978673152E-4	-17211.74063552427	0.0	-13.202818986826319
6000	-17119.38588143971	-12.850874204653515	-17106.535007235056	80.72541196285745	317.1309722549316	125.68083870071212	4.798359886577102	6.647884823891712E-5	6.647884823891712E-5	-17106.535007235056	0.0	-17.928066174969707
7000	-17095.074062049327	-11.407222170710149	-17083.666839878617	79.79288672199975	318.06349749578925	137.06699074827782	15.781028691173082	3.1914597233450737E-5	3.191459723345074E-5	-17083.666839878617	0.0	-15.708132711740351
8000	-17089.846393685802	-13.885594298167002	-17075.960799387634	84.65442475532016	313.20195946246884	168.3581992556695	35.72926359804179	2.4609400501315364E-5	2.460940050131537E-5	-17075.960799387634	0.0	-17.602354050197995
9000	-17084.620006774167	-14.198401352991423	-17070.421605421176	106.72152674282034	291.13485747496867	209.11775973035427	37.73269555853139	2.0861264385311277E-5	2.0861264385311274E-5	-17070.421605421176	0.0	-18.05140399155206
10000	-17086.149292930964	-16.291457027370456	-17069.857835903593	112.59106673063714	285.2653174871519	243.75062564909848	28.177219662148904	1.8079740881983412E-5	1.8079740881983412E-5	-17069.857835903593	0.0	-20.584603403962877
11000	-17085.7636636361	-18.16111304262794	-17067.60255059347	179.71378184711622	218.1426023706728	413.5650569120475	77.07068340894867	1.1102400910749844E-5	1.1102400910749844E-5	-17067.60255059347	0.0	-21.956015572105358
12000	-17084.24322781828	-16.69589758301716	-17067.547330235262	156.1644585375283	241.6919256802607	338.74111608740066	55.652486171125545	9.742578362476854E-6	9.742578362476856E-6	-17067.547330235262	0.0	-20.783226127718656
13000	-17083.625544227652	-17.033175009473442	-17066.59236921818	159.60508970358796	238.25129451420105	342.4805851163994	77.25174173402159	1.0190304069024502E-5	1.0190304069024504E-5	-17066.59236921818	0.0	-20.775395043784727
14000	-17087.06262528526	-19.879307440270956	-17067.18331784499	224.00845324419552	173.8479309735935	528.3153272750249	166.37518486477717	8.350071036169097E-6	8.350071036169097E-6	-17067.18331784499	0.0	-23.169752553000542
15000	-17087.326334819074	-19.594115936662526	-17067.73221888241	245.9705824930242	151.8858017247648	559.2367769444322	155.69461064086238	6.293587882328178E-6	6.293587882328179E-6	-17067.73221888241	0.0	-23.121611021020943
16000	-17087.829363399807	-20.680411032102434	-17067.148952367705	234.8702973611213	162.98608685666773	590.6698633196127	160.01727548200088	6.923658975043456E-6	6.923658975043456E-6	-17067.148952367705	0.0	-24.15958642576004
17000	-17090.74857040076	-21.752654947173642	-17068.995915453586	428.89332833070233	-31.036944112913318	984.2607636468865	98.5163473787795	3.563156755186579E-6	3.563156755186579E-6	-17068.995915453586	0.0	-26.304937702566058
18000	-17092.739879577286	-24.96432353891403	-17067.77555603837	541.2468293325261	-143.39044511473708	1386.028324133631	633.5646797740104	2.419930254126531E-6	2.4199302541265304E-6	-17067.77555603837	0.0	-28.02022713760713
19000	-17093.156112396307	-20.916351110802708	-17072.239761285506	316.68207899062946	81.17430522715955	759.5998004649103	214.78340009251158	3.481527925963825E-6	3.4815279259638252E-6	-17072.239761285506	0.0	-24.572127029886055
20000	-17091.0925476045	-20.58556786325054	-17070.50697974125	325.68222849880215	72.17415571898687	782.6001760964768	169.20276265265204	4.260516061448011E-6	4.260516061448011E-6	-17070.50697974125	0.0	-24.39314196425648
21000	-17086.463335579356	-18.258456889336813	-17068.20487869002	230.72810738079832	167.1282768369907	505.7412253159886	84.5946349436855	7.313077756996889E-6	7.31307775699689E-6	-17068.20487869002	0.0	-22.270458306195334
22000	-17086.13603090756	-19.173013323585305	-17066.963017583974	171.70489411421696	226.15149010357206	377.3451723814326	160.65486322652987	1.167552055275407E-5	1.1675520552754072E-5	-17066.963017583974	0.0	-22.162572578874833
23000	-17086.870874187407	-18.0909766812062	-17068.7798975062	214.789589884719	183.06679433307002	460.68596675731334	110.04908527411806	6.672339497901475E-6	6.672339497901476E-6	-17068.7798975062	0.0	-21.83973969959702
24000	-17088.646934320564	-20.654952242733692	-17067.99198207783	348.1941289278045	49.6622552899845	794.1360104876081	189.24304332321702	4.893295971923642E-6	4.893295971923642E-6	-17067.99198207783	0.0	-24.288118826357625
25000	-17090.981931745166	-23.49021377777667	-17067.49171796739	436.88073260486016	-39.02434838707114	1135.5017008298282	158.25036735720153	3.099719783875473E-6	3.0997197838754725E-6	-17067.49171796739	0.0	-27.709665066517033
26000	-17086.616472970687	-19.21191415507203	-17067.404558815615	240.729603658896	157.12678055889302	550.4168291538755	74.04567819946209	7.796316823754597E-6	7.796316823754597E-6	-17067.404558815615	0.0	-23.36684331256263
27000	-17086.71780550471	-19.250161904027937	-17067.467643600685	202.97453758159145	194.88184663619757	481.2584406483966	118.34765672685087	9.163841114726038E-6	9.16384111472604E-6	-17067.467643600685	0.0	-22.788085026966417
28000	-17084.35709092919	-17.774518705963654	-17066.582572223226	158.55045023795492	239.3059339798341	344.3502013271003	108.44591604252238	1.0131833248794697E-5	1.0131833248794695E-5	-17066.582572223226	0.0	-21.183157010424516
29000	-17085.59854535143	-17.801798967452083	-17067.796746383978	219.88111282406703	177.97527139372198	473.1735537515764	66.94541551985587	8.997724385364886E-6	8.997724385364887E-6	-17067.796746383978	0.0	-21.91029949625742
30000	-17087.183325518523	-18.173398393261355	-17069.009927125262	162.34041535769296	235.51596886009605	389.82040948084057	67.24346510379326	1.0214965268033658E-5	1.021496526803366E-5	-17069.009927125262	0.0	-22.11740304499664
31000	-17084.11660952219	-17.84586385324492	-17066.270745668942	171.97430515013588	225.88207906765314	391.10605719382556	77.07744243241763	9.207342286181432E-6	9.207342286181432E-6	-17066.270745668942	0.0	-21.707331244107188
32000	-17090.763330746406	-20.582006550767954	-17070.181324195637	298.9518572530029	98.9045269647861	719.0162573987836	112.14252680936704	3.816453598700137E-6	3.8164535987001365E-6	-17070.181324195637	0.0	-24.814163348821573
33000	-17091.367235732596	-22.45628181481957	-17068.910953917777	297.904158650801	99.95222556698803	809.8220098520706	152.01446180749411	5.238107192157045E-6	5.2381071921570455E-6	-17068.910953917777	0.0	-26.283881692798374
34000	-17087.224826317146	-20.365431215046808	-17066.8593951021	290.2520155691254	107.60436864866364	698.9142576510418	121.47311041657157	5.501087191809205E-6	5.501087191809206E-6	-17066.8593951021	0.0	-24.319575001232373
35000	-17089.294549763392	-20.935897395871145	-17068.358652367522	278.06720164333984	119.78918257444917	650.2792515625993	233.3339335155575	6.075023095130182E-6	6.075023095130182E-6	-17068.358652367522	0.0	-24.151474700652365
36000	-17085.270123212118	-19.291634417777864	-17065.97848879434	178.86311205548424	218.99327216230478	396.2792714912242	165.30733970300895	9.844299081150499E-6	9.844299081150497E-6	-17065.97848879434	0.0	-22.362930595815417
37000	-17091.89300921367	-18.69802682037634	-17073.194982393292	206.73702060573575	191.11936361205326	487.7377580448811	71.29751552677828	6.790064271629514E-6	6.790064271629514E-6	-17073.194982393292	0.0	-22.900402640853606
38000	-17086.87834486478	-18.565865991508893	-17068.31247887327	164.7379163359999	233.11846788178912	392.10583120500394	111.60257891060877	8.277051205831236E-6	8.277051205831236E-6	-17068.31247887327	0.0	-22.112089194591967
39000	-17086.412743901947	-20.393467785212884	-17066.019276116735	169.56926468376508	228.28711953402393	381.72743851773816	227.37771980195976	1.0321108213952175E-5	1.0321108213952173E-5	-17066.019276116735	0.0	-23.103563523988008
40000	-17091.93851463727	-23.8759493739432	-17068.062565263328	338.5234023447279	59.3329818730611	841.0867325498413	512.8229555973808	5.356692236189356E-6	5.356692236189356E-6	-17068.062565263328	0.0	-26.49507765765368
41000	-17089.03621098579	-20.324151536019137	-17068.71205944977	273.68130981969534	124.17507439809367	619.4783774923632	183.47376735622382	8.121058307825442E-6	8.121058307825442E-6	-17068.71205944977	0.0	-23.609648011046367
42000	-17088.263151002844	-20.679163954478874	-17067.583987048365	266.9929144659777	130.8634697518113	668.7424826479945	136.13730961012496	6.748526251751682E-6	6.748526251751682E-6	-17067.583987048365	0.0	-24.39441471309525
43000	-17086.571728545943	-19.138684751056996	-17067.433043794885	211.80103842102227	186.05534579676674	504.4311033036299	119.67522702682072	7.684818476051228E-6	7.684818476051225E-6	-17067.433043794885	0.0	-22.777509248355557
44000	-17088.93633239355	-21.084491160750915	-17067.8518412328	309.80111632078905	88.05526789699996	728.8997086739744	223.65317919870523	6.045462531490077E-6	6.045462531490077E-6	-17067.8518412328	0.0	-24.40149249252499
45000	-17090.586785893593	-21.863073536555035	-17068.723712357038	303.49102889001904	94.36535532776998	712.5165023917536	316.20858274852964	4.080272706602151E-6	4.080272706602152E-6	-17068.723712357038	0.0	-25.02047416670647
