# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 31 19:51:58 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.00025_156_313.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-4552484.611321312	-2172.8143413692983	-4550311.796979943	1578.9429318373966	-1.0225384302666498	1862.2177335537224	1.0	1.0	1.0	-4550311.796979943	0.0	-313.7890045658187
1000	-1800512.5836283336	-470.3019535914136	-1800042.2816747422	1580.009936912583	-2.0895435054530935	1807.6889584921687	0.8448831800518639	0.12839166970945404	0.128391669709454	-1800042.2816747422	0.0	-242.58217899068927
2000	-593249.0824704408	-221.2033855281204	-593027.8790849126	1578.4521617002458	-0.5317682931158743	1763.9628095013156	0.6194943169275083	0.02800739077767467	0.028007390777674668	-593027.8790849126	0.0	-177.2311791141109
3000	-197440.66090569727	-160.3799691226769	-197280.2809365746	1578.0734901324333	-0.15309672530338503	1752.7932348300244	0.5714927900987433	0.004362248807783299	0.0043622488077832994	-197280.2809365746	0.0	-159.17285414322563
4000	-140103.94874753003	-367.70450046455073	-139736.24424706548	1577.991644364183	-0.07125095705305284	1915.703982029185	1.174217981738513	9.373376400556998E-4	9.373376400556995E-4	-139736.24424706548	0.0	-372.44102541738977
5000	-133005.61002262734	-526.6603058774044	-132478.94971674995	1578.0632459950882	-0.1428525879582594	2110.6752983890983	1.8863542051434472	5.383470454669057E-4	5.383470454669057E-4	-132478.94971674995	0.0	-531.9079043303501
6000	-126203.68078011391	-653.8399151954982	-125549.84086491841	1578.0066613949034	-0.08626798777345357	2302.125192115682	3.30267691221392	4.7288728244239734E-4	4.7288728244239723E-4	-125549.84086491841	0.0	-658.6832919381053
7000	-120012.85763254983	-783.4694952797819	-119229.38813727004	1577.9595368251541	-0.03914341802419585	2577.8475778546954	4.1864771458829555	4.1482699172774667E-4	4.1482699172774645E-4	-119229.38813727004	0.0	-788.2170895121826
8000	-116730.54338018308	-836.0457963366979	-115894.49758384639	1577.9402954193204	-0.019902012190414098	2704.3730439265764	5.511917919113464	3.5565611536195354E-4	3.556561153619533E-4	-115894.49758384639	0.0	-840.7267777650603
9000	-113059.73744379717	-1078.4975202885782	-111981.23992350859	1580.0523916995642	-2.1319982924342185	3473.0550177638165	12.346860325317735	2.7227995513151625E-4	2.722799551315162E-4	-111981.23992350859	0.0	-1082.646845109355
10000	-110845.61484800736	-1095.775593961882	-109749.83925404548	1578.3774106389278	-0.45701723179786313	3564.554861623272	11.919165275327337	2.605220737454341E-4	2.605220737454341E-4	-109749.83925404548	0.0	-1100.0122448754141
11000	-107617.70013807791	-1114.5672539593204	-106503.13288411859	1578.1103062605316	-0.18991285340166542	3665.5734453378964	13.934811809979964	2.5705507854686667E-4	2.5705507854686683E-4	-106503.13288411859	0.0	-1118.6547247155004
12000	-104729.08924103579	-1148.1572521749345	-103580.93198886086	1578.3577130041747	-0.4373195970447341	3796.1349369133973	15.70410421995785	2.2179756452821566E-4	2.2179756452821584E-4	-103580.93198886086	0.0	-1152.3167337398297
13000	-101611.11907731855	-1212.76038911469	-100398.35868820387	1578.2595570223561	-0.3391636152261981	4096.278127024356	16.43036027410891	2.0811883412399427E-4	2.081188341239944E-4	-100398.35868820387	0.0	-1216.9339983791112
14000	-99228.42998507699	-1244.8631170527278	-97983.56686802427	1577.9391347394007	-0.018741332270792554	4259.42499974587	20.590125685162736	1.8991081665011613E-4	1.899108166501165E-4	-97983.56686802427	0.0	-1248.9199523222564
15000	-96756.75418811625	-1266.031651329973	-95490.72253678627	1577.954940356419	-0.034546949289051554	4387.562846686003	22.722395571890953	1.7402002245632897E-4	1.7402002245632894E-4	-95490.72253678627	0.0	-1270.0938462674942
16000	-94076.800781912	-1335.5782393714014	-92741.22254254059	1577.9928501153984	-0.07245670826841888	4769.315855824828	26.500011307633756	1.49044603770034E-4	1.490446037700338E-4	-92741.22254254059	0.0	-1339.6585000217062
17000	-93326.72255185831	-1355.0460977980108	-91971.6764540603	1577.9219081483386	-0.001514741208666237	4888.751237154716	31.257030172215437	1.488675249666397E-4	1.4886752496663972E-4	-91971.6764540603	0.0	-1358.957285202258
18000	-91599.33451037493	-1375.6094280913728	-90223.72508228356	1577.9209027485526	-5.093414226848836E-4	5056.200326074114	31.80133181650796	1.4664234164380932E-4	1.4664234164380948E-4	-90223.72508228356	0.0	-1379.5140441940919
19000	-90222.85068505871	-1397.5783640283057	-88825.27232103041	1577.9213110625058	-9.176553758152295E-4	5229.627246212246	35.3917001434791	1.4682011821666737E-4	1.468201182166672E-4	-88825.27232103041	0.0	-1401.3659061056403
20000	-88806.22863876751	-1431.9274031958312	-87374.30123557168	1577.9270866297015	-0.006693222571584556	5471.552109355458	34.6486836765863	1.2567413151586367E-4	1.256741315158637E-4	-87374.30123557168	0.0	-1435.9167138895264
21000	-86917.49524472981	-1514.338102870646	-85403.15714185916	1578.5764547662623	-0.656061359132309	6067.638614880574	49.40011668175476	1.0679236049231871E-4	1.0679236049231894E-4	-85403.15714185916	0.0	-1518.1454821651525
22000	-86361.73053817375	-1529.3577243242082	-84832.37281384955	1578.0366169368765	-0.11622352974654859	6204.606378039451	49.48689416003014	1.0596010073352034E-4	1.0596010073352036E-4	-84832.37281384955	0.0	-1533.1689583955197
23000	-84230.45466276916	-1551.218398252924	-82679.23626451624	1578.8026001088597	-0.8822067017297286	6436.061545598304	49.67807017040783	1.0212179769475596E-4	1.021217976947559E-4	-82679.23626451624	0.0	-1555.0627157596168
24000	-83406.09315162053	-1595.3541940430075	-81810.73895757753	1578.618271184846	-0.6978777777160303	6799.839182625134	56.35086633846778	9.583675006229416E-5	9.583675006229433E-5	-81810.73895757753	0.0	-1599.1373162850148
25000	-81547.9104109864	-1607.1647585381625	-79940.74565244824	1578.129107749149	-0.2087143420189932	6942.055961387639	63.88705263111761	8.753906446252774E-5	8.753906446252764E-5	-79940.74565244824	0.0	-1610.9219651247683
26000	-80388.38773774341	-1652.560211341441	-78735.82752640198	1578.2871208466574	-0.3667274395274944	7361.427996264353	77.63338702345321	8.584843871558545E-5	8.584843871558561E-5	-78735.82752640198	0.0	-1656.137349904078
27000	-79617.68481667615	-1702.5603204049598	-77915.1244962712	1578.0345035398655	-0.11411013273550452	7877.436805618438	86.27649002669894	7.622071542855723E-5	7.622071542855716E-5	-77915.1244962712	0.0	-1706.1567920173088
28000	-78842.73442752706	-1722.4972582668815	-77120.23716926017	1577.947929092962	-0.027535685832162926	8058.9525909390495	101.28386297250854	7.254705193902339E-5	7.25470519390234E-5	-77120.23716926017	0.0	-1725.9852200175492
29000	-77535.22505647186	-1732.8445079564342	-75802.38054851542	1577.9995516503486	-0.07915824321867149	8231.22253754115	94.01971731446031	6.870558943002904E-5	6.870558943002913E-5	-75802.38054851542	0.0	-1736.463792414008
30000	-76615.92945870807	-1741.3538134957491	-74874.57564521232	1577.974330746001	-0.053937338871037355	8358.186444574194	101.78970367477335	6.720212464028147E-5	6.720212464028155E-5	-74874.57564521232	0.0	-1744.9162529314742
31000	-76068.45422945218	-1768.0935384096001	-74300.36069104259	1578.0373105893646	-0.11691718223460157	8732.355556670227	118.21113171349097	5.998524910540897E-5	5.998524910540902E-5	-74300.36069104259	0.0	-1771.6229898208037
32000	-74809.11252086402	-1776.2925425036465	-73032.81997836036	1578.2080685530673	-0.2876751459373281	8869.239227494632	111.68858063913157	5.952239198419049E-5	5.9522391984190465E-5	-73032.81997836036	0.0	-1779.8862958997988
33000	-73302.34021180587	-1840.567908587623	-71461.77230321825	1580.6874816259303	-2.7670882188003816	9705.304563696787	130.8434591351129	5.36796203539551E-5	5.367962035395506E-5	-71461.77230321825	0.0	-1844.1070174475735
