# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 31 21:51:36 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.00025_166_767.8.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1.0932874712208573E7	-3937.917053821729	-1.092893679515475E7	2534.0160600540135	-1.636681313223562	3184.953615434872	1.0	1.0	1.0	-1.092893679515475E7	0.0	-756.4241699461724
1000	-4454592.979288914	-1129.585385443071	-4453463.3939034715	2532.221229979678	0.15814876111198828	3129.2096670059755	0.9562972685467835	0.14351411000056635	0.14351411000056635	-4453463.3939034715	0.0	-684.9668954336204
2000	-1567567.7328779656	-738.1168740739466	-1566829.6160038917	2531.716936458809	0.6624422819809297	3090.3517298516736	0.7762693731085027	0.037484556886359516	0.03748455688635953	-1566829.6160038917	0.0	-627.6172328228054
3000	-528404.565170723	-627.2924077857513	-527777.2727629372	2531.6097475932784	0.7696311475115181	3082.811443286192	0.7309238163822475	0.004708200279199268	0.004708200279199269	-527777.2727629372	0.0	-619.215018595946
4000	-454687.9062882126	-770.963289734124	-453916.9429984784	2531.6287348170904	0.7506439236994993	3196.747785131637	1.0213871663243754	0.0013664919198023132	0.0013664919198023114	-453916.9429984784	0.0	-773.3341319630762
5000	-437850.1120280793	-988.6313009819262	-436861.48072709737	2531.7182331181702	0.6611456226196424	3402.3537686733994	1.2055987801460668	0.0012578464591425224	0.0012578464591425213	-436861.48072709737	0.0	-990.9976095096789
6000	-427724.06862119	-1067.7973884711778	-426656.2712327188	2531.583347081365	0.796031659424898	3486.8174254353744	1.3591610499549969	0.001164682594987405	0.0011646825949874053	-426656.2712327188	0.0	-1070.313146009796
7000	-416955.8229328334	-1167.1230356072467	-415788.6998972262	2531.5819249504207	0.797453790369218	3612.0233972297747	1.6914949047796568	0.0011641023548457498	0.0011641023548457517	-415788.6998972262	0.0	-1169.2942072208637
8000	-406340.5754751688	-1265.4542141010695	-405075.12126106775	2531.50101546514	0.8783632756499173	3742.817962575277	1.8789675466373323	0.0010809446169914993	0.0010809446169915003	-405075.12126106775	0.0	-1267.7341048041565
9000	-399249.3892638508	-1321.4241790125427	-397927.9650848383	2531.5037747012325	0.8756040395574018	3815.046656704476	1.9911842915850693	0.0010564472226220697	0.0010564472226220708	-397927.9650848383	0.0	-1323.6824649671228
10000	-390593.61447136314	-1389.5698109630202	-389204.04466040013	2531.5451856078216	0.8341931329682666	3909.33729148699	2.2304483796659116	0.0010222262516044196	0.00102222625160442	-389204.04466040013	0.0	-1391.7774639712118
11000	-380676.8718547312	-1457.6999751666365	-379219.1718795645	2531.553024553898	0.8263541868918765	4008.4266622250534	2.3601554996760363	9.508789228525802E-4	9.508789228525808E-4	-379219.1718795645	0.0	-1460.0844932446955
12000	-372918.3080137655	-1524.3552350607886	-371393.9527787047	2531.8518513875233	0.5275273532665778	4115.30140018117	2.5153128721309415	8.888053997573021E-4	8.888053997573016E-4	-371393.9527787047	0.0	-1526.8768206130248
