# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jun 01 01:08:39 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.00025_179_106.6.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1551329.24228168	-852.1295619694927	-1550477.1127197105	633.6347499154072	50.66581218954889	736.8873999468177	1.0	1.0	1.0	-1550477.1127197105	0.0	-117.97101462921026
1000	-473079.0260555807	-105.78513647234936	-472973.2409191083	632.9603790710371	51.34018303391895	691.1969366522717	0.8198042745003683	0.07570522044242543	0.07570522044242549	-472973.2409191083	0.0	-57.64391120000374
2000	-131202.47509630915	-7.076946502169871	-131195.39814980698	632.6320822017445	51.668479903211505	669.6519779425116	0.40077120057205884	0.012362155115309722	0.012362155115309722	-131195.39814980698	0.0	-4.590541332108241
3000	-56942.970629552794	-40.58882925191324	-56902.38180030088	632.538746510831	51.761815594125096	686.3383790385196	0.5289562553987616	0.0019163791334762194	0.0019163791334762192	-56902.38180030088	0.0	-45.73237356017074
4000	-45414.99007286644	-256.45432691991556	-45158.53574594653	633.2882207015965	51.01234140335953	982.90076297166	3.9563970800767394	2.9559338578148664E-4	2.9559338578148664E-4	-45158.53574594653	0.0	-261.72460618299385
5000	-42173.067076280284	-423.19746417691243	-41749.86961210337	639.4210516878608	44.879510417095275	1656.707456803871	20.54490020006853	1.2965012703852432E-4	1.2965012703852416E-4	-41749.86961210337	0.0	-427.56932341608854
6000	-38036.15018863001	-453.1886848111964	-37582.96150381881	636.8833274356454	47.41723466931069	1833.3371398666852	25.881848575794862	1.057908805243865E-4	1.0579088052438648E-4	-37582.96150381881	0.0	-457.502797320395
7000	-35485.812522259366	-537.0789149741952	-34948.73360728517	635.3510180399405	48.949544065015516	2581.343457291147	54.04527689810938	6.685340406576547E-5	6.685340406576546E-5	-34948.73360728517	0.0	-541.0786930762839
8000	-33739.434358862134	-587.177187596632	-33152.257171265504	635.314613963968	48.98594814098806	3204.7537943267375	91.020966807061	4.8989345681506404E-5	4.89893456815064E-5	-33152.257171265504	0.0	-590.934883110677
9000	-32534.388694473768	-631.866248187729	-31902.52244628604	642.2609293907353	42.039632714220716	3864.5454361732086	143.13206720716283	3.391173832771236E-5	3.3911738327712385E-5	-31902.52244628604	0.0	-635.4747363822515
10000	-31562.400931676748	-630.7076522179699	-30931.693279458777	641.3637783851875	42.93678371976853	3957.475558824312	163.0948061110495	3.375962707081408E-5	3.375962707081408E-5	-30931.693279458777	0.0	-634.1971559870416
11000	-30469.33382404167	-646.8275960075458	-29822.506228034126	643.0772846800485	41.223277424907565	4189.876708864096	227.23411853272754	3.0591857546663595E-5	3.0591857546663616E-5	-29822.506228034126	0.0	-650.0686757405715
12000	-30209.799181192648	-662.3681801003564	-29547.431001092293	642.1978629544672	42.10269915048889	4498.603697198095	182.1715322649056	2.7331980381235734E-5	2.7331980381235747E-5	-29547.431001092293	0.0	-665.927398399728
13000	-29795.96164899948	-679.8743457802382	-29116.087303219243	641.9836288204369	42.31693328451911	4864.817413794948	220.20703218060686	2.2822197860927637E-5	2.2822197860927627E-5	-29116.087303219243	0.0	-683.3851675368423
14000	-29307.75059519111	-682.3679291148675	-28625.382666076242	639.5639475128727	44.736614592083356	4906.520667223133	284.2051591539209	2.1808524301707964E-5	2.1808524301707957E-5	-28625.382666076242	0.0	-685.6546288227141
15000	-29016.170632349327	-691.7928589307113	-28324.377773418615	639.2092215306578	45.091340574298215	5106.293803558242	304.71533183655765	2.1544953234510432E-5	2.1544953234510432E-5	-28324.377773418615	0.0	-695.032900171306
16000	-28641.05112876204	-701.722507329903	-27939.328621432138	640.057309106189	44.24325299876705	5452.896132147064	330.8083696600564	1.836575936576141E-5	1.8365759365761418E-5	-27939.328621432138	0.0	-705.0029188836429
17000	-27884.521890616426	-723.8971043265839	-27160.62478628984	641.6913861499334	42.60917595502269	5970.177925864594	374.6881284718705	1.6038040383759387E-5	1.6038040383759387E-5	-27160.62478628984	0.0	-727.1704349778774
18000	-27267.170782784124	-731.9936914069672	-26535.177091377158	656.0754356160686	28.22512648888744	6265.98664097716	414.3296148988423	1.4948561953096195E-5	1.4948561953096185E-5	-26535.177091377158	0.0	-735.2278905426043
19000	-26941.234538968776	-737.8907491310645	-26203.343789837712	666.2083681667012	18.09219393825481	6360.565406377912	463.4296640238247	1.305485545861268E-5	1.3054855458612694E-5	-26203.343789837712	0.0	-741.0988047925022
20000	-26881.936264920805	-740.8471316729726	-26141.08913324783	664.4555631582442	19.844998946711826	6436.8892962398595	405.99177260394725	1.2798935066868919E-5	1.2798935066868907E-5	-26141.08913324783	0.0	-744.204023138184
21000	-26713.130507176145	-744.3060602213966	-25968.82444695475	665.2286018179279	19.071960287028105	6522.632898431532	428.2434861622698	1.2228769053625314E-5	1.222876905362531E-5	-25968.82444695475	0.0	-747.6416159080505
22000	-26588.176562586923	-749.3413529017606	-25838.835209685163	689.4770694734744	-5.176507368518401	6662.978616473422	497.4538749897456	1.2414551883460674E-5	1.241455188346067E-5	-25838.835209685163	0.0	-752.5272487952453
23000	-26580.03354433884	-751.3833760105209	-25828.650168328317	681.4901987961598	2.8103633087962407	6678.317824103653	486.0958827433383	1.2381544725839357E-5	1.2381544725839355E-5	-25828.650168328317	0.0	-754.594879750065
