# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jun 05 20:11:55 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_0.00025_271_95.85.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1558574.7467774237	-1826.3350087948986	-1556748.4117686287	1629.3844394126502	0.002151177869791354	1728.9453064187894	1.0	1.0	1.0	-1556748.4117686287	0.0	-100.54497085925072
1000	-1118747.3105608106	-282.30095846158747	-1118465.009602349	1628.4370898243067	0.9495007662133048	1683.6556411770753	0.64292621554669	0.14369629648971394	0.143696296489714	-1118465.009602349	0.0	-44.91962660116957
2000	-550512.8894505246	-62.6994542697733	-550450.1899962549	1628.3996862955207	0.986904294999249	1666.0591671943675	0.4036131433169956	0.0360662824991454	0.0360662824991454	-550450.1899962549	0.0	-8.31613376311771
3000	-197354.2951149445	2.6666289108492993	-197356.96174385535	1628.399726341978	0.9868642485419059	1659.3763122152936	0.34032264467296763	0.008524944328478284	0.008524944328478284	-197356.96174385535	0.0	10.21774543825142
4000	-96653.40819909303	-64.68850556624194	-96588.71969352679	1628.392805362529	0.9937852279908839	1698.3913215566686	0.6875286678041456	0.0025584627689665355	0.002558462768966537	-96588.71969352679	0.0	-66.84841415283802
5000	-62226.77997282072	-206.77494030649873	-62020.00503251422	1628.3940094985037	0.9925810920162803	1931.1833275254708	2.5412388723073294	6.519170810453638E-4	6.519170810453639E-4	-62020.00503251422	0.0	-211.46169295737752
6000	-55124.52981047215	-285.3829589032562	-54839.1468515689	1628.4063827011391	0.9802078893808357	2239.4819471706314	4.315533028086175	1.6102028936508764E-4	1.6102028936508764E-4	-54839.1468515689	0.0	-291.2117610954378
7000	-52279.665357938065	-363.35783945730094	-51916.30751848077	1628.3976557364174	0.9889348541025811	2882.173700575312	21.825633226827883	1.3317042652104567E-4	1.3317042652104564E-4	-51916.30751848077	0.0	-367.7636595448456
8000	-50424.43596715755	-403.81598823849384	-50020.61997891906	1628.3927348921059	0.9938556984141087	3335.1224602429916	30.924440514546628	1.0668632930191385E-4	1.0668632930191384E-4	-50020.61997891906	0.0	-408.0852056001023
9000	-47187.715067846875	-515.5845512792782	-46672.130516567595	1628.391651832254	0.9949387582660165	5278.553980578317	75.48385090923199	5.654760866862126E-5	5.654760866862123E-5	-46672.130516567595	0.0	-519.5656955510004
10000	-45274.78617466589	-553.0364946238265	-44721.74968004206	1628.3930890414474	0.9935015490725618	6176.859157705008	134.62833743283576	4.641718717083966E-5	4.641718717083967E-5	-44721.74968004206	0.0	-556.6281023017575
11000	-43004.57941882816	-595.5416105720714	-42409.037808256086	1636.556347317539	-7.169756727018921	7574.013212991401	240.9719391095947	3.6706598622953925E-5	3.670659862295392E-5	-42409.037808256086	0.0	-598.7790650612291
12000	-39910.13715156427	-631.507361870308	-39278.62978969396	1644.0289505935693	-14.642360003049362	9013.967348989077	389.0924238613167	2.446897307925875E-5	2.4468973079258772E-5	-39278.62978969396	0.0	-634.6129351085724
13000	-39040.266876284215	-637.5929959953562	-38402.67388028886	1640.3930546585289	-11.006464068008881	9412.77634517408	320.660901648392	2.295392192936695E-5	2.2953921929366957E-5	-38402.67388028886	0.0	-640.9501092239418
14000	-38317.36477484934	-635.9532180806384	-37681.4115567687	1639.9487713410028	-10.562180750482867	9500.175733089234	296.4937938371631	2.1992685783377567E-5	2.1992685783377536E-5	-37681.4115567687	0.0	-639.4218255710872
15000	-37028.34725025045	-660.675322330989	-36367.671927919466	1633.1152109485358	-3.72862035801586	10582.637953349655	433.29905113337026	1.9012628203696792E-5	1.9012628203696768E-5	-36367.671927919466	0.0	-663.8990140711578
16000	-35965.5191776937	-662.4788462704402	-35303.04033142326	1632.8248108325715	-3.438220242051557	10798.434315444118	405.7566770152585	1.656761718938514E-5	1.6567617189385136E-5	-35303.04033142326	0.0	-665.8694318249854
17000	-34507.161247452605	-680.1121780752683	-33827.04906937734	1641.6125177051408	-12.225927114620845	11806.735308433428	482.1933616342051	1.3847378126598846E-5	1.3847378126598856E-5	-33827.04906937734	0.0	-683.4798956476044
18000	-34112.29530410497	-677.4276786070918	-33434.86762549788	1637.8818514229474	-8.495260832427448	11764.607925677425	566.6310591198213	1.359571352117309E-5	1.3595713521173092E-5	-33434.86762549788	0.0	-680.6449605087225
19000	-33954.4495115505	-682.5342154427434	-33271.915296107756	1657.9609957737111	-28.574405183191175	12032.22070614754	635.6403341626703	1.3605908318220449E-5	1.3605908318220436E-5	-33271.915296107756	0.0	-685.6436832238239
20000	-33781.437780936205	-683.6867018113207	-33097.751079124886	1661.5527162905685	-32.1661257000485	12197.396246953671	584.1026738683669	1.3218659607792242E-5	1.3218659607792248E-5	-33097.751079124886	0.0	-686.9044563132659
21000	-33642.777706518	-685.872959770072	-32956.904746747925	1646.5722367064627	-17.185646115942745	12339.066818613499	548.394627195174	1.3008514768429205E-5	1.3008514768429216E-5	-32956.904746747925	0.0	-689.1683027962387
22000	-33606.427471009054	-687.6826351632446	-32918.744835845806	1644.8783998077613	-15.491809217241325	12364.418559585221	669.9635114600555	1.3008514768429205E-5	1.3008514768429197E-5	-32918.744835845806	0.0	-690.778446542746
23000	-33586.6501978314	-690.17250395423	-32896.47769387717	1668.091910283292	-38.705319692772036	12623.336342696288	566.3032765074599	1.2917966004991343E-5	1.2917966004991339E-5	-32896.47769387717	0.0	-693.4480384089438
24000	-33420.85790449945	-692.371722616803	-32728.486181882643	1662.3442968965064	-32.95770630598645	12757.529921705434	650.1960186360765	1.2913613944641856E-5	1.2913613944641853E-5	-32728.486181882643	0.0	-695.5128906814789
25000	-33412.70738757581	-690.5006882492288	-32722.20669932658	1661.8437900794218	-32.45719948890178	12700.21884658079	604.7676083872688	1.2542763055228025E-5	1.254276305522802E-5	-32722.20669932658	0.0	-693.7320538107077
26000	-33274.42858207144	-689.9208176056702	-32584.507764465776	1652.975585839705	-23.588995249185018	12616.154944370683	598.7771358117081	1.2511159825054842E-5	1.2511159825054847E-5	-32584.507764465776	0.0	-693.1615319314463
27000	-32912.62811013804	-694.4702865279855	-32218.157823610054	1652.242774500093	-22.85618390957302	12918.130752715035	622.0145034544407	1.1113369453334791E-5	1.1113369453334786E-5	-32218.157823610054	0.0	-697.7582686191781
28000	-32777.225580286446	-696.9674075338143	-32080.25817275263	1655.8627797118934	-26.47618912137341	13051.944536906	615.5816047971522	1.1177771878165974E-5	1.117777187816597E-5	-32080.25817275263	0.0	-700.2657213193996
29000	-32743.612714706793	-693.9731282425976	-32049.639586464196	1653.8875127581819	-24.500922167661884	12860.10808922079	550.9856294154698	1.206995152816167E-5	1.2069951528161672E-5	-32049.639586464196	0.0	-697.327172161295
30000	-31890.43879797468	-703.232568125329	-31187.20622984935	1657.534908999418	-28.14831840889792	13546.554961790536	688.5347361883297	9.85331793833146E-6	9.853317938331453E-6	-31187.20622984935	0.0	-706.5129538308256
31000	-31887.338942365554	-707.8002646513331	-31179.53867771422	1668.0309544127988	-38.64436382227882	13725.976202373326	843.1748335959466	1.02291298162126E-5	1.0229129816212599E-5	-31179.53867771422	0.0	-710.8589788015922
32000	-31841.87132041972	-707.2698203359503	-31134.60150008377	1664.2552790892025	-34.86868849868256	13783.876006835852	766.6822595706569	9.936039517877382E-6	9.936039517877382E-6	-31134.60150008377	0.0	-710.4437242238427
33000	-31491.70947879124	-711.3720579538635	-30780.337420837375	1693.7375145331812	-64.35092394266121	14071.975173045137	617.0777496189966	9.827270980799398E-6	9.827270980799397E-6	-30780.337420837375	0.0	-714.7775537723589
34000	-30984.529137891328	-702.5020357105027	-30282.027102180826	1702.0195239364114	-72.63293334589139	13666.779613836441	719.7750503373051	9.282865066280507E-6	9.282865066280506E-6	-30282.027102180826	0.0	-705.7788969857543
35000	-30940.31489247115	-704.6573735919239	-30235.657518879227	1697.3800127136076	-67.99342212308761	13748.051070218988	610.4195563776037	9.660685793639295E-6	9.660685793639298E-6	-30235.657518879227	0.0	-708.0760956651774
36000	-30895.79411173807	-703.6080382908766	-30192.186073447192	1696.7603722054625	-67.37378161494257	13703.015815429144	708.2200309612765	9.65627442672716E-6	9.656274426727152E-6	-30192.186073447192	0.0	-706.8772353803413
37000	-30859.016595314122	-702.3647452017971	-30156.651850112325	1683.9646918675521	-54.57810127703215	13606.673247966977	635.1061147299134	9.125529660831467E-6	9.12552966083147E-6	-30156.651850112325	0.0	-705.775795187099
38000	-30824.211837866194	-701.1115086840168	-30123.100329182176	1698.2178169053436	-68.83122631482365	13617.3720894152	639.7045371550655	9.221999603792147E-6	9.221999603792147E-6	-30123.100329182176	0.0	-704.509068073656
39000	-30322.93814330137	-699.1354557788368	-29623.802687522533	1708.8827887894283	-79.49619819890836	13494.3913397828	670.445784236287	9.060539772063195E-6	9.060539772063197E-6	-29623.802687522533	0.0	-702.4936871677354
40000	-30309.8956276178	-697.7753172431838	-29612.120310374616	1674.6348274796926	-45.24823688917263	13360.57613054756	633.6832217656299	9.060539772063195E-6	9.060539772063199E-6	-29612.120310374616	0.0	-701.1861718054521
41000	-30266.793995829023	-699.6158481673118	-29567.17814766171	1659.1888100057504	-29.80221941523041	13405.086261385983	638.8607060328849	8.827654967612459E-6	8.827654967612468E-6	-29567.17814766171	0.0	-703.0359666248188
42000	-30171.06445881413	-699.9188970707821	-29471.145561743346	1661.2169937714461	-31.83040318092617	13344.66814578227	539.7994606838481	8.39734449187515E-6	8.397344491875153E-6	-29471.145561743346	0.0	-703.536508264957
43000	-30029.18976279041	-694.1725447204383	-29335.017218069974	1670.9647155335924	-41.57812494307245	13081.650738088858	607.634609194208	8.826274117845501E-6	8.826274117845503E-6	-29335.017218069974	0.0	-697.633515517542
44000	-29961.66748039333	-692.8916622395785	-29268.775818153754	1667.6707793608084	-38.28418877028844	13000.038063595905	619.390601306932	9.176494396107241E-6	9.176494396107243E-6	-29268.775818153754	0.0	-696.3070528590351
45000	-29962.055861859397	-693.5664288434598	-29268.489433015937	1672.6871834279934	-43.30059283747346	13086.057580704766	570.7646862759611	8.940894813856323E-6	8.940894813856318E-6	-29268.489433015937	0.0	-697.0821745787449
46000	-29881.231327907426	-692.4972417293611	-29188.734086178065	1678.4255917123457	-49.03900112182578	13066.206044438479	644.8125949877166	8.958717253642777E-6	8.958717253642785E-6	-29188.734086178065	0.0	-695.8891946115812
47000	-29811.312921871653	-691.5130625437722	-29119.799859327883	1686.4157493263099	-57.029158735789906	13004.505816284589	627.7167908702326	8.841321849960978E-6	8.841321849960973E-6	-29119.799859327883	0.0	-694.9381941544374
48000	-29767.403163663126	-692.1524613013144	-29075.250702361813	1700.9421460249996	-71.55555543447963	13036.541850775056	597.4266505604163	8.77165444319657E-6	8.771654443196571E-6	-29075.250702361813	0.0	-695.6328611655307
49000	-29767.420464683484	-689.61931798977	-29077.801146693713	1701.5153875135456	-72.12879692302567	12815.035463754379	513.2444613564151	8.91939294388516E-6	8.91939294388515E-6	-29077.801146693713	0.0	-693.2347269831733
50000	-29759.966014459664	-688.3966484598327	-29071.569365999832	1694.9712389872102	-65.58464839669023	12818.254322741168	571.3308969536766	8.780793138393796E-6	8.780793138393791E-6	-29071.569365999832	0.0	-691.9145452175392
51000	-29756.009968849998	-685.4464734834326	-29070.563495366565	1706.7096850867051	-77.32309449618515	12639.981280847884	564.0982148257161	8.276793734769219E-6	8.276793734769217E-6	-29070.563495366565	0.0	-689.0075991872536
