# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Jun 05 23:39:07 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_1.25e-05_124_2486.8.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2.946501244854338E7	-6814.2069108875785	-2.9458198241632495E7	2511.349719578881	30.910560615508984	4346.576762309642	1.0	1.0	1.0	-2.9458198241632495E7	0.0	-2471.24635556658
1000	-5733361.554519121	-2890.72659957516	-5730470.827919546	2511.191400744384	31.06887945000608	4297.145344561031	0.9677475007259688	0.11614682716625542	0.11614682716625532	-5730470.827919546	0.0	-2396.3465242336742
2000	-1515163.535022964	-2435.130091983533	-1512728.4049309804	2511.123558678087	31.136721516302714	4249.433365519334	0.9119491449851539	0.028453365495014187	0.028453365495014156	-1512728.4049309804	0.0	-2319.696232276128
3000	-681802.4646348578	-2288.5855943430925	-679513.8790405147	2511.090718423799	31.169561770590917	4207.326041186554	0.9064884124891144	0.01172815863978035	0.01172815863978035	-679513.8790405147	0.0	-2245.1623917652355
4000	-468622.1984264801	-2217.1766266614704	-466405.02179981867	2511.09203862391	31.16824157047995	4175.012004995096	0.9238381894398122	0.0074260728621779815	0.007426072862177971	-466405.02179981867	0.0	-2192.2993520234436
5000	-175934.84530016358	-2128.8816106329778	-173805.9636895306	2511.112393079279	31.147887115110734	4137.789098269108	0.8609579056626402	0.0011553514385970363	0.001155351438597035	-173805.9636895306	0.0	-2131.2239885662657
6000	-146864.0502166075	-2221.4992989112807	-144642.5509176962	2511.0863076160717	31.17397257831817	4183.883612434445	0.903427147597005	2.228685765419044E-4	2.2286857654190377E-4	-144642.5509176962	0.0	-2228.469999334566
7000	-145184.56214897116	-2377.901930819005	-142806.66021815216	2511.0817549548906	31.178525239499322	4266.871099113618	0.9620402108395609	2.2119386020160632E-4	2.2119386020160632E-4	-142806.66021815216	0.0	-2384.812012776387
8000	-144032.4311022083	-2505.7576357364887	-141526.6734664718	2511.103511766546	31.156768427843872	4332.5570267142975	0.9918083523396031	2.1284760874006658E-4	2.1284760874006647E-4	-141526.6734664718	0.0	-2512.6857454164174
9000	-143201.96895989034	-2633.7116339345316	-140568.2573259558	2511.144891126524	31.11538906786609	4400.5512177743	1.017967988323908	2.136016571103082E-4	2.1360165711030796E-4	-140568.2573259558	0.0	-2640.6019368781867
