# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jun 06 00:44:23 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_1.25e-05_156_313.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-4517721.868627217	-2116.719970478298	-4515605.148656738	1546.9810446519127	0.8972283001173764	1812.6391960358426	1.0	1.0	1.0	-4515605.148656738	0.0	-307.25967909033744
1000	-1476636.4227064766	-402.0808979744502	-1476234.341808502	1546.915913803279	0.9623591487511476	1758.7488595450968	0.7986455469743635	0.09665158485157342	0.09665158485157338	-1476234.341808502	0.0	-236.65200677085863
2000	-299401.4795846909	-184.18882965217438	-299217.29075503873	1546.894165834888	0.9841071171420026	1718.1225973045093	0.5700265447954024	0.01460163304856639	0.014601633048566381	-299217.29075503873	0.0	-164.92894604257134
3000	-127863.2246753593	-87.43772676572985	-127775.78694859358	1546.8866919405384	0.9915810114916894	1681.0487065675943	0.5247918340933674	0.005459626825861204	0.005459626825861198	-127775.78694859358	0.0	-84.65099078347876
4000	-50640.21045072486	-38.26503881717862	-50601.94541190768	1546.8935529114385	0.9847200405915828	1666.9499084159313	0.4562119042502565	0.0014799769125251395	0.001479976912525137	-50601.94541190768	0.0	-42.97766418274428
5000	-29554.744925248826	-33.71112883019711	-29521.03379641863	1546.9013110035285	0.9769619485016392	1665.8207115594364	0.4377467548505722	3.881484393810525E-4	3.88148439381052E-4	-29521.03379641863	0.0	-40.954390857197204
6000	-24215.534335987293	-105.4124794786292	-24110.121856508664	1546.8831745559942	0.9950983960359281	1696.2072635288873	0.5415348121680816	9.015359962907903E-5	9.0153599629079E-5	-24110.121856508664	0.0	-113.67561611936806
7000	-23392.69620584647	-262.06668334919334	-23130.62952249728	1546.8835494508357	0.9947235011943576	1792.663133068669	0.9365220933475031	2.3932190482501985E-5	2.393219048250198E-5	-23130.62952249728	0.0	-270.58287006676466
8000	-23285.643960302852	-381.14775519591194	-22904.49620510694	1546.881346321344	0.9969266306861755	1896.1448963039225	1.1930863111816854	2.0755172884525815E-5	2.0755172884525818E-5	-22904.49620510694	0.0	-389.52463852370397
9000	-23231.966590755066	-451.1878072335916	-22780.778783521473	1546.8845208139373	0.9937521380927592	1975.520736693646	1.679700458166292	2.076048829802067E-5	2.0760488298020675E-5	-22780.778783521473	0.0	-459.2413371795208
10000	-23220.2820960468	-514.3703677758267	-22705.911728270974	1546.883467453609	0.9948054984211012	2057.4349781973783	2.098548266213032	2.1467132444946425E-5	2.1467132444946442E-5	-22705.911728270974	0.0	-522.2016912227367
11000	-23177.504849217683	-557.7676422448113	-22619.73720697287	1546.88238682524	0.9958861267900829	2117.341626086529	2.0786068529234853	1.9990340405973185E-5	1.9990340405973205E-5	-22619.73720697287	0.0	-565.6603420407945
12000	-23175.805296638613	-596.5886905294576	-22579.216606109156	1546.8847955082545	0.993477443775646	2190.689693054952	2.5512912382670314	1.9870835367055296E-5	1.9870835367055275E-5	-22579.216606109156	0.0	-604.2953097344692
13000	-23180.5107944196	-625.3770366558173	-22555.133757763782	1547.682654075112	0.19561887691816082	2241.8904565227026	2.710524209004464	1.702537521644658E-5	1.7025375216446584E-5	-22555.133757763782	0.0	-633.1173008403201
14000	-23123.70481203382	-661.0264767985285	-22462.67833523529	1547.2406791995077	0.6375937525224344	2300.8913024541425	3.2315044589617465	1.782140876045108E-5	1.7821408760451086E-5	-22462.67833523529	0.0	-668.5782398924788
15000	-23079.59608500323	-674.358593634336	-22405.237491368895	1547.195535232278	0.68273771975214	2337.638963287345	3.262622945541775	1.9261735205094806E-5	1.926173520509478E-5	-22405.237491368895	0.0	-681.8658136377403
16000	-22959.16182894724	-739.6099277624179	-22219.551901184823	1546.9671898113545	0.9110831406756006	2468.9832445378283	3.6664352834997063	1.6968357489040358E-5	1.6968357489040344E-5	-22219.551901184823	0.0	-747.0943093392798
17000	-22925.675625025553	-765.1871009325841	-22160.48852409297	1548.6400725835308	-0.7617996315007076	2520.5105717543365	4.335768627461246	1.4771816491488117E-5	1.4771816491488107E-5	-22160.48852409297	0.0	-772.588107693951
18000	-22858.66652251318	-789.0454275858397	-22069.62109492734	1547.4826300598554	0.39564289217469195	2600.138340227192	4.566296108872737	1.492395385500747E-5	1.4923953855007464E-5	-22069.62109492734	0.0	-796.4034873639798
19000	-22833.501874745805	-809.8161613482273	-22023.68571339758	1549.0890340367762	-1.210761084746082	2652.212537538113	5.041853035435605	1.4807089157622722E-5	1.4807089157622737E-5	-22023.68571339758	0.0	-817.0885281701304
20000	-22817.739781603246	-815.3507053439483	-22002.389076259296	1549.6003165523093	-1.7220436002792212	2678.584329001529	5.113315976009811	1.4113248166423767E-5	1.4113248166423762E-5	-22002.389076259296	0.0	-822.6394089198895
21000	-22705.955382991066	-839.3075996688426	-21866.647783322223	1547.8592035047684	0.01906944726169968	2730.4045423116695	5.862833139315271	1.489673436847129E-5	1.4896734368471291E-5	-21866.647783322223	0.0	-846.4392144571825
22000	-22711.8689704248	-862.7489002779054	-21849.120070146895	1549.3237722433526	-1.4454992913224487	2796.5985977130686	6.251137171872352	1.3655289852228216E-5	1.3655289852228196E-5	-21849.120070146895	0.0	-869.8743549496543
23000	-22651.848229866475	-894.6325907101334	-21757.21563915634	1548.9780892416413	-1.0998162896112262	2886.716488807121	6.75517374778595	1.416638861004978E-5	1.416638861004976E-5	-21757.21563915634	0.0	-901.6752794124717
24000	-22632.249975222236	-896.5716908519598	-21735.678284370275	1550.7523558889238	-2.8740829368937284	2903.4957371252112	6.719027497107544	1.3364626664197847E-5	1.3364626664197857E-5	-21735.678284370275	0.0	-903.653863275744
25000	-22554.976545692873	-903.1097205605415	-21651.866825132332	1554.8434923235227	-6.965219371492594	2923.1327394095797	6.913982835656331	1.1205445127650495E-5	1.1205445127650495E-5	-21651.866825132332	0.0	-910.2608157060783
