# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jun 06 12:17:42 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_1.25e-05_71_40.8.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-635611.3676280259	-985.5204441404783	-634625.8471838855	923.5217903372011	104.55176212686888	955.314700816885	1.0	1.0	1.0	-634625.8471838855	0.0	-33.064398788603924
1000	-533568.2143464612	-179.52897220941014	-533388.6853742518	921.8084222817657	106.26513018230423	933.0787196319718	0.2631390262187792	0.20713566682111523	0.20713566682111526	-533388.6853742518	0.0	8.775767313889386
2000	-180344.42969231601	25.229935209976887	-180369.65962752598	921.6568661414715	106.41668632259848	927.0244552253597	0.19483871133822436	0.01882999034691416	0.018829990346914162	-180369.65962752598	0.0	36.22043631451504
3000	-74680.88275091093	54.54048502325264	-74735.42323593418	921.6527215096128	106.42083095445719	925.4315050064497	0.1026306310078318	0.005546014791815637	0.005546014791815637	-74735.42323593418	0.0	51.956220046119334
4000	-30864.985458375686	66.2379834155818	-30931.22344179127	921.630823819296	106.44272864477398	924.7770379097531	0.08670050062559632	0.001276060792856806	0.0012760607928568057	-30931.22344179127	0.0	58.798359397597736
5000	-20913.43766390867	72.94782242457515	-20986.385486333245	921.7057887510483	106.36776371302165	924.4792286205472	0.0754552244441725	3.587245490642573E-4	3.587245490642572E-4	-20986.385486333245	0.0	63.88651174968927
6000	-18149.550095390223	62.95448294667281	-18212.504578336895	921.6813785844087	106.3921738796613	925.2388097988717	0.0730145026142503	1.021114830522705E-4	1.0211148305227053E-4	-18212.504578336895	0.0	52.99447958132399
7000	-17247.00203448399	57.23406652146132	-17304.236101005452	921.678315617418	106.39523684665198	925.9698813225548	0.11212039489671868	1.1499041799258439E-5	1.1499041799258437E-5	-17304.236101005452	0.0	46.52685292193468
8000	-17216.947897031	37.93202922224109	-17254.87992625324	921.652927515618	106.42062494845197	928.559722562168	0.21098462398063336	3.5116380416580834E-6	3.511638041658084E-6	-17254.87992625324	0.0	27.25515358496492
9000	-17238.312607842254	-10.855127411681341	-17227.457480430574	921.6502140033641	106.42333846070585	945.7398981799398	0.5564987635096431	3.993709836123927E-6	3.993709836123927E-6	-17227.457480430574	0.0	-20.506454567073227
10000	-17253.05069015331	-35.35161312512635	-17217.699077028185	922.1483954340812	105.92515702998878	965.532874520059	0.892628453342211	3.353926522926503E-6	3.353926522926503E-6	-17217.699077028185	0.0	-44.62862418257053
11000	-17266.772711050337	-57.43575022707307	-17209.336960823264	922.4395630729208	105.63398939114916	998.5437938493899	1.672613560334843	3.859986919090966E-6	3.859986919090966E-6	-17209.336960823264	0.0	-66.03071589633691
12000	-17254.147903512698	-79.18635850569335	-17174.961545007005	922.7982789762494	105.27527348782053	1048.228883518384	2.761878118867473	4.936156860656383E-6	4.936156860656381E-6	-17174.961545007005	0.0	-87.1797987815769
13000	-17242.75036554018	-92.78433208703585	-17149.966033453147	921.8414933264669	106.23205913760307	1099.5698682981028	4.317607953271656	3.322977260798518E-6	3.322977260798516E-6	-17149.966033453147	0.0	-100.55427364661573
14000	-17252.58944610059	-113.47424747522187	-17139.115198625368	924.0007263777466	104.0728260863234	1217.4488439554848	7.853425856163432	2.6076013801530527E-6	2.6076013801530522E-6	-17139.115198625368	0.0	-120.8185543633333
15000	-17240.35057306572	-132.76558908907802	-17107.58498397664	921.9219773395471	106.15157512452288	1366.7779977419968	14.252330801258777	2.5878745603861783E-6	2.5878745603861766E-6	-17107.58498397664	0.0	-139.57520917515453
16000	-17221.806182686516	-160.81675141977337	-17060.989431266742	923.1622526812539	104.91129978281606	1700.9318872795739	26.58577373325609	2.095517421790818E-6	2.095517421790817E-6	-17060.989431266742	0.0	-167.2177666960711
17000	-17232.521105085303	-184.13745310031499	-17048.383651984986	922.2424318783624	105.8311205857076	2141.8202632881976	40.878894582042534	1.0904993017440976E-6	1.0904993017440976E-6	-17048.383651984986	0.0	-190.55128171312808
18000	-17179.274816858222	-186.95012891803495	-16992.32468794019	933.2306625034745	94.84288996059547	2231.2771073159734	51.85537792967612	8.964123987677172E-7	8.964123987677173E-7	-16992.32468794019	0.0	-193.2449025093261
19000	-17140.784179021575	-184.35026983972705	-16956.433909181847	927.9644835472219	100.10906891684806	2203.846366844115	49.887708907473	8.195470201533954E-7	8.195470201533954E-7	-16956.433909181847	0.0	-190.72256084570367
20000	-17153.72022574052	-202.74319554722072	-16950.9770301933	930.1495366441859	97.92401581988406	2538.9932805076387	118.24200251035134	6.04698616234036E-7	6.046986162340355E-7	-16950.9770301933	0.0	-208.47559118215176
21000	-17149.008835452	-201.298015812105	-16947.710819639895	933.2665740298294	94.80697843424059	2527.0493548928953	68.42436025343272	8.622233004713203E-7	8.622233004713203E-7	-16947.710819639895	0.0	-207.39702267746512
22000	-17143.88117678548	-202.7517902820891	-16941.12938650339	935.2090717413631	92.86448072270684	2658.854869546165	78.28458785045684	7.995561955268294E-7	7.995561955268291E-7	-16941.12938650339	0.0	-208.77937860013213
23000	-17150.748039319107	-212.2633071868413	-16938.484732132267	969.0446053502953	59.02894711377462	2881.0804092304224	108.00359274225163	5.614382670092943E-7	5.614382670092939E-7	-16938.484732132267	0.0	-218.18650253077294
24000	-17160.700161155437	-223.50336398170802	-16937.19679717373	1019.5376652327882	8.535887231281777	3519.8349945715127	133.73191383909412	5.939634798199904E-7	5.9396347981999E-7	-16937.19679717373	0.0	-229.2843799284575
25000	-17168.906367817726	-228.15227184828242	-16940.754095969445	1014.8592607052508	13.214291758819172	3590.1405593985	187.72908586094053	5.447139198212687E-7	5.447139198212689E-7	-16940.754095969445	0.0	-233.6474272807482
26000	-17164.84828477706	-225.18386507188401	-16939.664419705176	1004.3921834967571	23.681368967312892	3537.613876253498	147.73508334605148	4.826676076243498E-7	4.826676076243501E-7	-16939.664419705176	0.0	-230.9719446127816
27000	-17169.563683770855	-229.11424937897883	-16940.449434391878	974.9539567763106	53.11959568775933	3564.5252380488914	150.9710491205081	5.171227322232731E-7	5.171227322232733E-7	-16940.449434391878	0.0	-234.84983892250654
28000	-17156.26736347289	-231.61156501773027	-16924.65579845516	1011.5583821689344	16.51517029513559	3665.770863449345	207.43902760755776	5.13699959556763E-7	5.136999595567629E-7	-16924.65579845516	0.0	-237.0466897155857
29000	-17155.210881895808	-229.03273868764597	-16926.178143208163	992.1526119787185	35.92094048535148	3646.257577322668	157.99940689887399	4.616172081287558E-7	4.6161720812875564E-7	-16926.178143208163	0.0	-234.79109251149006
30000	-17153.80128963918	-227.04230747603896	-16926.75898216314	1000.1751361526728	27.898416311397114	3498.331953735049	164.24308392499103	3.9871026616408724E-7	3.9871026616408697E-7	-16926.75898216314	0.0	-232.81473635429583
31000	-17157.682140271	-232.62006289185825	-16925.06207737914	1006.5844554977577	21.489096966312218	3733.874968454852	152.09783550280588	5.307472021871277E-7	5.307472021871278E-7	-16925.06207737914	0.0	-238.3582831602071
32000	-17166.701771235792	-242.96649275317446	-16923.735278482618	1038.144095881811	-10.070543417740964	4189.110867531171	186.01579039347976	5.368602084284277E-7	5.368602084284277E-7	-16923.735278482618	0.0	-248.55493322001428
33000	-17157.844287214015	-225.1731516415495	-16932.671135572466	1011.7748165609648	16.298735903105126	3522.2649522086003	129.36231690597577	5.153213358658583E-7	5.153213358658583E-7	-16932.671135572466	0.0	-231.0590218205783
34000	-17146.48663594328	-220.3530260187447	-16926.133609924538	1044.9375299108535	-16.863977446783565	3368.7706170923593	117.18284339216272	4.900261745824001E-7	4.900261745824004E-7	-16926.133609924538	0.0	-226.34082990331066
