# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Nov 24 15:33:41 GMT 2022 [seed=1669304002729]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2138380.4501018072	-766.8684102540407	-2137613.5816915534	492.11997372289414	2045.2042046683457	616.5722163659696	1.0	2.0	1.0	1.0	-2137613.5816915534	0.0	-151.07055663869482
1000	-742716.0377680294	-156.24826293348252	-742559.7895050959	492.172137331862	2045.152041059378	574.4603704695818	0.6822057146119321	4.758857799066499	0.13471204521877975	0.1347120452187797	-742559.7895050959	0.0	-80.04816954649597
2000	-315084.64881163643	-45.88738751735947	-315038.76142411906	492.0624501112792	2045.2617282799606	548.3460690867119	0.4284169181620971	7.854209962615705	0.049753948121410055	0.049753948121410034	-315038.76142411906	0.0	-19.970688944998674
3000	-59845.10872378236	32.02505517877837	-59877.133778961135	491.91970463535694	2045.404473755883	532.5918035615122	0.28984484823580575	12.550854540928862	0.005643799276195262	0.005643799276195261	-59877.133778961135	0.0	33.05812730618774
4000	-29215.868086594728	-23.91010912121678	-29191.95797747351	491.8981062555782	2045.4260721356618	552.5678810799008	0.456760090963636	8.362752920242535	5.737545065176971E-4	5.737545065176971E-4	-29191.95797747351	0.0	-27.023248125703148
5000	-26651.54953001372	-198.8582630174959	-26452.691266996222	491.90327491575516	2045.4209034754847	682.2685825058275	1.196723453645274	4.247195730023843	1.1424456406878949E-4	1.1424456406878952E-4	-26452.691266996222	0.0	-203.17759340938463
6000	-26203.256498304356	-268.2987206890534	-25934.957777615302	491.9002769991693	2045.4239013920705	778.241781283074	2.252311146952729	3.206584811846743	1.0461132362381697E-4	1.0461132362381701E-4	-25934.957777615302	0.0	-272.42811163166925
7000	-25894.611798489852	-355.7688364556671	-25538.842962034185	491.9176871202488	2045.4064912709912	955.5104288084319	3.9185595700568125	1.6799834770688324	7.591109502658248E-5	7.591109502658241E-5	-25538.842962034185	0.0	-360.1973421475324
8000	-25325.889304170025	-389.4677831156315	-24936.42152105439	491.9863922653206	2045.3377861259194	1033.7546487586424	4.752438712546052	1.3023096965311285	6.608207104305094E-5	6.608207104305095E-5	-24936.42152105439	0.0	-393.9717320047245
9000	-24949.5507340133	-425.3555332796355	-24524.195200733666	492.28264036528776	2045.0415380259521	1140.7184686732483	7.224946309886724	1.2126468743025338	5.826594039215823E-5	5.8265940392158294E-5	-24524.195200733666	0.0	-429.5907289955081
10000	-24424.320984535258	-446.6063945819738	-23977.714589953284	491.99664912535604	2045.3275292658839	1208.9761307203812	8.38226133862615	1.1266359660651977	4.7246552939345936E-5	4.724655293934591E-5	-23977.714589953284	0.0	-450.8700653097306
11000	-24013.122011790194	-483.6391835756794	-23529.482828214514	492.1346468347022	2045.1895315565378	1343.635395919348	10.271341985140252	1.282486318854384	3.81123055383707E-5	3.811230553837068E-5	-23529.482828214514	0.0	-487.80384680626554
12000	-23614.783355895594	-522.177613590226	-23092.605742305368	492.5711394706561	2044.7530389205838	1508.4068430558846	13.58004668501607	1.2426562062463533	3.533096096231376E-5	3.5330960962313754E-5	-23092.605742305368	0.0	-526.1727378252247
13000	-23216.67105086137	-555.5223191976996	-22661.14873166367	493.09273726559337	2044.2314411256466	1654.6328551974163	13.605823794508181	1.2426562062463533	2.9174576025378196E-5	2.9174576025378172E-5	-22661.14873166367	0.0	-559.6625608906446
14000	-22892.27393918558	-616.5329604398084	-22275.74097874577	493.71366717708725	2043.6105112141527	2014.5600431214912	20.63793767800555	1.2549751054766292	2.0228887155465088E-5	2.0228887155465077E-5	-22275.74097874577	0.0	-620.5406398380319
15000	-22644.33802803157	-638.9025778468812	-22005.435450184686	493.228031059845	2044.0961473313948	2162.597296384759	27.14798283226696	1.0789567536998914	1.937253757178809E-5	1.93725375717881E-5	-22005.435450184686	0.0	-642.7610866171149
16000	-22542.313679939492	-657.4192386085573	-21884.894441330936	493.39769558912917	2043.9264828021107	2304.8348287661047	29.603079275814448	1.3002349073862591	1.746823785058372E-5	1.746823785058371E-5	-21884.894441330936	0.0	-661.1890233609842
17000	-22451.76465118509	-666.1964575598562	-21785.568193625233	494.8864174883091	2042.4377609029307	2371.30810328398	35.164882008870904	1.0940112179136354	1.6917081704641548E-5	1.6917081704641534E-5	-21785.568193625233	0.0	-669.9061090973973
18000	-22296.19212575577	-671.6910815548613	-21624.501044200908	494.79147497846196	2042.532703412778	2402.2505509808084	33.57965722987576	1.1129754375951242	1.5442241516082512E-5	1.544224151608251E-5	-21624.501044200908	0.0	-675.4947009918077
19000	-22144.436337181178	-694.8647326454751	-21449.571604535704	494.76379208751655	2042.5603863037234	2574.8066299724123	42.540106471679785	1.2091716189447324	1.306346816540012E-5	1.3063468165400107E-5	-21449.571604535704	0.0	-698.5158917708085
20000	-22052.99683052404	-715.550530087866	-21337.446300436175	495.0958791326516	2042.2282992585883	2734.3022130229174	41.276827173447806	1.4029195248976505	1.4021786207212735E-5	1.4021786207212731E-5	-21337.446300436175	0.0	-719.143148627363
21000	-21971.908128627107	-724.4239566167322	-21247.484172010376	496.2404502938142	2041.0837280974256	2801.421889350707	45.21478862407695	1.460983640249548	1.2451811790337934E-5	1.2451811790337927E-5	-21247.484172010376	0.0	-727.976494632175
22000	-21660.811135981745	-745.7263030084637	-20915.08483297328	498.2286002244402	2039.0955781667997	3018.983751713356	52.59806523226705	1.4552345336222805	1.0615002814139513E-5	1.0615002814139513E-5	-20915.08483297328	0.0	-749.2499887398823
23000	-21540.79740463813	-793.2333514871542	-20747.564053150978	498.60683398309453	2038.7173444081454	3512.318384732177	74.47243835678174	1.1619492402973886	8.783847777998297E-6	8.783847777998297E-6	-20747.564053150978	0.0	-796.6996923570664
24000	-21432.83303480653	-826.5697789897567	-20606.26325581677	497.71497787108945	2039.6092005201504	3903.8065965472865	92.44442793036423	1.4950792709244642	7.5240053050738625E-6	7.524005305073866E-6	-20606.26325581677	0.0	-829.8163677648528
25000	-21347.021357071095	-841.6426513873935	-20505.378705683703	504.16078487904474	2033.1633935121952	4093.293040040339	98.42113897207167	1.3605867080332228	7.216694779829116E-6	7.216694779829117E-6	-20505.378705683703	0.0	-844.9263282989091
