AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
151, 40139_2229.8863385747, 40780_2254.46224206859, 34.0024641443, 58.5783676382
152,   151, 39043_2190.17771623257, 29.7711203302, 24.0649621324
153,   152, 39044_2190.17771623257, 28.0685455870, 52.1335077194
154, 37157_2117.43061600396,   153, 14.4036362932, 35.0172288025
155, 36775_2103.7232006158, 37899_2146.17293943746, 8.6326330587, 51.0823718804
156,   154,   155, 41.0245503440, 33.0881381903
157,   156, 36777_2103.7232006158, 6.0841491615, 47.8049204106
158, 36771_2103.7232006158,   157, 70.4126585074, 22.6077380968
159, 35758_2065.00399875399,   158, 85.9449104146, 54.2514537690
160, 38690_2177.19693200358, 39942_2223.39305481869, 16.2617010170, 62.4578238321
161, 38303_2162.21955182523, 38302_2162.21955182523, 11.2706159382, 11.2706159382
162, 47524_2484.98526624003, 47994_2501.7550794017, 10.7000996037, 27.4699127654
163, 47521_2484.98526624003, 47522_2484.98526624003, 8.7546454666, 8.7546454666
164,   163, 49001_2537.32417839124, 9.4487764722, 70.5423340900
165,   162,   164, 22.0034445433, 14.5001222083
166, 47671_2490.49549799586, 48138_2507.51112716475, 9.8905078876, 26.9061370565
167,   165,   166, 8.1036987304, 36.4269667457
168, 46520_2452.504781302,   167, 29.9412255233, 21.6144675839
169, 47968_2501.01792219308, 48384_2516.49010830204, 36.0474915549, 51.5196776639
170,   169, 45507_2422.42501588809, 66.2254451284, 23.6800303783
171, 44810_2400.40056365174, 45131_2410.40712278005, 9.3671879332, 19.3737470615
172,   170,   171, 26.3321532065, 18.6205434153
173, 45336_2417.03284824881, 46670_2456.99141219886, 9.4302334416, 49.3887973916
174,   172,   173, 21.1728729527, 56.3626554567
175,   168,   174, 90.2346403717, 18.9110439436
176,   175, 41765_2289.53335444437, 70.1305988990, 27.3350379365
177,   161,   176, 12.6410570415, 123.8904376625
178,   177, 37976_2149.84813983467, 18.8489230932, 30.3891840825
179, 37516_2130.59507849564,   178, 38.4335128966, 27.2973901532
180,   160,   179, 81.0824497851, 12.3087843975
181, 35891_2069.70677146791,   180, 23.1841210702, 33.3301308037
182,   159,   181, 28.8071282362, 96.2706902946
183, 36280_2086.1095824782, 36749_2103.18549432921, 20.8396809200, 37.9155927710
184,   182,   183, 25.8952059011, 140.9131473561
185,   184, 36200_2083.01901696416, 51.6717772127, 210.3340399748
186, 48711_2527.19561547456, 47664_2490.38934106348, 47.1380415470, 10.3317671359
187, 48451_2518.1194963611, 46830_2463.05766682147, 61.4746035597, 6.4127740200
188,   186,   187, 27.6657151993, 4.2530340732
189, 46831_2463.05766682147,   188, 26.0571040006, 15.3912959073
190, 44421_2386.57905914261,   189, 11.8207461856, 62.2422498639
191,   190, 47272_2476.49086427515, 5.2312742944, 106.9638256125
192,   191, 43279_2346.1634623787, 34.4697162979, 11.1061400140
193,   192, 45604_2425.25238992723, 6.5239492926, 96.7190168551
194, 43280_2346.1634623787,   193, 43.5185485013, 25.8884591947
195, 41771_2289.80081328725,   194, 19.3268712689, 32.1709718591
196,   195, 42143_2304.9903829258, 22.2591575798, 56.7755984873
197, 42163_2305.79891868687, 42162_2305.79891868687, 10.5958904127, 10.5958904127
198,   196,   197, 19.8689692219, 66.8572130576
199,   198, 39852_2219.62724842252, 42.7694918962, 34.0509251021
200, 35789_2065.87303263965,   199, 18.8376383997, 138.5409290805
201, 44544_2390.48370015721, 44546_2390.48370015721, 10.2169741472, 10.2169741472
202, 44335_2383.47766728074,   201, 18.2365489745, 15.0256077037
203, 43291_2346.78846027731, 42455_2316.97176740124, 40.7262267754, 10.9095338993
204, 43889_2367.36686420819, 44228_2379.29951101605, 10.4311288627, 22.3637756706
205, 43058_2338.55483596806,   204, 32.0586873384, 50.4395867158
206,   203,   205, 10.0552487426, 10.4891638703
207,   202,   206, 75.7179533833, 6.4838198364
208, 47644_2489.20119467866, 47111_2471.63675522313, 36.7505124744, 19.1860730188
209,   208, 46364_2448.42950579759, 24.8144356423, 20.7932592356
210, 47108_2471.63675522313,   209, 53.9895665121, 9.9890578510
211,   210, 47113_2471.63675522313, 11.5664666265, 65.5560331386
212,   207,   211, 13.2053306050, 129.7628877666
213,   212, 41476_2279.10998056597, 30.7459380517, 33.5380842997
214,   213, 39343_2199.24244598974, 56.4030555496, 10.0736052731
215, 40347_2236.98807109603,   214, 53.3334511573, 5.5142207779
216,   215, 39340_2199.24244598974, 21.1829298961, 36.7707559472
217, 39688_2212.81812190804,   216, 62.3653868631, 12.0189549976
218,   217, 39346_2199.24244598974, 26.8687727840, 75.6584837288
219,   218, 35937_2072.09263267937, 60.5861075204, 9.0947779389
220,   200,   219, 49.3169579496, 65.2794184501
221, 37392_2126.20321831696, 37393_2126.20321831696, 7.8163480154, 7.8163480154
222, 38584_2173.277411568,   221, 71.1407059400, 16.2501646736
223, 35530_2056.7632807308,   222, 16.0169956529, 61.3904205501
224,   223, 35529_2056.7632807308, 31.0125256639, 47.0295213168
225, 36711_2101.70543396644, 36217_2083.62841170485, 31.2313316714, 13.1543094098
226, 35531_2056.7632807308,   225, 16.6665475521, 30.3773691163
227,   226, 35787_2065.87303263965, 9.3279629369, 35.1042623979
228,   224,   227, 49.1347431100, 70.1697539378
229,   220,   228, 109.5282394913, 72.4088195050
230,   185,   229, 170.2989848317, 185.8042046413
231, 42103_2303.7112410955, 41498_2280.04160380687, 33.9841647640, 10.3145274753
232,   231, 43555_2354.88403658012, 16.3262200332, 101.4831802818
233, 36026_2075.94899467376, 36882_2107.24177621803, 9.5520572409, 40.8448387851
234, 36439_2091.85071599794, 36728_2102.04923644611, 8.1865337819, 18.3850542301
235,   233,   234, 16.7927153595, 34.0599601426
236,   232,   235, 220.2627904369, 16.4661562120
237, 40019_2226.10570712281, 37970_2149.68619505974, 96.0933589028, 19.6738468397
238, 41095_2266.45767172445, 41096_2266.45767172445, 23.5223761074, 23.5223761074
239, 44713_2396.79301540148, 43996_2370.85336373828, 32.4432693069, 6.5036176437
240, 43994_2370.85336373828,   239, 20.2004714340, 13.6968537903
241, 47723_2492.28380199475, 47724_2492.28380199475, 14.2696734386, 14.2696734386
242,   241, 45599_2425.09506708441, 74.3539542498, 21.4348927781
243,   242, 44106_2374.91279709141, 42.1651814589, 13.4178042439
244, 45817_2431.51846715188, 45815_2431.51846715188, 24.7303759831, 24.7303759831
245, 46607_2455.44101855233, 48810_2530.75673049293, 13.0592157265, 88.3749276671
246, 48690_2526.53578372218,   245, 94.4820495304, 10.3280686340
247, 44931_2404.55929688333,   246, 17.8715020183, 45.3659393268
248,   244,   247, 41.2389427881, 21.1386464844
249, 43954_2368.75089013618, 43951_2368.75089013618, 10.3392394621, 10.3392394621
250,   248,   249, 38.7005172494, 31.5630195429
251,   243,   250, 66.7408156457, 32.0944539295
252,   251, 41940_2297.50357621117, 30.0177796938, 32.7671787032
253,   240,   252, 93.3373084983, 7.4208137019
254,   253, 40532_2244.4832274051, 28.8270740348, 15.9947176338
255, 40531_2244.4832274051, 40436_2240.84497640335, 13.9372245696, 10.2989735678
256,   254,   255, 23.4404012388, 25.4978943030
257,   238,   256, 50.0586074928, 12.1714204082
258, 39653_2210.85637664459,   257, 34.4803470799, 16.5006585596
259,   258, 39295_2198.16290841124, 31.5242648461, 53.3111436927
260,   237,   259, 41.2749178702, 56.1143343688
261,   236,   260, 86.5929309038, 142.1922953922
262, 45801_2431.06622732369, 46037_2438.36063471563, 17.3458487471, 24.6402561390
263, 43755_2361.69608255742,   262, 9.1118974653, 61.1361934845
264, 44154_2376.33784496519,   263, 35.5543804925, 11.8007206194
265, 41218_2269.90886208745,   264, 20.1907719769, 91.0653743621
266, 47334_2478.68293751785, 42991_2336.10560945246, 154.4694535715, 11.8921255061
267, 42569_2320.24375654438,   266, 14.3301875978, 18.2999149998
268,   267, 42570_2320.24375654438, 6.2020593282, 20.5322469260
269, 43949_2368.66198259052, 46665_2456.73826328477, 12.5149069379, 100.5911876322
270,   269, 43192_2343.14976996448, 31.9281899159, 18.9308842278
271,   270, 43193_2343.14976996448, 8.1612909862, 27.0921752140
272,   271, 43191_2343.14976996448, 7.6624367144, 34.7546119284
273,   268,   272, 28.6112937572, 37.2949421749
274,   273, 41222_2269.90886208745, 27.8147035906, 26.6233498169
275,   265,   274, 20.3957709749, 13.9631931349
276,   275, 43184_2342.93245632508, 5.3680384249, 118.9781756144
277,   276, 40345_2236.69700594086, 24.4250916945, 37.1678169247
278,   277, 40208_2232.66125553425, 29.1671569508, 62.2992234689
279,   278, 37892_2145.96208038664, 39.1291745998, 14.7292229211
280,   279, 37453_2128.82753321557, 47.2042113533, 44.7988871034
281,   261,   280, 154.9017322154, 292.3852433700
282, 47226_2475.266893833, 47605_2487.85348508782, 11.7906868013, 24.3772780561
283, 47612_2488.11682046354,   282, 35.2247148223, 10.5841013905
284, 46416_2449.51241740139,   283, 19.7926859975, 23.1723742374
285, 46269_2444.76903027884,   284, 32.8717971389, 17.8224982639
286, 45338_2417.23587598812, 45343_2417.23587598812, 7.8366544237, 7.8366544237
287,   285,   286, 30.7133078302, 28.2152962547
288, 48770_2528.3664485051, 48363_2515.1632500332, 33.4986859671, 20.2954874952
289,   288, 48916_2534.09349845077, 11.1303581349, 50.3560940477
290,   289, 47488_2483.65083788571, 23.1493892968, 23.0628227795
291,   287,   290, 23.1755435565, 102.5796333529
292, 38176_2157.31813883107,   291, 11.4249481646, 212.1151910868
293, 37084_2114.73477455809, 36979_2110.44817844374, 13.9790090833, 9.6924129690
294,   292,   293, 60.0007779986, 14.8633528069
295,   294, 37637_2136.3261276279, 26.3830992285, 76.8168141886
296, 35290_2045.43035674398, 35611_2059.90111965301, 14.4139292446, 28.8846921536
297,   295,   296, 134.6857757725, 106.1928898326
298,   281,   297, 394.6091728050, 527.7893077297
299,   230,   298, 772.9505920268, 467.5988298062
