AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
151, 5417_318.922588101129, 1805_106.105280176545, 230.7670777818, 17.9497698573
152, 3106_190.934434258281, 3347_206.416983554409, 9.7084398321, 25.1909891282
153, 5030_297.238811628315, 4491_271.647829975728, 39.1073273192, 13.5163456666
154, 7382_403.32037595417, 7176_394.515615225714, 37.0429578853, 28.2381971569
155, 9781_546.873138276622, 13517_766.611160916713, 18.1301754706, 237.8681981107
156,   155, 10673_596.327413791202, 21.5628901741, 89.1473411593
157,   154,   156, 14.4458427110, 155.3484972740
158, 21786_1300.80534853399, 21808_1302.46066652684, 23.5566487562, 25.2119667491
159, 21897_1307.92936142971,   158, 48.0734820199, 17.3928203680
160, 30942_1844.65315464759, 31926_1894.56679886152, 16.4600512894, 66.3736955034
161, 30949_1845.1183134844,   160, 32.2199025297, 15.2946924034
162, 40301_2235.84502384616, 38083_2154.12225116628, 93.2840280931, 11.5612554132
163, 41641_2285.04920865465, 41220_2269.90886208745, 50.5503174331, 35.4099708659
164,   162,   163, 49.8015940185, 141.7394894869
165, 37418_2127.25946143736, 34185_1994.62023970808, 169.1689447513, 36.5297230220
166,   164,   165, 173.8247634512, 39.1558784027
167, 41984_2299.1985825079, 37035_2111.91092601268, 262.8070979939, 75.5194414986
168, 34922_2031.60673048644,   167, 38.2242055484, 43.0089595760
169, 33190_1954.03011702032,   168, 39.3139744590, 78.6663823767
170, 45600_2425.09506708441, 48994_2536.93585007998, 106.2813652843, 218.1221482799
171, 44931_2404.55929688333,   170, 115.0982503095, 29.3526552263
172, 41325_2274.03331569595,   171, 41.1861612943, 56.6138921722
173, 39910_2222.21822721568,   172, 50.8134347584, 61.4423619444
174,   173, 37760_2140.53143237702, 83.2059204651, 52.3325603848
175, 34936_2031.97479493869,   174, 95.2565140305, 151.4805910840
176,   175, 32644_1930.94917342041, 28.4099340779, 22.6408265901
177,   176, 32451_1922.87412619663, 18.8619676483, 33.4277470146
178,   169,   177, 49.2000808791, 23.9303174998
179,   166,   178, 101.6216643013, 48.2030877001
180,   161,   179, 41.8891322937, 46.3036953211
181, 30672_1828.73180856698, 32830_1938.67286521006, 67.2398135685, 177.1808702116
182,   180,   181, 105.0904649676, 95.5731813051
183, 33056_1948.03357960697, 31336_1863.63339914755, 127.7733617478, 43.3731812884
184,   183, 29304_1751.49749570059, 107.6435306425, 38.8808084839
185, 27489_1653.82396674146,   184, 29.3016686338, 88.0943891090
186,   182,   185, 145.6794238197, 104.2829082340
187,   186, 23866_1425.41000824756, 121.6353634887, 26.8059818626
188, 31970_1896.93605355611, 28841_1728.11566495756, 197.9863908737, 29.1660022751
189,   188, 29678_1771.22312732904, 49.1972608178, 121.4707254644
190, 24804_1484.00280336384,   189, 25.7060226305, 191.4556211313
191,   187,   190, 24.0256521263, 83.7184064747
192,   159,   191, 26.4507210981, 141.1732159469
193, 45301_2415.71273530141, 45342_2417.23587598812, 20.3743930719, 21.8975337586
194,   193, 47612_2488.11682046354, 48.6190209682, 141.3974992022
195, 24270_1449.14817165385,   194, 43.2989847032, 940.8701343107
196, 21079_1255.02088121834, 22477_1343.33095451993, 25.1564520843, 113.4665253859
197,   196, 26205_1575.14033169871, -7.0115080601, 338.2643945046
198,   195,   197, 202.2705864850, 33.2973367285
199, 21741_1298.8143323566, 21800_1301.81049468108, 74.6912056132, 77.6873679376
200,   198,   199, 2.2870912473, 22.8316175251
201,   192,   200, 88.2588809950, 56.1452319017
202,   201, 20028_1185.00353661757, 16.2955493489, 56.1528086497
203, 19914_1178.18529475845, 19965_1181.99063837059, 16.4074269395, 20.2127705517
204,   202,   203, 85.5420943051, 118.4692341562
205, 11978_673.643659353244, 11849_664.940358089929, 20.2522910907, 11.5489898274
206,   204,   205, 408.6748096747, 18.7575442745
207, 19758_1164.13479657058, 19319_1130.1637704828, 71.2372307948, 37.2662047071
208, 30189_1798.63541809471, 30048_1789.35325244822, 105.3283036707, 96.0461380242
209, 30384_1808.53604955359, 30443_1812.6053392085, 29.0180210694, 33.0873107243
210,   208,   209, 33.3761234945, 119.5870375547
211, 40643_2249.99997109367, 47615_2488.20977070541, 28.4374337038, 266.6472333156
212,   211, 35595_2059.03964677196, 183.8927693604, 21.3698787425
213, 40139_2229.8863385747, 39841_2219.31996943168, 69.2033966846, 58.6370275416
214,   213, 34992_2033.76036114304, 150.8457237278, 23.9231429807
215,   212,   214, 50.7156241229, 22.8830742557
216,   215, 36281_2086.1095824782, 37.0816181305, 136.2370567022
217, 36710_2101.70543396644, 37149_2116.5918488227, 20.8873753394, 35.7737901956
218,   217, 39150_2193.57472782498, 40.0920015473, 152.8486707452
219, 47107_2471.63675522313, 49303_2548.91549989577, 44.4845616964, 121.7633063690
220,   219, 44553_2390.83369984847, 102.6338802210, 66.3153865427
221, 42707_2325.6667836667,   220, 47.1225647110, 45.9740943500
222,   221, 43058_2338.55483596806, 58.9314162523, 118.9420332647
223, 36643_2098.8782477524,   222, 10.4838369004, 131.2183918514
