# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jun 07 07:02:38 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_2.08333333333333e-05_156_313.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-4533424.31807894	-2097.556217975228	-4531326.761860965	1516.8880816448243	30.990191307205805	1790.0870320481752	1.0	1.0	1.0	-4531326.761860965	0.0	-310.6418307435934
1000	-1679107.3051536998	-455.83318715254165	-1678651.4719665472	1517.0133764896132	30.864896462416937	1745.2920659890876	0.8911683998098527	0.11876057414733553	0.11876057414733546	-1678651.4719665472	0.0	-252.9018177605709
2000	-351973.7215728559	-211.03144623621506	-351762.69012661965	1516.5897757067755	31.288497245254575	1702.7006642873384	0.6330215310877119	0.017836586079698267	0.017836586079698263	-351762.69012661965	0.0	-186.27920238431665
3000	-80719.13116847334	-128.7856086677941	-80590.34555980554	1516.4036569007303	31.47461605129979	1674.5757294368957	0.5336455188938952	0.0027828173665228337	0.0027828173665228337	-80590.34555980554	0.0	-130.83503205598362
4000	-50608.2659517237	-97.50565778376689	-50510.76029393993	1516.4061398411886	31.47213311084147	1659.0505345667452	0.4267351010155567	0.0012279246598141894	0.0012279246598141894	-50510.76029393993	0.0	-102.80591088500785
5000	-36525.53712752487	-105.07975541229227	-36420.45737211258	1516.3935120360052	31.484760916024925	1663.2189076520372	0.5535744992022374	4.6958276389149874E-4	4.695827638914988E-4	-36420.45737211258	0.0	-111.85781852641037
6000	-30503.269102633814	-213.6349766985037	-30289.63412593531	1516.3780715603307	31.50020139169942	1727.2498598904099	0.7123418261944742	8.769648358575307E-5	8.769648358575301E-5	-30289.63412593531	0.0	-221.6482926572042
7000	-29684.29492506516	-379.35373990701856	-29304.941185158143	1516.3816886122133	31.496584339816764	1865.005527107479	1.0847057150783956	5.2001988114808514E-5	5.200198811480852E-5	-29304.941185158143	0.0	-387.30070620039294
8000	-29309.919571693128	-494.8274748784616	-28815.092096814667	1516.3772507704382	31.501022181591907	2001.0457829513937	1.8076480094194003	4.345542223031681E-5	4.345542223031677E-5	-28815.092096814667	0.0	-502.39872715617867
9000	-28972.314388296498	-564.1371048543745	-28408.177283442124	1516.37898303242	31.49928991961019	2092.459766204195	2.383283755419894	4.411023952594032E-5	4.411023952594032E-5	-28408.177283442124	0.0	-571.4414188381875
10000	-28802.644895891826	-623.9951978879519	-28178.649698003876	1516.378883107539	31.499389844491134	2186.969103720345	2.5536060934999703	4.139439796107056E-5	4.139439796107062E-5	-28178.649698003876	0.0	-631.2861166084072
11000	-28623.57607589308	-669.3327386107401	-27954.24333728234	1516.3987473221273	31.47952562990281	2271.938189517814	3.4701401468633404	3.797857396108171E-5	3.797857396108172E-5	-27954.24333728234	0.0	-676.3833322012422
12000	-28478.315988431783	-703.1871920136521	-27775.128796418132	1516.503460724807	31.374812227223174	2352.313412316753	3.3482824241003106	3.7657026632419864E-5	3.765702663241987E-5	-27775.128796418132	0.0	-710.2928712090227
13000	-28081.144619491606	-754.0804748995213	-27327.064144592085	1516.9623310067225	30.915941945307623	2472.2838125017297	4.151501695656051	3.259408672723386E-5	3.259408672723386E-5	-27327.064144592085	0.0	-761.076196649269
14000	-28009.51863403661	-796.2528198156026	-27213.265814221006	1516.8313675314216	31.046905420608482	2558.544672590713	5.544865953420619	3.2232503150740126E-5	3.223250315074011E-5	-27213.265814221006	0.0	-802.979978671506
15000	-27722.972217786875	-827.3952664943914	-26895.576951292485	1518.192209651808	29.68606330022203	2627.5719078698176	5.5675503548208365	3.01964952389241E-5	3.019649523892415E-5	-26895.576951292485	0.0	-834.1674030052388
16000	-27620.51803546362	-877.635639551043	-26742.882395912577	1516.6289396753693	31.249333276660764	2777.4635028303137	6.981297926629641	2.7735563076422292E-5	2.7735563076422302E-5	-26742.882395912577	0.0	-884.2540494869818
17000	-27426.257290854788	-912.1573937365364	-26514.099897118253	1516.5121860040529	31.366086947977237	2859.187050697933	7.874225793286416	2.5012478488751053E-5	2.5012478488751077E-5	-26514.099897118253	0.0	-918.7271327378438
18000	-27377.64915150946	-930.9446219636787	-26446.704529545783	1516.4077622697298	31.4705106823003	2916.3289481041174	6.962275858512277	2.4853682268654503E-5	2.4853682268654466E-5	-26446.704529545783	0.0	-937.6495618613019
19000	-27170.895408490687	-959.245764307286	-26211.649644183402	1516.4335207274614	31.444752224568674	3009.4450520334544	8.627425311451116	2.638811205965359E-5	2.638811205965359E-5	-26211.649644183402	0.0	-965.715093633506
20000	-26996.521576687683	-985.5811619507673	-26010.940414736917	1516.4134109571787	31.46486199485139	3105.306481548516	8.896048903201418	2.271913936567201E-5	2.2719139365672025E-5	-26010.940414736917	0.0	-992.1192251525055
