# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jun 07 09:11:43 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_2.08333333333333e-05_179_5.33.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-83436.97597859368	-259.31433537942445	-83177.66164321425	254.12966396352752	272.1996188142575	257.8238863852507	1.0	1.0	1.0	-83177.66164321425	0.0	-3.694222421723218
1000	-83013.7098465569	-20.54582996699409	-82993.1640165899	252.9437318593827	273.3855509184023	253.2769788980921	0.3025367188838505	0.1133370094049225	0.1133370094049225	-82993.1640165899	0.0	3.6807010998112544
2000	-62755.28276472768	4.096733661463534	-62759.37949838914	252.92114881800723	273.4081339597778	253.05257881976488	0.2705103452984877	0.023783393798513193	0.02378339379851319	-62759.37949838914	0.0	4.743920316869292
3000	-21851.58953765054	16.292442857545794	-21867.881980508086	252.90193024345146	273.4273525343335	253.05567735946994	0.06381957289385085	0.0017178731143013693	0.0017178731143013691	-21867.881980508086	0.0	8.597691070550145
4000	-17785.811253588978	17.187440862169876	-17802.998694451147	252.90797953479358	273.4213032429914	253.10408069611572	0.031072488874360486	3.1767855417200413E-4	3.1767855417200413E-4	-17802.998694451147	0.0	7.574643433774245
5000	-17280.261657629864	11.82527561514849	-17292.086933245013	252.9134704731826	273.4158123046024	253.4546010167296	0.06291887200162062	1.401305093966763E-4	1.401305093966763E-4	-17292.086933245013	0.0	2.463187612998729
6000	-17017.390396366387	-3.7362482620492354	-17013.65414810434	253.059105399971	273.270177377814	260.21002307743595	0.49556059045686573	4.6584443879049334E-5	4.6584443879049334E-5	-17013.65414810434	0.0	-11.621693721612012
7000	-16936.56873040925	-6.939303911178998	-16929.62942649807	253.85589967529546	272.47338310248955	272.76185097710515	1.4393403057731229	9.400003803875514E-6	9.400003803875514E-6	-16929.62942649807	0.0	-14.591889887076771
8000	-16897.49391362369	-25.229858258155925	-16872.264055365533	256.44535077649743	269.8839320012876	446.40703903685005	9.123741259216844	7.290008145231559E-6	7.29000814523156E-6	-16872.264055365533	0.0	-31.408477595544937
9000	-16882.16863649761	-19.776439987916625	-16862.392196509692	258.8011374375817	267.5281453402033	505.55667893344344	21.877518200466472	5.281039319172626E-6	5.281039319172626E-6	-16862.392196509692	0.0	-25.304469534717825
10000	-16874.745992426757	-22.55023962915772	-16852.195752797597	343.52893619389357	182.80034658389144	916.5450926936303	101.73676184991352	1.906232691097662E-6	1.9062326910976626E-6	-16852.195752797597	0.0	-27.349235298714195
11000	-16872.471252699153	-22.67721778092072	-16849.79403491823	494.69736554399117	31.631917233793843	1273.6422993337233	264.38871001192274	1.3345784474427375E-6	1.3345784474427373E-6	-16849.79403491823	0.0	-26.863998212106672
