# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jun 08 01:04:38 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_4.16666666666667e-05_166_383.9.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-5885513.983643595	-3307.8770779105976	-5882206.106565684	2535.8411505127465	-0.43541377273641046	2911.5166511300204	1.0	1.0	1.0	-5882206.106565684	0.0	-399.77627654283805
1000	-2949651.524197341	-674.7787727633719	-2948976.7454245775	2534.8165752026566	0.5891615373534478	2847.653768149689	0.9174636237927511	0.12264828491985945	0.12264828491985935	-2948976.7454245775	0.0	-330.0590420516936
2000	-421551.16630582453	-290.02794389994875	-421261.13836192456	2534.557311868117	0.8484248718932577	2796.821837926814	0.6660275328749672	0.011647733356744697	0.01164773335674471	-421261.13836192456	0.0	-263.4798095477692
3000	-122399.56774844877	-205.80293764618622	-122193.76481080258	2534.4694423045394	0.9362944354706997	2759.0851514635197	0.708421118381045	0.0022502922010996644	0.002250292201099665	-122193.76481080258	0.0	-206.37621628737529
4000	-75885.60056279539	-290.2511668397144	-75595.34939595567	2534.450282030584	0.9554547094262489	2820.2353538533002	0.8084657095714267	7.208334370212268E-4	7.20833437021227E-4	-75595.34939595567	0.0	-295.4483380083644
5000	-66019.19537688645	-410.10702869681916	-65609.08834818963	2534.459569501723	0.9461672382872166	2920.4904359877037	1.0288934164796322	3.842720929805199E-4	3.842720929805202E-4	-65609.08834818963	0.0	-416.3057501695186
6000	-60267.57399665425	-576.6398877627138	-59690.93410889154	2534.4507504088833	0.9549863311267472	3124.119138547391	1.6205213055372416	1.1307709324767644E-4	1.1307709324767647E-4	-59690.93410889154	0.0	-583.7986828063891
7000	-58772.166500942214	-709.1140535333702	-58063.052447408845	2534.606385985569	0.7993507544410932	3361.7362443307125	2.34430577114822	1.0443993510119843E-4	1.0443993510119837E-4	-58063.052447408845	0.0	-715.9821554108264
8000	-58057.869478244276	-777.885328026661	-57279.98415021761	2534.534294456472	0.871442283538272	3513.795070541674	2.888185716602968	1.010116638775744E-4	1.0101166387757426E-4	-57279.98415021761	0.0	-784.5797635283304
9000	-57625.051682878904	-860.1372330028754	-56764.91444987603	2534.572072128138	0.8336646118718818	3685.9170564119345	3.0293507858420274	9.585077099086955E-5	9.58507709908695E-5	-56764.91444987603	0.0	-866.8357180740447
10000	-57033.79745379452	-900.489564189132	-56133.307889605385	2534.7693997394686	0.6363370005415163	3804.081176242045	3.9415172846658417	8.755629466618058E-5	8.75562946661805E-5	-56133.307889605385	0.0	-907.0060914305088
11000	-55173.29123043807	-959.0522593636471	-54214.238971074425	2534.72314883117	0.6825879088401052	3966.3918971650564	4.399018149038787	8.322028001369244E-5	8.322028001369244E-5	-54214.238971074425	0.0	-965.5082446123721
12000	-54596.923849217776	-996.0826768544324	-53600.84117236334	2534.9744252490805	0.43131149092960186	4083.553078811611	4.980557677706286	7.77603187307684E-5	7.776031873076845E-5	-53600.84117236334	0.0	-1002.4755326743103
13000	-53989.3040439592	-1046.6173987611821	-52942.68664519802	2534.918921086823	0.4868156531870227	4244.548403061164	5.502230122792099	7.19782314225113E-5	7.197823142251126E-5	-52942.68664519802	0.0	-1052.980634012024
14000	-52644.06031737072	-1100.5925191821595	-51543.46779818856	2534.700071557713	0.7056651822972526	4433.363460542192	6.116353127263463	6.808518495033361E-5	6.80851849503336E-5	-51543.46779818856	0.0	-1106.9031742124412
15000	-52246.98620327359	-1145.8221419698568	-51101.16406130373	2535.155177857612	0.2505588823978542	4621.5619384584315	7.6515423431805	6.46659536420788E-5	6.466595364207878E-5	-51101.16406130373	0.0	-1151.9583939371917
16000	-51623.6888674246	-1186.348743318616	-50437.340124105984	2535.2221534111973	0.18358332881280148	4778.957673929224	8.360696414278667	6.145784560955348E-5	6.145784560955355E-5	-50437.340124105984	0.0	-1192.4437006046696
17000	-50957.11391755109	-1252.4176174648915	-49704.6963000862	2536.5228748636537	-1.117138123643599	5040.904785968907	10.18113320999176	5.6875051591040535E-5	5.6875051591040556E-5	-49704.6963000862	0.0	-1258.3880117997837
18000	-50436.40635209266	-1269.9886528719449	-49166.417699220714	2535.877070636149	-0.4713338961387308	5124.154370195161	9.39444097967507	5.6875051591040535E-5	5.687505159104054E-5	-49166.417699220714	0.0	-1276.0429205371945
19000	-49590.428412607165	-1323.9679119503976	-48266.460500656765	2535.309977161846	0.09575957816423397	5336.582207914202	12.921399566981368	5.022020518124833E-5	5.0220205181248345E-5	-48266.460500656765	0.0	-1329.8093748407641
20000	-49346.10063171106	-1346.784970198317	-47999.315661512745	2535.3562589721873	0.049477767822736496	5462.9941270837935	12.97597543986381	5.106065073668599E-5	5.106065073668601E-5	-47999.315661512745	0.0	-1352.6146859631892
21000	-49175.79435205875	-1367.8728483236648	-47807.92150373509	2535.5041482090187	-0.09841146900862441	5597.647094778264	12.368164668113023	4.860519515318767E-5	4.8605195153187704E-5	-47807.92150373509	0.0	-1373.794223727208
22000	-48646.204447462755	-1378.9833587199055	-47267.22108874285	2536.227976502168	-0.8222397621580058	5700.420236827739	14.306368863724911	4.5696585963073904E-5	4.569658596307393E-5	-47267.22108874285	0.0	-1384.8106902929733
23000	-48283.647259862824	-1464.0820474504576	-46819.565212412366	2537.003220524746	-1.5974837847361414	6216.26539182952	16.84640146597201	4.266917893198459E-5	4.266917893198454E-5	-46819.565212412366	0.0	-1469.8187816407694
24000	-47884.64535745315	-1468.5848420640457	-46416.0605153891	2537.349164532387	-1.9434277923769514	6273.430519966227	16.055039918941237	4.119805118622889E-5	4.119805118622892E-5	-46416.0605153891	0.0	-1474.3986003057357
25000	-47607.54681927146	-1489.9759560906598	-46117.5708631808	2540.315811667194	-4.910074927183814	6414.387642068663	16.461288788162875	4.044768607802174E-5	4.044768607802178E-5	-46117.5708631808	0.0	-1495.7840324875904
