# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jun 09 03:11:39 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_4.16666666666667e-06_271_19.17.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-317237.5490591602	-1272.8663269988745	-315964.68273216137	1256.2396723960042	72.98776991000591	1266.0527320395615	1.0	1.0	1.0	-315964.68273216137	0.0	-9.813059643557402
1000	-288879.2336959999	-205.2230428067928	-288674.0106531931	1255.3688442382231	73.85859806778694	1259.9161616685901	0.23785651707232183	0.17244534698628225	0.17244534698628222	-288674.0106531931	0.0	6.731676461557362
2000	-192643.85921956756	-5.2235348739187195	-192638.63568469364	1255.8291906590644	73.39825164694571	1258.1037706526085	0.16043553213396175	0.024375418896511573	0.02437541889651158	-192638.63568469364	0.0	18.76000290828261
3000	-70787.21632920505	34.7228955137639	-70821.93922471882	1255.2632918397392	73.9641504662709	1256.4192505858182	0.05312174663011196	0.004011190233867582	0.004011190233867582	-70821.93922471882	0.0	31.072484013331245
4000	-24540.06600139236	46.915134441336775	-24586.981135833696	1255.2631506912148	73.96429161479523	1256.0679777429655	0.05026310984014475	5.267691070551265E-4	5.267691070551265E-4	-24586.981135833696	0.0	37.81642846734408
5000	-19075.708252065448	47.18752288827355	-19122.895774953722	1255.2631874176136	73.96425488839645	1256.0658081665965	0.030551211625499976	1.5649544923524786E-4	1.564954492352479E-4	-19122.895774953722	0.0	36.51899379662944
6000	-17666.536914212676	43.92855290702013	-17710.465467119695	1255.2654449242564	73.96199738175369	1256.2952101791925	0.0635894306830379	6.095886327373883E-5	6.095886327373884E-5	-17710.465467119695	0.0	33.40157534460454
7000	-16871.565800709155	42.671052156653715	-16914.236852865808	1255.2648173549298	73.96262495108022	1256.449058838815	0.06977433411103966	5.370424658268467E-6	5.370424658268467E-6	-16914.236852865808	0.0	30.952351528160264
8000	-16829.879249996866	42.51882058484402	-16872.39807058171	1255.2692045842562	73.9582377217539	1256.497258660221	0.05796133754362714	1.8456851154838378E-6	1.8456851154838378E-6	-16872.39807058171	0.0	30.076153947087736
9000	-16828.165614030953	39.034635261023276	-16867.20024929198	1255.2652577368603	73.96218456914971	1256.740469002649	0.06277620064537426	9.297863267031793E-7	9.29786326703179E-7	-16867.20024929198	0.0	26.327695580026397
10000	-16834.706659923835	34.53664393297372	-16869.24330385681	1255.291981497742	73.93546080826809	1257.1928557553424	0.08620135601177838	7.942564720614763E-7	7.942564720614765E-7	-16869.24330385681	0.0	22.067690020294624
11000	-16840.046062574987	28.6972487616487	-16868.743311336635	1255.301543612983	73.92589869302697	1257.8704248564097	0.13398681907359372	1.560142235416144E-6	1.5601422354161438E-6	-16868.743311336635	0.0	17.00760781466893
12000	-16841.85406347202	15.230201076475877	-16857.084264548495	1255.3224416231344	73.90500068287565	1260.590680967159	0.2855712056303326	1.077746143637346E-6	1.077746143637346E-6	-16857.084264548495	0.0	4.110673598913198
13000	-16848.188715294316	7.28062813406232	-16855.46934342838	1255.7275069022076	73.49993540380251	1263.3444785150537	0.2936173621496327	9.353613698363958E-7	9.353613698363957E-7	-16855.46934342838	0.0	-3.8832284489728535
14000	-16864.25052707054	-11.669983141581847	-16852.580543928958	1255.3363623248345	73.89107998117561	1273.629610154785	0.5622025532566127	9.65392606414559E-7	9.653926064145589E-7	-16852.580543928958	0.0	-22.17246024319425
15000	-16859.89122601146	-9.527461005134095	-16850.363765006325	1256.8096069598867	72.41783534612341	1276.0606975124865	0.9372402530490495	1.292470877317668E-6	1.2924708773176683E-6	-16850.363765006325	0.0	-19.37350631098727
16000	-16868.515588254835	-21.179257999663246	-16847.336330255173	1255.9016621471465	73.32578015886361	1291.620032013831	1.8229537242229699	1.203308479112924E-6	1.203308479112924E-6	-16847.336330255173	0.0	-30.40192486704631
17000	-16887.0709659713	-47.800678952430346	-16839.27028701887	1256.0392771346926	73.18816517131745	1376.0310006037637	4.012669274964285	1.017270512776702E-6	1.0172705127767023E-6	-16839.27028701887	0.0	-56.35013055582374
18000	-16885.59231637991	-59.7205442228975	-16825.87177215701	1256.3495914001817	72.87785090582838	1510.312737120002	15.925472287549724	1.0520036624328478E-6	1.0520036624328476E-6	-16825.87177215701	0.0	-66.92111355809264
19000	-16885.21455531357	-78.57661398162371	-16806.63794133195	1256.478129336646	72.74931296936415	1886.4494423677938	27.68388230289303	6.711799573686345E-7	6.711799573686342E-7	-16806.63794133195	0.0	-85.56047265537087
20000	-16874.642336443245	-101.63843826113941	-16773.003898182105	1258.702064136157	70.52537816985296	2877.796617264106	180.6278139094208	2.769900659753985E-7	2.7699006597539853E-7	-16773.003898182105	0.0	-107.40086976525623
21000	-16869.107789808742	-94.16660002123258	-16774.94118978751	1258.775599955171	70.45184235083912	2429.4789608124274	136.00104361155357	3.534804404959183E-7	3.534804404959183E-7	-16774.94118978751	0.0	-100.00614863473085
22000	-16875.9534537949	-100.42487682974044	-16775.52857696516	1267.4646509468084	61.76279135920163	2892.915964726235	135.97303759526093	3.3174164306669406E-7	3.3174164306669406E-7	-16775.52857696516	0.0	-106.38356037865793
23000	-16869.623191140985	-108.96159802307609	-16760.661593117908	1277.941104845723	51.286337460287086	3396.37936261666	263.9341117710087	1.8177985274199226E-7	1.8177985274199215E-7	-16760.661593117908	0.0	-114.63838355754972
24000	-16874.176476066645	-106.06835166383377	-16768.10812440281	1281.922738964403	47.30470334160714	3117.536495750229	164.14163042190197	6.363888760299255E-7	6.363888760299255E-7	-16768.10812440281	0.0	-111.54940030229514
25000	-16868.307692438426	-104.66083703621337	-16763.646855402214	1292.6100857229608	36.617356583049286	3135.293983571881	125.04151649370485	1.653830242390342E-7	1.653830242390342E-7	-16763.646855402214	0.0	-111.09204771356389
26000	-16869.779267644884	-106.08385145106091	-16763.695416193823	1340.617982374723	-11.39054006871288	3269.2669450981803	159.75066080564397	2.1745149695783773E-7	2.1745149695783773E-7	-16763.695416193823	0.0	-112.15396690977234
27000	-16859.71368238788	-108.4571130040311	-16751.256569383848	1284.5937663986929	44.63367590731718	3524.623633366734	231.25840111208336	1.9670308601932972E-7	1.9670308601932972E-7	-16751.256569383848	0.0	-114.24506873269534
28000	-16858.472865276734	-118.49708801083621	-16739.975777265896	1436.3853639500282	-107.15792164401819	4333.112524664653	218.8333888983575	2.1174748154725467E-7	2.1174748154725461E-7	-16739.975777265896	0.0	-124.40645127708595
29000	-16855.178104508464	-115.66794290618652	-16739.510161602277	1457.8827782763854	-128.6553359703753	4497.342657689121	358.6959897579066	1.102139830933562E-7	1.1021398309335616E-7	-16739.510161602277	0.0	-121.42864910906846
30000	-16858.104267318333	-116.85064324012771	-16741.253624078206	1483.0167861416999	-153.7893438356898	4580.551170666649	223.209184318741	6.05476676607319E-8	6.054766766073192E-8	-16741.253624078206	0.0	-123.39459632734443
31000	-16859.214204387168	-121.15218997920535	-16738.062014407962	1495.065997399069	-165.83855509305886	5114.389086877588	451.1700054636478	7.750055190952008E-8	7.750055190952008E-8	-16738.062014407962	0.0	-126.92398145501618
32000	-16868.387838750594	-129.36283245005794	-16739.025006300537	1519.3333118771952	-190.10586957118517	6267.611981228784	679.310086813193	1.7818609485545442E-7	1.7818609485545442E-7	-16739.025006300537	0.0	-134.41006702737482
33000	-16875.779253426845	-135.59601434994119	-16740.183239076905	1525.9984975294656	-196.7710552234555	6720.015742653359	1420.6816347438328	5.994503673194576E-8	5.994503673194573E-8	-16740.183239076905	0.0	-140.48569627814751
34000	-16864.11599739768	-137.46327066715503	-16726.652726730525	1903.8559893155139	-574.6285470095038	8192.466336011503	1345.5634757006874	1.0924015286533296E-7	1.0924015286533296E-7	-16726.652726730525	0.0	-142.20578633883542
35000	-16854.014217415417	-127.65027734382457	-16726.36394007159	1941.0063748460955	-611.7789325400854	6655.689407423204	463.61594285247446	8.11532476676174E-8	8.115324766761744E-8	-16726.36394007159	0.0	-133.50339269053416
36000	-16857.911441759563	-128.29678060494183	-16729.61466115462	2055.9772128951718	-726.7497705891617	6925.875352787895	611.7254413745554	1.2205296400306964E-7	1.2205296400306964E-7	-16729.61466115462	0.0	-133.68820202329283
37000	-16866.225506569317	-140.90731134738056	-16725.318195221935	2427.6894307433754	-1098.4619884373653	10726.785658982277	1447.1628746994	4.9824531578990956E-8	4.982453157899096E-8	-16725.318195221935	0.0	-146.1046804654186
38000	-16863.759779205444	-134.84142191376847	-16728.918357291677	2685.7233600189556	-1356.4959177129456	9177.925612170036	934.0941601310922	3.414576377584659E-8	3.414576377584659E-8	-16728.918357291677	0.0	-140.58775823462744
39000	-16870.99019911903	-146.43824464226634	-16724.551954476763	3075.2965863290538	-1746.0691440230437	13920.885146273953	1919.5470946869043	4.203372211205589E-8	4.203372211205588E-8	-16724.551954476763	0.0	-151.5684195803987
40000	-16872.03816031226	-146.64205660295414	-16725.396103709303	3880.8611138962597	-2551.63367159025	15610.83217431872	1435.5717323405477	3.45583961605039E-8	3.455839616050391E-8	-16725.396103709303	0.0	-152.21800151807395
41000	-16858.369798147058	-132.52255615494184	-16725.847241992116	3195.522309755327	-1866.294867449317	9831.370686108257	865.0445802266249	4.474521671583632E-8	4.474521671583633E-8	-16725.847241992116	0.0	-138.24477772651073
42000	-16860.759890768997	-132.84520576801575	-16727.914685000982	3089.81698364639	-1760.5895413403798	10404.001759399913	797.6088542591165	3.766771147872934E-8	3.766771147872934E-8	-16727.914685000982	0.0	-138.76303479274708
43000	-16867.24306882926	-138.0663396829632	-16729.176729146297	3260.5105507025037	-1931.2831083964936	11514.104434655459	991.2754908635353	2.9219183500137152E-8	2.9219183500137152E-8	-16729.176729146297	0.0	-143.94453002363616
44000	-16863.94281465611	-136.67251772346395	-16727.270296932646	2474.0332168281666	-1144.8057745221565	8943.565784701585	1031.3408150116265	6.876687153977219E-8	6.876687153977217E-8	-16727.270296932646	0.0	-141.95653944884037
45000	-16866.145411622994	-136.99300783531112	-16729.152403787684	2951.8069327145436	-1622.5794904085335	10864.972857885665	898.7284517962238	6.32758240237732E-8	6.327582402377321E-8	-16729.152403787684	0.0	-142.5535054204207
46000	-16863.37904926087	-135.76611397342316	-16727.61293528745	3620.74314293089	-2291.51570062488	11283.584573407396	870.9968815971752	7.986045692137573E-8	7.986045692137575E-8	-16727.61293528745	0.0	-141.26025415654848
47000	-16871.435903946807	-144.49705349562615	-16726.93885045118	4577.961520314967	-3248.734078008957	16123.738917498109	1465.7178723612258	4.1891488510428775E-8	4.1891488510428775E-8	-16726.93885045118	0.0	-149.97202823897635
