# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jun 09 13:15:33 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_6.25e-05_156_313.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-4546114.67188572	-2067.2606370918975	-4544047.411248629	1506.1627214834994	-1.5978828779393552	1769.825305334764	1.0	1.0	1.0	-4544047.411248629	0.0	-300.6022848757933
1000	-1436887.078166596	-404.0175370324038	-1436483.0606295634	1504.7716743088697	-0.20683570330970724	1724.9850221404774	0.7469587547476758	0.0975258624221443	0.09752586242214428	-1436483.0606295634	0.0	-240.3965711134354
2000	-464976.6896673317	-203.759090924688	-464772.930576407	1504.6125410861525	-0.0477024805925339	1679.8030252521573	0.6855526116323242	0.02380417545198523	0.02380417545198526	-464772.930576407	0.0	-169.16009312413115
3000	-177607.05955129938	-116.85211868894987	-177490.20743261042	1504.5945895385635	-0.02975093300346998	1652.0950135856635	0.5359345935608255	0.007279027855415504	0.007279027855415503	-177490.20743261042	0.0	-111.04412998901805
4000	-65724.38657699848	-147.4124987169183	-65576.97407828156	1504.5979931631266	-0.033154557566604126	1671.7804153344434	0.5766679439237643	0.0012041684389308357	0.001204168438930837	-65576.97407828156	0.0	-152.4493224747575
5000	-50588.01248783411	-339.68684514787077	-50248.325642686235	1504.6422703926169	-0.0774317870568666	1807.9789461695116	1.0696013807570908	3.2760913922547173E-4	3.2760913922547194E-4	-50248.325642686235	0.0	-346.21671084341364
6000	-47518.53493327227	-511.19764671583636	-47007.33728655643	1504.658273245217	-0.09343463965706178	2001.7164898926774	1.9100267860000268	1.3691997516656688E-4	1.369199751665667E-4	-47007.33728655643	0.0	-517.9530266658323
7000	-46011.12414752718	-686.8194343888562	-45324.30471313833	1504.6421306999955	-0.07729209443550644	2288.026045231406	3.549020787870487	9.493223176506927E-5	9.493223176506923E-5	-45324.30471313833	0.0	-693.2620862993967
8000	-45052.50798699824	-807.0444260625245	-44245.463560935714	1504.5827983229099	-0.017959717349867788	2547.321611219326	5.099524939748311	8.94839623264171E-5	8.948396232641701E-5	-44245.463560935714	0.0	-813.1970937413124
9000	-44537.89058710758	-859.7071560010598	-43678.18343110652	1504.87894567107	-0.31410706550991563	2691.538582100945	5.9459876916931345	8.557120232203083E-5	8.557120232203105E-5	-43678.18343110652	0.0	-865.7537712238122
