# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jun 10 15:01:19 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_8.33333333333333e-05_156_313.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-4519339.383957585	-2158.7251175845176	-4517180.658840001	1580.424508221568	-2.504114814438026	1852.1893158741068	1.0	1.0	1.0	-4517180.658840001	0.0	-309.725498583683
1000	-1884369.4500749179	-499.1625530509788	-1883870.2875218668	1579.5737454825805	-1.6533520754505844	1804.1894426604872	0.8334941628294421	0.14325798135618228	0.14325798135618226	-1883870.2875218668	0.0	-245.02826660657567
2000	-581873.0716299776	-217.0193202808773	-581656.0523096967	1579.367405735755	-1.4470123286250782	1756.183859819459	0.6218812200476576	0.031263589235801546	0.031263589235801574	-581656.0523096967	0.0	-167.48545049818597
3000	-201074.49069463467	-117.49746208747709	-200956.9932325472	1578.1800253201409	-0.259631913010935	1726.1045600031425	0.5499044832637374	0.008032874896627788	0.00803287489662778	-200956.9932325472	0.0	-109.79644346057805
4000	-92451.71430720897	-105.98313571089588	-92345.73117149808	1578.0221180247424	-0.10172461761248996	1724.5942179930548	0.5341572271219736	0.002213844274737069	0.002213844274737072	-92345.73117149808	0.0	-109.00273870759463
5000	-69555.98808120981	-210.1861205049115	-69345.8019607049	1577.9975327858015	-0.07713937867151799	1784.7941171339114	0.7193289982247203	0.0010089294187791552	0.0010089294187791552	-69345.8019607049	0.0	-215.33542263853866
6000	-59676.40675465024	-358.7614431589138	-59317.645311491324	1577.9862442666047	-0.0658508594747218	1903.9121872340181	1.2458965998215417	4.472265179639536E-4	4.4722651796395385E-4	-59317.645311491324	0.0	-364.74979848389245
7000	-55564.7857352014	-535.897481733881	-55028.88825346752	1578.1589304046192	-0.23853699748929102	2123.077731307135	1.7899744865757585	1.4823964757361204E-4	1.4823964757361202E-4	-55028.88825346752	0.0	-542.6668423440283
8000	-54119.46480234508	-668.3163888083806	-53451.1484135367	1578.046638354947	-0.1262449478169856	2354.7484728169693	3.1468791500866624	1.3490843390570422E-4	1.349084339057044E-4	-53451.1484135367	0.0	-674.6174889571204
9000	-53186.19019288549	-746.0583010805906	-52440.1318918049	1578.2943346353186	-0.3739412281886416	2502.3208084729476	3.8299167501320457	1.2708006537690743E-4	1.2708006537690732E-4	-52440.1318918049	0.0	-752.2229315479076
10000	-52118.52972534665	-805.9740951058953	-51312.55563024076	1578.0369977505884	-0.11660434345844806	2666.567963550491	4.933617822465094	1.1795659377844446E-4	1.179565937784447E-4	-51312.55563024076	0.0	-811.9579890158407
11000	-51123.15566461491	-871.1751543874711	-50251.98051022744	1578.5363063022573	-0.6159128951273942	2829.552479411642	6.116138861997198	1.0579296462074977E-4	1.0579296462074975E-4	-50251.98051022744	0.0	-877.043461897377
12000	-50279.17820318195	-928.8395246756234	-49350.33867850633	1578.0569534235156	-0.13656001638560156	2973.4937641254437	6.803527763533708	9.494764713407529E-5	9.494764713407531E-5	-49350.33867850633	0.0	-934.6972311261551
13000	-49824.640293416014	-990.4785004066888	-48834.16179300933	1578.4146185461516	-0.494225139021637	3183.0125116810073	9.638883544778523	9.084302592947661E-5	9.08430259294765E-5	-48834.16179300933	0.0	-996.0371561329832
14000	-49373.21380338845	-1048.330388080088	-48324.88341530836	1578.7629503862368	-0.8425569791068028	3381.584499416944	9.95211876749762	7.969900375339084E-5	7.96990037533908E-5	-48324.88341530836	0.0	-1053.972405320326
15000	-48576.39539395923	-1090.9956431398125	-47485.39975081942	1578.1553267316729	-0.23493332454290794	3559.9500975039186	12.033641438853026	7.575109555700854E-5	7.575109555700862E-5	-47485.39975081942	0.0	-1096.4986816247413
16000	-47656.718556551365	-1123.5461920014384	-46533.17236454993	1578.1368827397935	-0.21648933266351378	3697.3104780072267	13.588466918796392	7.10914758956075E-5	7.109147589560754E-5	-46533.17236454993	0.0	-1128.9852104143918
17000	-46751.88302202929	-1165.6240529057927	-45586.2589691235	1578.032542663151	-0.11214925602098447	3857.811974110995	14.872265885628005	6.644025723093399E-5	6.644025723093403E-5	-45586.2589691235	0.0	-1171.0344072430687
18000	-45996.991621831	-1199.047001117782	-44797.94462071322	1578.0651691787618	-0.1447757716318847	4010.7008957608004	17.22603521537381	6.118954659593307E-5	6.118954659593301E-5	-44797.94462071322	0.0	-1204.38192903199
19000	-45728.698106995864	-1219.5237244720197	-44509.174382523845	1578.1524703133564	-0.23207690622643895	4144.389630037372	20.01079456070996	5.64546436911718E-5	5.645464369117177E-5	-44509.174382523845	0.0	-1224.7769095387066
20000	-45217.2943291788	-1239.3891459610911	-43977.905183217714	1578.2846876209546	-0.3642942138246781	4246.292769188338	19.657068995421465	5.604437455740779E-5	5.604437455740778E-5	-43977.905183217714	0.0	-1244.6719473617306
21000	-44846.7549385617	-1295.4068320055655	-43551.348106556135	1579.0587922903985	-1.1383988832685645	4512.777260185126	21.568098054535554	5.120430417939134E-5	5.1204304179391364E-5	-43551.348106556135	0.0	-1300.6793556655618
22000	-44515.1028376929	-1319.1525422296902	-43195.95029546321	1578.815826061454	-0.8954326543239404	4647.126777075204	23.97626157862197	4.7799897156115966E-5	4.779989715611596E-5	-43195.95029546321	0.0	-1324.3772266048945
23000	-44245.1737919113	-1380.6626204539175	-42864.51117145738	1578.7483617187982	-0.8279683116682008	5022.5781393369425	27.832499545818447	4.7783793379635805E-5	4.7783793379635785E-5	-42864.51117145738	0.0	-1385.759314629167
24000	-43990.86402859233	-1401.7777871009048	-42589.08624149143	1578.0065300003318	-0.08613659320189981	5122.887630140632	27.216654636023485	4.419602253128894E-5	4.419602253128893E-5	-42589.08624149143	0.0	-1406.959356467259
25000	-43349.99037305896	-1427.54776811904	-41922.44260493992	1578.0144723364624	-0.09407892933245421	5337.686657081491	38.443664929577295	4.208631843906061E-5	4.208631843906068E-5	-41922.44260493992	0.0	-1432.4307334124278
26000	-43075.84242486367	-1433.2983381185572	-41642.54408674512	1578.0631090160034	-0.14271560887345913	5388.780155871962	36.02295871339355	3.795015223993425E-5	3.7950152239934256E-5	-41642.54408674512	0.0	-1438.3229673534481
27000	-42908.036257258	-1473.6024184447176	-41434.43383881328	1578.4973555888537	-0.5769621817237294	5686.103949099995	40.98213196300568	3.8416535099049976E-5	3.841653509904998E-5	-41434.43383881328	0.0	-1478.5048785055058
28000	-42699.12632903758	-1485.8026459755245	-41213.32368306205	1580.6220149576095	-2.701621550479558	5754.9240819831775	41.692419825849726	3.726793002352305E-5	3.7267930023523065E-5	-41213.32368306205	0.0	-1490.7130818488283
29000	-42435.29436587408	-1508.1901014920734	-40927.104264382004	1581.1392792062918	-3.2188857991618534	5933.640207712511	46.02726701610127	3.5812123698611645E-5	3.581212369861168E-5	-40927.104264382004	0.0	-1513.0388149288442
30000	-42243.67424381309	-1526.333767912531	-40717.34047590056	1578.6917476841213	-0.7713542769913602	6082.244090422711	46.21213305729263	3.500930014643888E-5	3.500930014643886E-5	-40717.34047590056	0.0	-1531.2017383837865
31000	-41971.73309099511	-1576.8902659308872	-40394.842825064225	1578.4392748803932	-0.5188814732632636	6575.994995826333	64.12770564497634	3.0472683507674483E-5	3.0472683507674446E-5	-40394.842825064225	0.0	-1581.5515668148826
32000	-41556.52473635793	-1587.8783484175594	-39968.646387940375	1578.9237657715819	-1.0033723644519341	6724.209570819169	61.93132868995534	2.9500315335816407E-5	2.9500315335816407E-5	-39968.646387940375	0.0	-1592.6038806359713
33000	-41423.9365433407	-1601.0559266956477	-39822.88061664505	1578.3506866858331	-0.430293278703175	6830.288456508239	63.49694792410383	2.7121929486069916E-5	2.7121929486069875E-5	-39822.88061664505	0.0	-1605.8194643785926
34000	-41121.75514912871	-1635.6958849609566	-39486.05926416775	1578.7203116523901	-0.7999182452601872	7111.3853543209625	69.14663602656182	2.7273017897683052E-5	2.7273017897683093E-5	-39486.05926416775	0.0	-1640.3828741933664
35000	-40935.362378773345	-1664.1744948113803	-39271.18788396197	1579.4556093041958	-1.535215897065882	7406.024888248246	72.42485843833859	2.522874629384085E-5	2.5228746293840883E-5	-39271.18788396197	0.0	-1668.8815233612852
36000	-40675.61858708731	-1741.6759319960097	-38933.9426550913	1579.222723442853	-1.3023300357231165	8173.240658969446	92.34355168312678	2.326591259309777E-5	2.3265912593097775E-5	-38933.9426550913	0.0	-1746.2264642759378
37000	-40138.07033208578	-1781.9311764329323	-38356.13915565285	1581.0524777841936	-3.13208437706362	8549.09916925215	111.77562953765486	2.071822952339173E-5	2.071822952339178E-5	-38356.13915565285	0.0	-1786.3842346309184
38000	-39864.387836259324	-1799.797405581655	-38064.59043067767	1583.1483462433596	-5.227952836229633	8766.94552956932	120.11182322898532	2.0878562019410488E-5	2.0878562019410515E-5	-38064.59043067767	0.0	-1804.181341955956
39000	-39830.5337800963	-1808.3365830448822	-38022.19719705142	1582.8154445723208	-4.895051165190807	8905.287309600892	123.89906591602441	1.956165242402935E-5	1.956165242402935E-5	-38022.19719705142	0.0	-1812.7387186554026
40000	-39368.788158945696	-1807.627939083377	-37561.160219862315	1579.1884459694559	-1.26805256232592	8906.309748783302	123.10468950856225	1.956165242402935E-5	1.9561652424029337E-5	-37561.160219862315	0.0	-1812.0365442183145
41000	-39157.04801577927	-1828.2059400843366	-37328.842075694934	1579.8054742031584	-1.8850807960284328	9156.129832371853	136.73658247681573	1.8298424237146802E-5	1.829842423714681E-5	-37328.842075694934	0.0	-1832.5634133091066
42000	-39090.143272831476	-1857.070827545584	-37233.07244528589	1579.852153391584	-1.9317599844539473	9519.502056419673	160.1569080748596	1.8422426267694073E-5	1.842242626769405E-5	-37233.07244528589	0.0	-1861.2784560867915
43000	-39041.23879892665	-1869.9827968640689	-37171.25600206258	1580.0217022896315	-2.1013088825015984	9662.017834499318	155.29638709363607	1.7864472280815825E-5	1.786447228081583E-5	-37171.25600206258	0.0	-1874.246816804113
44000	-38638.38648483157	-1884.6405170966796	-36753.74596773489	1586.5522105336106	-8.631817126480655	9863.563646312403	136.09516679388366	1.7518322025088186E-5	1.751832202508819E-5	-36753.74596773489	0.0	-1889.0564377020062
45000	-38500.729426632526	-1897.6668783608793	-36603.06254827165	1583.600006017176	-5.679612610045979	10105.291516514539	159.44471549818132	1.6936298240118554E-5	1.6936298240118537E-5	-36603.06254827165	0.0	-1901.9551028825017
46000	-38438.41551696807	-1901.4047243112038	-36537.01079265686	1582.7852697098087	-4.864876302678795	10132.178288047993	138.33518804623216	1.638312953729552E-5	1.638312953729547E-5	-36537.01079265686	0.0	-1905.8580479632876
47000	-38343.376733116536	-1911.70276094362	-36431.67397217292	1581.3094572247253	-3.3890638175953427	10400.692132046703	175.53853945863838	1.5995614303679436E-5	1.5995614303679416E-5	-36431.67397217292	0.0	-1915.9425837307137
48000	-38287.89563636624	-1922.5688126337927	-36365.326823732445	1586.2034038046352	-8.283010397505222	10588.347114022486	187.5752659394227	1.5617440810051282E-5	1.561744081005127E-5	-36365.326823732445	0.0	-1926.7642204303875
49000	-38242.56040876473	-1927.964124982796	-36314.59628378193	1584.1764361725593	-6.256042765429356	10674.614884125165	178.57484866882388	1.5404888716492064E-5	1.540488871649206E-5	-36314.59628378193	0.0	-1932.2205356573054
50000	-37995.32754247116	-1933.1710612474399	-36062.15648122372	1583.5678383218046	-5.647444914674679	10776.107037957732	179.9604200477723	1.5651640309834285E-5	1.5651640309834278E-5	-36062.15648122372	0.0	-1937.4123063578284
51000	-37790.23195919637	-1974.4345560412057	-35815.797403155164	1580.321101297013	-2.4007078898830514	11409.73556631271	197.4691130159532	1.3818224728670638E-5	1.3818224728670637E-5	-35815.797403155164	0.0	-1978.6848188615916
52000	-37680.051210107704	-1987.1404518427041	-35692.910758265	1579.3261749550406	-1.405781547910692	11660.408622645078	198.632175904462	1.3608109888346606E-5	1.3608109888346604E-5	-35692.910758265	0.0	-1991.4023555916754
53000	-37413.62305137179	-1997.323056195321	-35416.299995176465	1578.9570906465008	-1.0366972393708238	11849.840009621648	212.10620835849784	1.2947534613031645E-5	1.2947534613031658E-5	-35416.299995176465	0.0	-2001.5575153119232
54000	-37159.73788349332	-2008.6611078147225	-35151.07677567859	1580.334552603553	-2.414159196423043	12108.096385693016	233.07391051037146	1.2709618008950906E-5	1.2709618008950913E-5	-35151.07677567859	0.0	-2012.8208885552713
55000	-36983.63975913333	-2018.2210439516505	-34965.41871518168	1581.359367058911	-3.438973651780998	12273.276016172023	221.38941458835524	1.2388073318911427E-5	1.2388073318911417E-5	-34965.41871518168	0.0	-2022.4536914943972
56000	-36807.29581842031	-2039.8606865234133	-34767.4351318969	1584.9882830087142	-7.067889601584284	12774.567560535426	253.42061524846386	1.2331390590512005E-5	1.2331390590512004E-5	-34767.4351318969	0.0	-2043.9750297942037
57000	-36517.46138285664	-2065.4099837699373	-34452.051399086704	1588.36943698531	-10.449043578179953	13278.839202325787	274.08727886913397	1.0804026002597486E-5	1.0804026002597474E-5	-34452.051399086704	0.0	-2069.5454666738256
58000	-36299.556538979494	-2072.2338207637736	-34227.32271821572	1585.7461875638521	-7.825794156722168	13444.397763607598	312.9420428118412	1.067666885815218E-5	1.0676668858152187E-5	-34227.32271821572	0.0	-2076.2487801577113
59000	-36235.0048003815	-2077.310619953287	-34157.69418042822	1594.3822350714993	-16.46184166436933	13581.384595845844	289.50413905803737	1.0695393256197004E-5	1.0695393256197006E-5	-34157.69418042822	0.0	-2081.405903567172
60000	-36120.78726976336	-2085.796306565045	-34034.99096319831	1585.94531079366	-8.024917386529978	13788.388112214734	308.6589480425278	1.0632880692802718E-5	1.063288069280271E-5	-34034.99096319831	0.0	-2089.836665137871
61000	-36045.87669082434	-2098.593801037048	-33947.2828897873	1585.1476752260153	-7.227281818885331	13964.65923699966	357.17638563962726	9.872253124043242E-6	9.872253124043247E-6	-33947.2828897873	0.0	-2102.540377469865
62000	-35689.144199017275	-2107.7073920497724	-33581.436806967504	1586.818827096359	-8.898433689229023	14187.967577241485	350.31608478259267	9.763172733721118E-6	9.763172733721127E-6	-33581.436806967504	0.0	-2111.6861930152754
63000	-35590.248926920205	-2126.9140055571415	-33463.334921363064	1586.0523248701834	-8.131931463053434	14616.456737775588	345.01197185269706	9.868615476523782E-6	9.868615476523773E-6	-33463.334921363064	0.0	-2130.911844474115
64000	-35338.553677099066	-2135.290396139924	-33203.263280959145	1584.9241220191382	-7.003728612008217	14797.955652371807	362.26475622235216	9.192859191552753E-6	9.192859191552744E-6	-33203.263280959145	0.0	-2139.2892842934575
65000	-35274.36847120475	-2143.3290744014903	-33131.03939680326	1580.8616636847228	-2.941270277592821	14995.278547980452	347.1177052614347	9.411726204049334E-6	9.411726204049342E-6	-33131.03939680326	0.0	-2147.3604364941957
66000	-35098.45506662788	-2145.013853026777	-32953.4412136011	1584.7543576895257	-6.833964282395755	15130.865844670989	348.94959278628494	8.778454121033368E-6	8.778454121033371E-6	-32953.4412136011	0.0	-2149.0875861268373
67000	-34857.780306415974	-2149.416043563794	-32708.36426285218	1580.9783093269807	-3.057915919850757	15207.656391226881	387.4203635425262	8.87312353002793E-6	8.873123530027927E-6	-32708.36426285218	0.0	-2153.380247876964
68000	-34658.431265292995	-2157.9334271052853	-32500.497838187708	1591.268251572516	-13.347858165386015	15391.759378319543	345.9122914454268	8.264383597599258E-6	8.264383597599251E-6	-32500.497838187708	0.0	-2162.060244983233
69000	-34533.687624020065	-2164.671103053326	-32369.01652096674	1583.8878051730544	-5.967411765924453	15566.581116559895	352.4335013990545	8.707296951619083E-6	8.707296951619088E-6	-32369.01652096674	0.0	-2168.750448716676
70000	-34510.78401904833	-2172.4438978492394	-32338.340121199097	1588.1347470971036	-10.214353689973677	15757.298647779864	424.9279002009083	8.391658177607106E-6	8.391658177607108E-6	-32338.340121199097	0.0	-2176.3640492157024
71000	-34373.34183843895	-2178.7034467423437	-32194.638391696608	1582.686280005946	-4.765886598815996	15884.942025354234	368.997707775982	8.087553611457589E-6	8.087553611457596E-6	-32194.638391696608	0.0	-2182.7909766302932
72000	-34320.564468679244	-2185.9192924193067	-32134.645176259935	1584.1833607589294	-6.262967351799489	16081.965263677843	389.5091484222662	8.061342927037647E-6	8.061342927037644E-6	-32134.645176259935	0.0	-2189.9593399629325
73000	-34230.639022360316	-2185.3114675095594	-32045.32755485076	1586.6685562307887	-8.748162823658731	15999.38719354524	396.5319583057832	7.926338359465886E-6	7.926338359465881E-6	-32045.32755485076	0.0	-2189.3423419085443
74000	-34132.35125617738	-2194.5855608768875	-31937.76569530049	1599.847282007201	-21.926888600071152	16282.274884707012	427.98575465055666	7.541628296011407E-6	7.5416282960114045E-6	-31937.76569530049	0.0	-2198.5777635622826
75000	-33955.6339258722	-2203.8465808536876	-31751.787345018514	1601.8348419441593	-23.91444853702933	16498.479274129193	441.5540392311103	7.277022748890158E-6	7.277022748890158E-6	-31751.787345018514	0.0	-2207.834761806508
76000	-33816.53546377886	-2204.959021160224	-31611.57644261864	1590.561962281638	-12.641568874508039	16496.21378771741	420.5338317095003	7.499851844935905E-6	7.499851844935913E-6	-31611.57644261864	0.0	-2208.9771688547007
77000	-33670.29292462586	-2211.076087137715	-31459.21683748814	1589.1433121951209	-11.22291878799092	16675.159550258755	449.95574179460505	7.454724823629399E-6	7.454724823629386E-6	-31459.21683748814	0.0	-2215.0344332231293
78000	-33350.93163673545	-2251.580123273651	-31099.3515134618	1587.1087656418617	-9.188372234731787	17623.203971802694	524.5194056137036	7.177981936253953E-6	7.177981936253964E-6	-31099.3515134618	0.0	-2255.4295088664885
79000	-33282.11709805149	-2257.4616431396707	-31024.65545491182	1603.2544431739836	-25.334049766853695	17825.67242551026	501.0723681373441	6.460794968297996E-6	6.460794968298E-6	-31024.65545491182	0.0	-2261.426436221978
80000	-33199.527798472016	-2264.390837604443	-30935.13696086757	1585.8262076913886	-7.905814284258668	17976.527360535623	522.997759849204	6.536764385676684E-6	6.536764385676687E-6	-30935.13696086757	0.0	-2268.3088323606808
81000	-33096.837078960125	-2273.679750749846	-30823.157328210276	1588.1519895524707	-10.231596145340745	18220.093936749625	567.1710935807243	6.227931077002197E-6	6.227931077002196E-6	-30823.157328210276	0.0	-2277.551624655712
82000	-32995.52332826114	-2275.8626726212324	-30719.660655639902	1585.8372345868988	-7.9168411797688805	18372.38519964064	548.5570326166402	5.9982792410360576E-6	5.998279241036066E-6	-30719.660655639902	0.0	-2279.794134695473
83000	-32981.34902968399	-2280.1098869640123	-30701.239142719976	1582.2328895821543	-4.312496175024307	18497.340118694112	520.9332735560452	6.4124143560415256E-6	6.412414356041525E-6	-30701.239142719976	0.0	-2284.054615915361
84000	-32830.789011408524	-2287.53198294644	-30543.25702846208	1582.8803061034607	-4.959912696330775	18658.28868753054	494.10127878807685	6.373916143162451E-6	6.373916143162457E-6	-30543.25702846208	0.0	-2291.5366222511534
85000	-32638.79850869911	-2301.3500662745537	-30337.448442424557	1579.3348617600163	-1.414468352886388	19172.347158033703	569.3442948768069	6.01951675309556E-6	6.01951675309557E-6	-30337.448442424557	0.0	-2305.258671649488
86000	-32602.50492105689	-2316.63446414087	-30285.87045691602	1583.2891920446336	-5.368798637503687	19509.368919473924	569.1628445977533	5.807035873879135E-6	5.807035873879133E-6	-30285.87045691602	0.0	-2320.5721861954494
87000	-32511.710892532712	-2317.683123085852	-30194.02776944686	1583.3110156641098	-5.390622256979896	19605.91093735492	669.1924121072273	5.621723469828761E-6	5.621723469828754E-6	-30194.02776944686	0.0	-2321.4806968289936
88000	-32248.46675420952	-2330.7259585796714	-29917.74079562985	1579.2921738685257	-1.3717804613957014	19970.978543334564	634.4183147626064	5.480764726820659E-6	5.480764726820657E-6	-29917.74079562985	0.0	-2334.599579534633
89000	-32143.30531885456	-2351.6006176720407	-29791.70470118252	1580.9291851868827	-3.0087917797527552	20467.843756098428	651.6120861380031	5.222433640017665E-6	5.222433640017661E-6	-29791.70470118252	0.0	-2355.4864900416383
90000	-32099.97177525483	-2355.6186799718635	-29744.353095282968	1578.7904196486247	-0.8700262414947701	20542.365526468388	745.8409140827839	5.1999436129596834E-6	5.199943612959682E-6	-29744.353095282968	0.0	-2359.3735372708566
91000	-32011.294052668938	-2362.1525969515938	-29649.141455717345	1579.4975770366227	-1.5771836294927652	20738.487524517233	782.9558901631862	5.093204214274077E-6	5.093204214274078E-6	-29649.141455717345	0.0	-2365.8752052803256
92000	-31972.43537482986	-2368.949779442517	-29603.485595387345	1579.2960958553717	-1.375702448241782	21049.80533710551	690.8914335925689	5.072150115161749E-6	5.072150115161748E-6	-29603.485595387345	0.0	-2372.805860198458
93000	-31863.10012149022	-2364.1762660484533	-29498.923855441768	1581.6034813673746	-3.6830879602446203	20958.392222176597	755.9290676294703	4.924503954897103E-6	4.92450395489711E-6	-29498.923855441768	0.0	-2367.9585345926453
94000	-31777.112288262382	-2357.5904741824083	-29419.521814079973	1579.7893882669894	-1.8689948598594128	20777.85201650543	714.2686800621101	5.049931980805367E-6	5.049931980805377E-6	-29419.521814079973	0.0	-2361.4108126436386
95000	-31730.69644137017	-2370.390637558353	-29360.305803811818	1580.5784920075398	-2.6580986004098577	21135.516333293635	746.2264458667323	4.977664415674827E-6	4.977664415674824E-6	-29360.305803811818	0.0	-2374.182667963362
96000	-31718.393590118132	-2374.5652952277846	-29343.828294890347	1580.346933285277	-2.4265398781469685	21245.147058193827	727.7725355025664	5.152496056962876E-6	5.152496056962878E-6	-29343.828294890347	0.0	-2378.363432732277
97000	-31671.632357239545	-2374.6051701708016	-29297.027187068743	1578.9214884542027	-1.0010950470727948	21242.226486429474	751.9855849129106	5.098575449860926E-6	5.098575449860933E-6	-29297.027187068743	0.0	-2378.3769308165724
98000	-31564.466031658885	-2390.1728375629637	-29174.29319409592	1578.5560919480656	-0.6356985409356639	21579.90846790731	706.9160473031176	4.644824467829762E-6	4.64482446782976E-6	-29174.29319409592	0.0	-2394.0689633059023
99000	-31395.21691869893	-2388.506996606292	-29006.70992209264	1579.0196940897065	-1.0993006825765406	21454.742677293605	863.0449881091607	4.515981721382188E-6	4.515981721382179E-6	-29006.70992209264	0.0	-2392.2180700994604
100000	-31242.04474541707	-2395.4125972182514	-28846.63214819882	1578.8039790762223	-0.8835856690923265	21855.760134758144	847.7345527814527	4.71147419651662E-6	4.7114741965166246E-6	-28846.63214819882	0.0	-2399.1235566127725
101000	-31224.118335740186	-2402.8017222792637	-28821.316613460924	1583.6614111636025	-5.741017756472502	22183.870479152178	821.3513803689631	4.601155815737258E-6	4.601155815737258E-6	-28821.316613460924	0.0	-2406.5644967683525
102000	-31142.47454161606	-2417.377085595911	-28725.097456020147	1606.4239550664884	-28.50356165935841	22784.395307376384	835.4167488480304	4.334708754465308E-6	4.334708754465304E-6	-28725.097456020147	0.0	-2421.1693698839026
