# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jun 10 18:29:47 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_8.33333333333333e-05_179_5.33.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-83765.79760477094	-588.135961549482	-83177.66164322145	583.3627126673526	100.9378494376034	587.0569350890759	1.0	1.0	1.0	-83177.66164322145	0.0	-3.694222421723225
1000	-83238.62448429862	-60.9691347467956	-83177.65534955183	582.226305185034	102.07425691992205	582.6070096544752	0.39803917528895116	0.1172349239397693	0.11723492393976928	-83177.65534955183	0.0	2.728369643308252
2000	-72448.08664615414	-1.671662602771677	-72446.41498355137	582.1716772197703	102.1288848851857	582.7258620493242	0.579842468772716	0.014046227805135302	0.0140462278051353	-72446.41498355137	0.0	1.2242445989514454
3000	-23347.307755685502	13.949451513562648	-23361.257207199065	582.1432622577155	102.15729984724055	582.412938601579	0.11759887753630413	9.474728097213392E-4	9.474728097213391E-4	-23361.257207199065	0.0	6.268715076046664
4000	-18687.224117332076	15.584216950177307	-18702.808334282254	582.1276920975728	102.17287000738327	582.3909060304652	0.03162511210375964	2.4027369728494606E-4	2.4027369728494609E-4	-18702.808334282254	0.0	5.492274441614647
5000	-17803.54538610516	-7.735491268747921	-17795.809894836413	582.1432380247292	102.15732408022689	589.7340030645788	0.38703098408569175	1.0598661808606743E-4	1.0598661808606743E-4	-17795.809894836413	0.0	-15.815807594833657
6000	-17265.37499455383	-16.745166893560626	-17248.62982766027	582.8176235598186	101.48293854513747	660.3233644198278	4.496717269084033	2.2609395018695166E-5	2.2609395018695166E-5	-17248.62982766027	0.0	-23.24946214925675
7000	-17100.324357278434	-32.52763005325453	-17067.79672722518	584.0095603594988	100.29100174545727	915.9136827145892	11.662517859550455	4.832039339231435E-6	4.832039339231434E-6	-17067.79672722518	0.0	-39.02454132353522
8000	-17084.58416085921	-17.7991425050455	-17066.785018354163	583.3805352134257	100.92002689153037	962.6335683522954	90.94388872366288	3.157217026883299E-6	3.157217026883299E-6	-17066.785018354163	0.0	-22.481241827605842
9000	-17082.181757966817	-20.23645505270695	-17061.94530291411	641.1775826861615	43.12297941879456	1178.0516648727225	177.6457938909602	3.245423522547078E-6	3.2454235225470785E-6	-17061.94530291411	0.0	-24.335416148542
10000	-17077.840536028394	-20.457628266553677	-17057.38290776184	651.1537751358718	33.146786969084246	1215.4395966899144	178.5407248730757	3.1097712657877755E-6	3.1097712657877755E-6	-17057.38290776184	0.0	-24.588578099144556
11000	-17077.327126027314	-21.16530857935152	-17056.161817447963	788.6142995999762	-104.31373749502018	1506.1804638671506	150.6251481367552	2.2108936900339665E-6	2.2108936900339657E-6	-17056.161817447963	0.0	-25.744542329154598
12000	-17078.23486571635	-22.595729495873954	-17055.639136220474	941.892108294725	-257.5915461897689	1892.31695556708	264.1611934013215	2.1919140336427478E-6	2.191914033642748E-6	-17055.639136220474	0.0	-26.73080359275665
13000	-17083.499432928915	-26.458102741580362	-17057.041330187334	1073.508770144056	-389.2082080390999	2695.7447979241774	765.5242841796627	1.1968814493321535E-6	1.1968814493321532E-6	-17057.041330187334	0.0	-30.00956086591158
14000	-17080.96130305661	-26.00742406443262	-17054.95387899218	839.9113382140619	-155.6107761091058	1729.40635872815	1004.1113683773871	2.0688514873419774E-6	2.0688514873419774E-6	-17054.95387899218	0.0	-28.791648230352102
