# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jun 11 23:37:51 BST 2023 [seed=1234]
# -seed 1234 simsampledtips_perGen_24_8.33333333333333e-06_124_124.34.fasta.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2019334.7003264197	-2569.0976506444877	-2016765.602675775	2296.285403299689	237.5208903445514	2432.32645369787	1.0	1.0	1.0	-2016765.602675775	0.0	-140.0971337370437
1000	-1721667.4143800738	-626.127783711424	-1721041.2865963622	2295.1796780645905	238.62661557964975	2383.5455718551198	0.7785809550892628	0.228939580355877	0.22893958035587705	-1721041.2865963622	0.0	-84.74309886628231
2000	-862185.5626799017	-127.30490427778747	-862058.2577756239	2294.8533259879605	238.95296765627972	2353.111863705608	0.49533447277191806	0.042728145233350646	0.04272814523335065	-862058.2577756239	0.0	-32.34915159687481
3000	-391560.7516170708	-14.958018980577457	-391545.79359809024	2294.797795065149	239.00849857909134	2334.841215252978	0.3722245060666577	0.014919130607250248	0.014919130607250253	-391545.79359809024	0.0	13.479483843093128
4000	-89002.74051680493	56.01526751182247	-89058.75578431676	2294.781456444368	239.0248371998723	2323.8778666277294	0.2358269811139054	0.0025245872135319565	0.0025245872135319556	-89058.75578431676	0.0	54.143472792476466
5000	-63510.030128785664	88.39195310946646	-63598.42208189513	2294.801244055561	239.0050495886794	2317.6328194207726	0.19114476857969634	0.0015814915092856186	0.0015814915092856189	-63598.42208189513	0.0	83.87606624492395
6000	-28411.602843632598	15.141817595963968	-28426.74466122856	2294.779766155395	239.0265274888452	2334.357141465717	0.23280871513922333	2.7660278505877025E-4	2.766027850587702E-4	-28426.74466122856	0.0	6.928124153903491
7000	-22202.688213254656	-177.20562897982077	-22025.482584274836	2294.912126488138	238.8941671561024	2490.039361067771	1.3697221155282213	3.370704428121916E-5	3.3707044281219155E-5	-22025.482584274836	0.0	-185.29365304117846
8000	-21758.095540697115	-320.87190320541083	-21437.223637491705	2294.9149132805414	238.89138036369877	2915.1050688084283	5.601222980996286	1.1201342875304998E-5	1.1201342875305E-5	-21437.223637491705	0.0	-328.2324692225389
9000	-21608.18253316128	-388.9170695282049	-21219.265463633077	2300.47948158569	233.32681205855033	3324.5350859002256	9.743815232424797	1.1001899009232393E-5	1.1001899009232393E-5	-21219.265463633077	0.0	-395.7947595286187
10000	-21494.957192313374	-442.99974907340436	-21051.957443239968	2297.7510173211917	236.05527632304847	3704.8555365227394	15.72570570549795	8.869298621267096E-6	8.869298621267097E-6	-21051.957443239968	0.0	-449.5643851725684
11000	-21349.792639318293	-481.3399443099945	-20868.452695008298	2298.6604908077934	235.14580283644682	4093.2149422494354	17.58651768316754	7.812077022677432E-6	7.81207702267743E-6	-20868.452695008298	0.0	-487.9069331265136
12000	-21289.238762907964	-507.41270199286134	-20781.826060915104	2296.084853926427	237.72143971781315	4423.244499201166	21.897358921020988	7.2040974151291385E-6	7.204097415129132E-6	-20781.826060915104	0.0	-513.8398502152266
13000	-21250.16692212144	-524.3381381163748	-20725.828784005065	2294.8661303598496	238.94016328439056	4705.7235467822375	27.48986652506261	7.0420897125886555E-6	7.042089712588652E-6	-20725.828784005065	0.0	-530.5788878095101
14000	-21236.72759635057	-553.5801249422947	-20683.147471408276	2296.320746043456	237.48554760078423	5194.785562189085	35.655716277528676	5.259906762793049E-6	5.259906762793054E-6	-20683.147471408276	0.0	-559.7619303742873
15000	-21187.323296491057	-579.0374445564495	-20608.28585193461	2296.2833222297477	237.52297141449253	5529.249399223154	29.89572322371065	5.742972299001945E-6	5.742972299001949E-6	-20608.28585193461	0.0	-585.3782803593945
16000	-21156.28395215037	-592.8654857561229	-20563.418466394247	2300.3618315819544	233.44446206228577	5942.152809351928	44.81630199136254	4.31972627354048E-6	4.319726273540477E-6	-20563.418466394247	0.0	-598.9859530290476
17000	-21052.308567163378	-600.2110502653073	-20452.09751689807	2297.0003924369535	236.80590120728675	6053.3340412619145	53.85079870519118	4.879680159791204E-6	4.879680159791204E-6	-20452.09751689807	0.0	-606.0923274336969
18000	-21044.64389197467	-613.5064441608656	-20431.137447813802	2302.543869419427	231.262424224813	6327.234575175109	58.92283522239406	4.7730230341373915E-6	4.7730230341373915E-6	-20431.137447813802	0.0	-619.3302250901552
19000	-20989.16207911502	-637.5837053510834	-20351.578373763936	2316.7307917798894	217.07550186435083	6832.755819644864	65.28613591892196	4.560997226305328E-6	4.560997226305328E-6	-20351.578373763936	0.0	-643.3651228412615
20000	-20942.577877080792	-650.6638697832634	-20291.914007297528	2297.0489090493816	236.75738459485865	7085.082109992107	80.0031161141483	4.112017501433644E-6	4.112017501433643E-6	-20291.914007297528	0.0	-656.3139770308544
21000	-20886.441936816238	-662.6330822119022	-20223.808854604336	2296.4627196024576	237.34357404178263	7451.819426511343	88.64245035810522	3.580278357548859E-6	3.5802783575488545E-6	-20223.808854604336	0.0	-668.2775685680975
22000	-20816.179466986363	-669.2494697883097	-20146.929997198054	2296.5219166378206	237.28437700641962	7646.163644269914	90.07531478275925	3.4903778745324352E-6	3.490377874532435E-6	-20146.929997198054	0.0	-674.9035006290509
23000	-20813.315170263173	-671.5361264516664	-20141.779043811508	2297.961313265478	235.8449803787621	7719.02206482135	96.44009288822113	3.431400851784305E-6	3.431400851784306E-6	-20141.779043811508	0.0	-677.1353448973899
24000	-20765.395432330955	-678.8396413809055	-20086.55579095005	2301.910298895158	231.8959947490821	7904.615708067284	93.70187271239868	3.4167697394417964E-6	3.416769739441798E-6	-20086.55579095005	0.0	-684.481158565207
25000	-20689.96957302177	-698.0155693042025	-19991.95400371757	2301.2510210898076	232.55527255443258	8414.618021902155	107.39020871503872	2.9750175302297003E-6	2.975017530229698E-6	-19991.95400371757	0.0	-703.6231948835408
26000	-20670.947048721675	-706.3164458376575	-19964.63060288402	2304.0524485510327	229.75384509320747	8706.838111289824	111.6438584770616	2.8203447970628034E-6	2.8203447970628017E-6	-19964.63060288402	0.0	-711.9294683381994
27000	-20666.009847447014	-706.4366936984544	-19959.57315374856	2306.5639704800765	227.24232316416374	8772.03116605999	125.54813518877931	3.2549662592653583E-6	3.254966259265358E-6	-19959.57315374856	0.0	-711.8604130130167
28000	-20469.67483706529	-715.9220045222293	-19753.75283254306	2300.84177864284	232.9645150014003	9031.7250494992	134.34245572725166	2.7286918065517208E-6	2.728691806551721E-6	-19753.75283254306	0.0	-721.3846960650131
29000	-20442.078760400163	-715.9277917176599	-19726.150968682505	2299.850597230482	233.95569641375823	9125.053445038053	113.07360388328765	2.3959694528571323E-6	2.3959694528571336E-6	-19726.150968682505	0.0	-721.6357752881893
30000	-20374.763443598076	-731.4234369313879	-19643.340006666687	2300.631849401948	233.17444424229234	9681.147756099595	140.0453452507474	2.59457398976923E-6	2.5945739897692326E-6	-19643.340006666687	0.0	-736.9039992513509
31000	-20365.795047700405	-744.2242378047883	-19621.570809895617	2297.251134001411	236.55515964282904	10042.445503077757	167.38749721311663	2.080559513855687E-6	2.080559513855686E-6	-19621.570809895617	0.0	-749.6593923106522
32000	-20353.114900833505	-746.5109024766846	-19606.60399835682	2295.034387751362	238.7719058928783	10081.389865096235	153.8631802138439	2.21976034572457E-6	2.2197603457245706E-6	-19606.60399835682	0.0	-751.9983743648945
33000	-20340.523999124518	-761.9266502664631	-19578.597348858057	2295.270866044722	238.53542759951824	10698.24760286454	197.92643888491594	2.2666003925194935E-6	2.2666003925194944E-6	-19578.597348858057	0.0	-767.179673582991
34000	-20318.501206914956	-768.9917755925773	-19549.509431322378	2296.859451819067	236.94684182517312	10999.76454703036	191.61311174214717	1.9635723210281774E-6	1.9635723210281782E-6	-19549.509431322378	0.0	-774.3655206591892
35000	-20335.253742179008	-786.1960547741234	-19549.057687404886	2308.312111819224	225.4941818250163	11778.329341270186	203.49603409779502	1.726958709030296E-6	1.7269587090302969E-6	-19549.057687404886	0.0	-791.6092852733874
36000	-20324.17457191575	-785.40305057454	-19538.771521341212	2317.4126221503043	216.39367149393593	11677.73027344912	248.08201856740408	1.8550118039213569E-6	1.8550118039213564E-6	-19538.771521341212	0.0	-790.576793097717
37000	-20301.058535296008	-791.4442532452837	-19509.614282050723	2324.724288140728	209.0820055035124	12184.934487245619	223.56167109789263	1.7464360983737006E-6	1.7464360983736993E-6	-19509.614282050723	0.0	-796.7738652592586
38000	-20307.901111194722	-799.7117713963373	-19508.189339798384	2354.07441626688	179.73187737736043	12675.382349626161	273.3262227305697	1.6022901544489749E-6	1.6022901544489761E-6	-19508.189339798384	0.0	-804.9041775758509
39000	-20299.762885816162	-806.0338645110647	-19493.7290213051	2381.5567309467497	152.24956269749055	12888.45360372882	288.76802864074386	1.7261449808792185E-6	1.7261449808792179E-6	-19493.7290213051	0.0	-811.1404820772616
40000	-20265.290573063514	-813.1236336486501	-19452.166939414863	2418.0792003162906	115.72709332794966	13331.395592706358	253.7615389759774	1.600941172667412E-6	1.600941172667412E-6	-19452.166939414863	0.0	-818.4149289085547
41000	-20228.686261198334	-814.2678145655075	-19414.418446632826	2375.7602949393527	158.04599870488755	13373.393563937185	271.7924577783355	1.5865417473291433E-6	1.5865417473291438E-6	-19414.418446632826	0.0	-819.4966816079012
42000	-20224.163822129703	-818.505346319035	-19405.65847581067	2375.283381774339	158.52291186990124	13519.32653187143	268.3201734983985	1.5235111969722067E-6	1.5235111969722086E-6	-19405.65847581067	0.0	-823.7733877984228
43000	-20219.82625680295	-819.421178569772	-19400.405078233176	2375.502192894568	158.30410074967222	13721.378972506092	300.8481693954333	1.6384730461424514E-6	1.6384730461424495E-6	-19400.405078233176	0.0	-824.5439539122316
44000	-20205.99886590037	-827.2454027332828	-19378.753463167086	2379.8296712445176	153.9766223997226	14107.327355589867	299.7088704466498	1.3673025290780026E-6	1.3673025290780028E-6	-19378.753463167086	0.0	-832.4794973983287
45000	-20203.71654379623	-837.4640676264448	-19366.252476169782	2410.5175571086543	123.28873653558594	14785.229044066822	359.73330393311204	1.3997267059874144E-6	1.3997267059874135E-6	-19366.252476169782	0.0	-842.5259532061992
46000	-20184.343862751488	-850.7877839873935	-19333.556078764093	2420.2169302260354	113.58936341820481	15362.366652631801	403.88761138241756	1.3864581774513764E-6	1.3864581774513754E-6	-19333.556078764093	0.0	-855.7572002211188
47000	-20160.3180498388	-858.5081800879153	-19301.809869750883	2347.515290511292	186.2910031329484	15706.773524653197	415.43400361939126	1.3022701510107652E-6	1.302270151010765E-6	-19301.809869750883	0.0	-863.4926613567621
48000	-20058.985392147744	-861.2837706722769	-19197.701621475466	2356.1680477655204	177.63824587871977	15895.442324725882	386.2271349628663	1.2292743191378999E-6	1.2292743191378992E-6	-19197.701621475466	0.0	-866.3768773653711
49000	-20028.959575450463	-863.2651144836113	-19165.69446096685	2409.4345769764545	124.37171666778568	16212.948851404346	375.19269993199856	1.3984728276808295E-6	1.3984728276808314E-6	-19165.69446096685	0.0	-868.3294840457336
50000	-20021.470662961146	-863.678749012683	-19157.791913948462	2424.1373680416314	109.66892560260885	16306.992667490043	409.6103351237393	1.1080585123967404E-6	1.1080585123967397E-6	-19157.791913948462	0.0	-868.7792338894988
51000	-19991.80036515923	-860.4459744061224	-19131.354390753106	2417.7396770075457	116.06661663669456	16001.885300441976	360.29099139583906	1.3025306384829506E-6	1.3025306384829496E-6	-19131.354390753106	0.0	-865.5816861861173
52000	-19966.62075856603	-853.923065964158	-19112.697692601872	2436.6567674193993	97.14952622484088	15646.619616707532	451.11897246856813	1.1537230250730662E-6	1.1537230250730664E-6	-19112.697692601872	0.0	-858.8861813568285
53000	-19963.253945441535	-853.2758344879759	-19109.978110953558	2384.990568507765	148.81572513647507	15471.749396316958	342.49174210955664	1.1359223896911132E-6	1.135922389691113E-6	-19109.978110953558	0.0	-858.5170655813604
54000	-19968.056607831622	-861.6923300114189	-19106.364277820205	2354.613460193237	179.19283345100303	15888.174068277054	421.39541829955414	1.261266770959903E-6	1.2612667709599029E-6	-19106.364277820205	0.0	-866.6847163689876
55000	-19920.933493948603	-856.0497076091459	-19064.88378633946	2351.4350368800488	182.37125676419146	15576.662505001634	404.1067048803477	1.193812141026879E-6	1.1938121410268791E-6	-19064.88378633946	0.0	-861.1030120788631
56000	-19912.96801289353	-860.6126483655744	-19052.355364527953	2331.112585378977	202.693708265263	15854.872203426788	430.0301013698592	1.0861696860582822E-6	1.0861696860582827E-6	-19052.355364527953	0.0	-865.6612497449701
57000	-19900.92742350547	-872.2402352039013	-19028.687188301566	2334.586665606183	199.21962803805718	16361.360111281248	529.6057516537072	1.1052610913925805E-6	1.1052610913925812E-6	-19028.687188301566	0.0	-877.0867071774114
58000	-19909.604888225633	-870.1146592473024	-19039.49022897833	2343.494732369404	190.3115612748361	16398.32103358549	474.81683262318614	1.1383406998814323E-6	1.1383406998814321E-6	-19039.49022897833	0.0	-875.0561348714384
59000	-19822.212130434596	-874.1139806935181	-18948.09814974108	2360.1304963221933	173.67579732204695	16855.873421046195	494.0056458942588	1.054088468516574E-6	1.0540884685165727E-6	-18948.09814974108	0.0	-879.0689455334556
60000	-19798.514886631074	-875.555523491889	-18922.959363139184	2375.4558736170507	158.35042002718956	17007.574909582017	481.57299893167936	9.891604705244557E-7	9.891604705244552E-7	-18922.959363139184	0.0	-880.5731891860257
61000	-19795.304936775326	-897.2474449295695	-18898.057491845757	2321.104979195033	212.70131444920708	18146.091692150436	684.1617877682761	7.909053502777666E-7	7.909053502777663E-7	-18898.057491845757	0.0	-902.0606827328647
62000	-19774.315958765	-902.2087893032087	-18872.107169461793	2350.0655670296137	183.7407266146265	18804.686003419192	586.2743909692366	8.827113432651462E-7	8.827113432651468E-7	-18872.107169461793	0.0	-907.1371018105017
63000	-19778.138567593847	-901.9942951580603	-18876.144272435788	2543.601970498307	-9.795676854066642	19111.888300868486	563.450587162279	9.680421036240401E-7	9.68042103624039E-7	-18876.144272435788	0.0	-906.9223775119468
64000	-19739.92611238635	-914.0559557364638	-18825.870156649886	2502.8249944634576	30.98129918078257	19845.51345351014	582.2921004251098	8.62781748858646E-7	8.627817488586469E-7	-18825.870156649886	0.0	-919.0289148912125
