"","AncId","Desc","Branch.Length"
"1","151","37244_2119.73941351427",11.2906815147
"2","151","37942_2148.91084162002",40.4621096205
"3","152","48017_2502.58451272461",39.4552222362
"4","152","47228_2475.266893833",12.1376033446
"5","153","152",51.0323878264
"6","153","45536_2423.6517708182",11.5548681562
"7","154","46269_2444.76903027884",13.7477064425
"8","154","46358_2448.09801426453",17.0766904282
"9","155","154",14.1465905568
"10","155","48494_2519.107282407",102.2325491275
"11","156","45337_2417.23587598812",21.9676275846
"12","156","155",21.606484876
"13","157","156",24.0890274948
"14","157","44741_2397.63768370721",26.4584627985
"15","158","153",65.9817521303
"16","158","157",25.064070377
"17","159","158",198.8132646285
"18","159","38424_2166.68041206292",19.3785261597
"19","160","151",12.0272147905
"20","160","159",50.8803686942
"21","161","160",40.2468282819
"22","161","36979_2110.44817844374",54.2734895165
"23","162","35611_2059.90111965301",146.2692657465
"24","162","161",142.5428350207
"25","163","41498_2280.04160380687",11.7804127132
"26","163","41499_2280.04160380687",11.7804127132
"27","164","43555_2354.88403658012",99.7623015128
"28","164","163",13.1394560264
"29","165","42103_2303.7112410955",67.6609177408
"30","165","164",19.0714117126
"31","166","39331_2199.12423393058",10.8567075941
"32","166","40962_2261.43180145797",73.1642751215
"33","167","165",66.1640337952
"34","167","166",18.381236777
"35","168","37708_2138.40093182218",23.5516439063
"36","168","167",55.0370016436
"37","169","168",54.8928854332
"38","169","36025_2075.94899467376",15.9925921911
"39","170","38621_2174.61463936514",36.5574640529
"40","170","37892_2145.96208038664",7.9049050744
"41","171","43196_2343.14976996448",12.518429241
"42","171","44154_2376.33784496519",45.7065042417
"43","172","171",9.0382844358
"44","172","43192_2343.14976996448",21.5567136767
"45","173","42570_2320.24375654438",18.5067125473
"46","173","172",19.8560122907
"47","174","43950_2368.66198259052",34.2828290236
"48","174","43193_2343.14976996448",8.7706163976
"49","175","42991_2336.10560945246",16.1059649986
"50","175","174",14.3795091131
"51","176","175",6.5556246569
"52","176","43116_2340.08602604707",26.6420062501
"53","177","42217_2308.08919594823",19.4904943142
"54","177","176",24.845318163
"55","178","173",24.8604077809
"56","178","177",11.7220654178
"57","179","41641_2285.04920865465",36.0561945365
"58","179","178",27.883622098
"59","180","38620_2174.61463936514",13.5464087223
"60","180","179",87.9247834753
"61","181","170",11.7424365465
"62","181","180",34.7534918772
"63","182","43445_2351.74306647746",140.2220513087
"64","182","39859_2220.04467900904",8.5236638403
"65","183","181",12.7668881154
"66","183","182",97.9731645185
"67","184","183",49.343574162
"68","184","38122_2155.61645603416",91.4121795458
"69","185","38277_2161.25976153545",74.429973243
"70","185","38352_2163.6902682223",76.8604799298
"71","186","184",34.256592104
"72","186","185",56.8821039082
"73","187","186",37.1711774741
"74","187","36101_2078.84475912493",86.0682522148
"75","188","187",31.5650276837
"76","188","35675_2061.93937182151",100.727892595
"77","189","41325_2274.03331569595",9.5461137608
"78","189","41940_2297.50357621117",33.016374276
"79","190","44931_2404.55929688333",15.8429306322
"80","190","44754_2398.27104554005",9.554679289
"81","191","44690_2395.81697481177",12.4815738489
"82","191","47037_2469.28734715862",85.9519461957
"83","192","44107_2374.91279709141",21.6560093602
