# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Nov 29 11:53:19 GMT 2022 [seed=1669722787991]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2276297.3818457946	-862.873674595394	-2275434.5081711994	483.7454928491797	2053.57868554206	661.0738719931189	1.0	2.0	1.0	1.0	-2275434.5081711994	0.0	-202.6090104211561
1000	-717281.414819906	-201.56879289031934	-717079.8460270157	483.63222543977685	2053.691952951463	601.1180957351364	0.922384247219194	4.130468934335184	0.1177911940407882	0.11779119404078818	-717079.8460270157	0.0	-131.92313032574214
2000	-116845.37360974374	-75.82110227676	-116769.55250746697	483.5876675049723	2053.7365108862678	561.2668673191328	0.49422582154964617	10.61038946402941	0.014563253852611726	0.014563253852611733	-116769.55250746697	0.0	-68.96196850398653
3000	-33525.690479485944	-44.19986454522235	-33481.49061494072	483.58606878216244	2053.7381096090776	552.9956866035437	0.5110051118440959	7.974814905589658	0.0015225641249304032	0.001522564124930404	-33481.49061494072	0.0	-46.269201214261585
4000	-27787.011024964668	-73.84546923264419	-27713.165555732023	483.590074954545	2053.734103436695	570.5057865218815	0.6308405990381007	3.218497189366653	6.139079426583994E-4	6.139079426583993E-4	-27713.165555732023	0.0	-77.93453586003542
5000	-25487.659518078366	-127.91090678914412	-25359.748611289222	483.6015602834841	2053.722618107756	607.5962201018508	0.8064251169609931	1.579939920153708	2.2284599420038673E-4	2.2284599420038678E-4	-25359.748611289222	0.0	-133.1338695840459
6000	-24791.654333206465	-246.20240085178995	-24545.451932354674	483.5897168147969	2053.734461576443	733.38780913593	1.4209632277728805	1.8393349834040178	8.640484765782378E-5	8.640484765782373E-5	-24545.451932354674	0.0	-251.39209635776388
7000	-24467.706779924298	-295.9997245245576	-24171.70705539974	483.60424593147604	2053.719932459764	826.0848884148812	2.4639569098734864	1.5418527753204738	7.444678806415102E-5	7.444678806415103E-5	-24171.70705539974	0.0	-300.8972045210924
8000	-23798.4187197741	-326.2234937140803	-23472.19522606002	483.97149795249715	2053.352680438743	890.2268305187449	3.3292393061131023	1.460068806404883	6.148692514905269E-5	6.148692514905272E-5	-23472.19522606002	0.0	-330.99355266470377
9000	-23585.145571702997	-386.62246510501063	-23198.523106597986	483.99184776908464	2053.3323306221555	1038.2703749733125	5.129663240102609	1.4684345773042513	5.2376980868576406E-5	5.237698086857637E-5	-23198.523106597986	0.0	-391.1142288126474
