AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
101, 10761_634.322784184058, 13909_790.870226047727, 88.8378491361, 245.3852909998
102, 13727_781.157677749283,   101, 287.4191681616, 51.7464254603
103, 3610_230.538046864592, 10378_614.164507720091, 25.8231777377, 409.4496385932
104, 9340_558.077650307765, 11080_651.568958962468, 203.2137048719, 296.7050135266
105,   104, 5677_355.34701640688, 48.2316331459, 48.7147041169
106,   103,   105, 136.5146821136, 238.4321252767
107,   106, 8974_536.753163042792, 64.7280402287, 533.2810162582
108,   102,   107, 520.6490982433, 30.3827354402
109, 25176_1657.85706632753, 25820_1723.11003714058, 109.6214794675, 174.8744502806
110, 23368_1464.75146081221,   109, 83.6007359218, 167.0848619696
111, 24221_1556.00919062056,   110, 334.9699859902, 160.1115202601
112,   111, 16209_916.151416922187, 383.6929389799, 78.8051512717
113,   112, 4135_264.922260490461, 609.0918272984, 36.6678221384
114,   113, 17879_1043.48932104952, 34.0427017437, 849.2775844411
115,   108,   114, 98.5766142880, 319.6989395520
116, 275 1, 2290_141.788918184813, 62.4523823883, 203.2413005731
117,   116, 1851_110.730253014389, 18.5355445295, 190.7181799321
118, 7635_462.804130469592, 10550_622.238079037975, 41.0360027811, 200.4699513495
119,   118, 11942_690.265792459078, 43.7579403592, 312.2556051298
120,   119, 6967_422.444219259692, 97.4781234365, 141.9121553669
121,   120, 1885_113.821188457594, 302.6414168915, 135.9305414564
122, 2394_147.291809935967,   121, 129.3351993942, -40.0659635405
123,   122, 526 1, 96.1583126215, 79.2017020797
124, 6047_375.302652662649, 3562_227.592594590161, 182.6802444444, 34.9701863719
125,   124, 10888_641.396221364059, 96.0407333474, 544.8145464932
126,   123,   125, -51.8552862767, 122.9280906738
127, 7372_445.101576281483, 4898_310.998801666182, 234.1829289277, 100.0801543124
128,   127, 1297_71.4466647747299, 167.2951550527, 27.8231724736
129,   128, 4877_310.008265690048, 29.4182298518, 295.8030032407
130, 28064_1973.14771451565, 28721_2057.29011729778, 90.2242014910, 174.3666042731
131, 20598_1250.7180994737,   130, 127.4742346211, 759.6796481721
132, 20862_1272.36306744616, 27688_1921.48083232707, 57.0324500889, 706.1502149698
133, 24803_1615.1923590938,   132, 577.4464922662, 177.5847505297
134, 19851_1194.56393571341, 25439_1683.85869732907, 187.7051386750, 676.9999002906
135,   133,   134, 94.8992941781, 64.0122243890
136,   135, 15125_855.689431598075, 165.6650181677, 78.5078771163
