# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 21 15:25:57 GMT 2023 [seed=1676993143250]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1609697.0006284318	-2613.8362873237666	-1607083.164341108	2427.361090901717	0.27706968132315524	2520.6594014197503	1.0	1.0	1.0	-1607083.164341108	0.0	-96.52065886785681
1000	-864860.5128067317	-191.81863387999377	-864668.6941728517	2427.0534035479577	0.5847570350824753	2490.771196945987	0.640500290618927	0.05610754540429841	0.056107545404298416	-864668.6941728517	0.0	-57.2911329343558
2000	-228675.7399691336	-30.306935169439	-228645.43303396416	2426.8097210341693	0.8284395488708469	2469.516607005456	0.4053734894156502	0.0076562804299574625	0.007656280429957464	-228645.43303396416	0.0	-18.072208348365063
3000	-46455.25259379572	-140.5950457933443	-46314.657548002375	2426.772972698714	0.8651878843261329	2549.6534221396464	0.708373724338922	4.8374928902659466E-4	4.837492890265948E-4	-46314.657548002375	0.0	-146.8728995352089
4000	-34243.86302075493	-326.67961902183276	-33917.1834017331	2427.766491896302	-0.12833131326169678	3365.3703542641983	9.791572942341903	5.3479101624379E-5	5.347910162437894E-5	-33917.1834017331	0.0	-332.6245114343071
5000	-33119.460148303275	-445.8310059029459	-32673.62914240033	2428.417779623409	-0.7796190403687433	4838.6003811040155	30.775770506059544	2.684824507264368E-5	2.6848245072643664E-5	-32673.62914240033	0.0	-451.20685076268256
6000	-32401.344159684442	-521.9802561947595	-31879.363903489684	2436.2801637798534	-8.64200319681322	6455.373299526905	90.67035681172938	2.2070644799917267E-5	2.207064479991728E-5	-31879.363903489684	0.0	-526.5051516511066
7000	-32252.977030749687	-541.7976436615102	-31711.179387088177	2432.832780413126	-5.194619830085685	6981.921591020457	78.97814075525362	2.0192382911906117E-5	2.019238291190613E-5	-31711.179387088177	0.0	-546.5457682523321
8000	-31673.983334093897	-597.7366424955655	-31076.24669159833	2445.698594748102	-18.060434165061906	8882.681303403599	165.77101372735942	1.5884015133665035E-5	1.5884015133665028E-5	-31076.24669159833	0.0	-601.9836055231808
9000	-30949.685203678666	-604.7509141458294	-30344.934289532837	2437.594578244268	-9.956417661227988	9150.81247004254	201.02748555950032	1.4519587329406492E-5	1.45195873294065E-5	-30344.934289532837	0.0	-608.8730464986736
