# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Feb 17 11:35:28 GMT 2023 [seed=1676633717672]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1646850.2802595757	-2714.9105485917203	-1644135.369710984	2512.228548601643	-0.5445393596528447	2614.6569007061435	1.0	1.0	1.0	-1644135.369710984	0.0	-103.61572702444903
1000	-1565056.5677097682	-1024.827748348799	-1564031.7399614195	2511.125386967055	0.5586222749352601	2587.717367009223	0.7357690407398629	0.36897430840192	0.36897430840192	-1564031.7399614195	0.0	-74.18877643831782
2000	-1313430.1573689098	-388.86294377638706	-1313041.2944251334	2511.160447518506	0.523561723484363	2575.8615606232684	0.6831557043783624	0.13052659494844948	0.1305265949484494	-1313041.2944251334	0.0	-57.398231552870215
3000	-701789.7929652425	-76.82454456709564	-701712.9684206754	2510.764531610853	0.9194776311373971	2548.841765589236	0.3863361604331424	0.03067829078101967	0.030678290781019663	-701712.9684206754	0.0	-4.672915361496168
4000	-203028.97972497367	10.0571547055328	-203039.03687967922	2510.6909910249465	0.9930182170437547	2541.013864793934	0.27560010596623247	0.005624940467084434	0.005624940467084434	-203039.03687967922	0.0	17.123335331441652
5000	-76066.58331257237	-129.6967518035719	-75936.8865607688	2510.691599998528	0.9924092434621343	2637.787952477115	0.896683111123517	9.433114686967982E-4	9.433114686967987E-4	-75936.8865607688	0.0	-134.16708897999732
6000	-55131.62322472878	-306.1159370687931	-54825.50728765998	2510.6906108025178	0.9933984394724575	3251.1807581805315	9.04780733803366	1.8921437544008028E-4	1.8921437544008033E-4	-54825.50728765998	0.0	-311.0555812658397
7000	-50899.787691828154	-433.4392610766822	-50466.348430751474	2510.9173655546356	0.7666436873546445	4769.191674454814	30.312768479716528	6.886438808808971E-5	6.886438808808976E-5	-50466.348430751474	0.0	-438.15355138498506
8000	-49323.6925140274	-483.94162015492793	-48839.75089387248	2511.27660380316	0.4074054388302102	5726.552755230183	50.753766273153886	5.898835870068032E-5	5.898835870068036E-5	-48839.75089387248	0.0	-488.29998916599976
9000	-47337.02615221481	-523.1913379090034	-46813.8348143058	2511.277790437113	0.406218804877426	6705.374221161125	92.4929511441706	4.589953563550202E-5	4.589953563550206E-5	-46813.8348143058	0.0	-527.1839270474253
10000	-46760.71305328083	-551.4905928460234	-46209.22246043481	2511.3477394050233	0.3362698369669488	7512.255976922028	80.16504295220656	4.038932937571395E-5	4.038932937571395E-5	-46209.22246043481	0.0	-555.7513433898099
11000	-46118.4790547904	-576.154857142402	-45542.324197648	2511.6368350959015	0.047174146088764246	8317.532929684416	112.63099351548243	3.561807723966194E-5	3.561807723966196E-5	-45542.324197648	0.0	-580.1965098522414
12000	-45820.928091881404	-606.4432933090561	-45214.484798572346	2511.555690327393	0.12831891459700273	9528.754097357421	155.21894853692092	3.225368107812257E-5	3.225368107812261E-5	-45214.484798572346	0.0	-610.2707280953196
13000	-44994.85246377353	-625.4411314145898	-44369.41133235894	2511.826199105478	-0.14218986348760154	10438.380719169485	204.8762697059673	2.7800796975630627E-5	2.780079697563063E-5	-44369.41133235894	0.0	-629.1280102417213
14000	-44840.85064336247	-637.4906681298185	-44203.359975232655	2516.507997087162	-4.823987845171814	11180.91366041334	212.9936333981231	2.6291325713678792E-5	2.6291325713678782E-5	-44203.359975232655	0.0	-641.1971973490101
15000	-44708.81024298428	-652.1640844056724	-44056.6461585786	2520.273500461202	-8.589491219211595	11916.523777190896	238.39087893273035	2.471696015509572E-5	2.4716960155095732E-5	-44056.6461585786	0.0	-655.8201186307542
16000	-43694.19870341129	-674.6978002138118	-43019.50090319748	2514.593060576839	-2.9090513348487548	13126.780479896954	395.2720225337119	2.2236461980628396E-5	2.223646198062838E-5	-43019.50090319748	0.0	-677.9520613826621
