# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Feb 17 15:12:52 GMT 2023 [seed=1676646754967]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1651679.7820515959	-2718.7184110828375	-1648961.063640513	2529.3369998107596	0.13460221304057995	2625.3577142701447	1.0	1.0	1.0	-1648961.063640513	0.0	-96.7248180887008
1000	-1396814.711684975	-549.3219801865012	-1396265.3897047886	2528.957727488183	0.5138745356171057	2599.8959875716755	0.7652282579326891	0.1872683047378622	0.18726830473786218	-1396265.3897047886	0.0	-66.90830208163908
2000	-645285.846974249	-80.87277120845697	-645204.9742030406	2528.6302701930335	0.8413318307666486	2572.5325899465156	0.4291180300917661	0.026404206684233367	0.02640420668423337	-645204.9742030406	0.0	-18.96418636496582
3000	-253461.59764419374	-25.070285447957808	-253436.52735874578	2528.5050220089643	0.9665800148359267	2570.7717043555626	0.4010438585645082	0.006380856478460092	0.0063808564784600934	-253436.52735874578	0.0	-15.46108688196584
4000	-150831.9766957057	-112.8575402191802	-150719.11915548652	2528.504801653078	0.9668003707220123	2635.757119172301	1.0554806910280612	0.0023893787033058855	0.0023893787033058863	-150719.11915548652	0.0	-112.89018088169674
5000	-97537.3992764371	-318.16840044379643	-97219.23087599331	2528.8509160344	0.6206859894000445	3394.4807851452033	10.053774302913562	2.5154658374683484E-4	2.515465837468349E-4	-97219.23087599331	0.0	-322.64311156678923
6000	-91011.14611221704	-441.9897641955009	-90569.15634802154	2529.7188698005493	-0.24726777674914047	4907.8494887548195	29.220329500145876	1.8252762944301687E-4	1.8252762944301692E-4	-90569.15634802154	0.0	-445.7003165074746
7000	-88531.16196135106	-479.06241022002376	-88052.09955113103	2531.131610387972	-1.660008364171972	5595.195885688736	41.950611391190385	1.427463142807046E-4	1.427463142807046E-4	-88052.09955113103	0.0	-482.69691125972935
8000	-83979.52419405342	-519.4614032924629	-83460.06279076096	2529.5426167181013	-0.07101469430108409	6518.822982291271	90.9382621067214	1.1035481585926275E-4	1.1035481585926279E-4	-83460.06279076096	0.0	-522.6066034513187
9000	-78406.92054643529	-582.8988627489875	-77824.0216836863	2550.1344219005514	-20.6628198767512	8752.518288523508	153.73615210620255	8.092623234998976E-5	8.092623234998981E-5	-77824.0216836863	0.0	-585.8324862785391
