# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Feb 20 08:51:31 GMT 2023 [seed=1676883066851]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1609251.731347157	-2573.09468965283	-1606678.6366575041	2396.2874863180587	0.8398900959114144	2485.9900013600113	1.0	1.0	1.0	-1606678.6366575041	0.0	-90.44153647494673
1000	-1441883.3871823738	-697.1235261007538	-1441186.263656273	2396.1862281938	0.9411482201699073	2464.081851625613	0.6453581773164192	0.25956148351756214	0.2595614835175623	-1441186.263656273	0.0	-61.98753815226224
2000	-721253.7408428335	-86.36430222327282	-721167.3765406102	2396.140206266659	0.9871701473111898	2434.6896604002313	0.5006658876790212	0.03417651788113499	0.03417651788113498	-721167.3765406102	0.0	-8.861434388038457
3000	-191757.73067135704	13.732541575863213	-191771.4632129329	2396.13244944131	0.9949269726598686	2425.4891569126644	0.3216782775744229	0.005095510868535223	0.005095510868535221	-191771.4632129329	0.0	18.993217585487905
4000	-117895.4117417241	-89.92554151225144	-117805.48620021186	2396.1363311663613	0.9910452476087812	2482.1512579035816	0.8506561436768146	0.002203442286693385	0.002203442286693386	-117805.48620021186	0.0	-91.01295450501604
5000	-77181.70894927683	-207.75564743944787	-76973.95330183738	2396.205054391997	0.9223220219732866	2685.2067717412747	3.4446581596529833	6.337727243885176E-4	6.337727243885178E-4	-76973.95330183738	0.0	-211.8743135939939
6000	-66195.40259902543	-363.1627190208847	-65832.23988000455	2396.2833868287257	0.8439895852443442	3542.974850999721	11.503742370949603	1.5091876094355008E-4	1.5091876094355024E-4	-65832.23988000455	0.0	-368.0987257371834
7000	-63035.83660828823	-451.6389282748402	-62584.197680013385	2396.3974996863017	0.7298767276683975	4948.485000183628	35.390039340293654	1.0088266397248115E-4	1.0088266397248115E-4	-62584.197680013385	0.0	-455.8551111802333
8000	-61133.32262865858	-497.5705853801475	-60635.75204327843	2402.551075341882	-5.423698927912028	5814.506263122985	63.88634173850048	8.058930557496526E-5	8.05893055749652E-5	-60635.75204327843	0.0	-501.41965569916056
9000	-59578.40426417926	-535.160634313505	-59043.243629865756	2404.6241633115346	-7.4967868975645615	6706.566284602852	97.18152932794071	7.168427195699567E-5	7.168427195699567E-5	-59043.243629865756	0.0	-538.7079741639236
