# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Feb 18 17:34:38 GMT 2023 [seed=1676741664620]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1610859.0072140035	-2688.1396557199696	-1608170.8675582835	2503.168105758996	-1.3081883775557799	2596.4052444261006	1.0	1.0	1.0	-1608170.8675582835	0.0	-95.09298793547597
1000	-1421457.1802265437	-720.2670443690414	-1420736.9131821746	2501.3105619895377	0.5493553919022816	2562.8976545132864	0.7381068263434978	0.2615458519017113	0.2615458519017113	-1420736.9131821746	0.0	-54.27811548457832
2000	-634638.7608872977	-75.72824065681036	-634563.0326466409	2501.0129132109128	0.8470041705272706	2542.0021314546098	0.4339423240908193	0.027381343461192018	0.027381343461192028	-634563.0326466409	0.0	-12.106586262630376
3000	-99567.53798718167	-45.84983675786229	-99521.68815042381	2500.9653269569258	0.8945904245142628	2557.50086714267	0.49321417124285144	0.0020037203684764924	0.0020037203684764903	-99521.68815042381	0.0	-47.889534749439285
4000	-50952.90652159406	-248.7471499393677	-50704.15937165469	2501.0559009283015	0.8040164531385017	2892.7279432178725	2.566264103309801	2.8357316781666575E-4	2.8357316781666553E-4	-50704.15937165469	0.0	-254.48103160565805
5000	-44928.84807692879	-389.76318936510677	-44539.08488756369	2501.001856498571	0.8580608828688128	3967.5447263212864	15.625974296526605	7.228223794045705E-5	7.228223794045709E-5	-44539.08488756369	0.0	-395.06552428965597
6000	-42984.78883148843	-449.0008471891659	-42535.78798429927	2500.970018266042	0.8898991153978386	4892.354108102654	40.61376395222063	5.181825079939148E-5	5.181825079939152E-5	-42535.78798429927	0.0	-453.6524605003446
7000	-40933.31129138726	-502.469682243112	-40430.84160914415	2510.2799262799654	-8.420008898525339	5961.872016750402	60.04293628310846	3.9361760718635794E-5	3.9361760718635773E-5	-40430.84160914415	0.0	-506.98551538971554
8000	-39882.71708451634	-538.5627484184198	-39344.15433609792	2506.584987443437	-4.72507006199703	6987.920854547039	86.93329709334648	3.2826583460580144E-5	3.282658346058013E-5	-39344.15433609792	0.0	-542.88395790622
9000	-38911.08374976134	-565.1873798796017	-38345.89636988174	2507.5462949952826	-5.686377613842524	7708.280331211866	122.54335526372722	2.7853024432254376E-5	2.7853024432254345E-5	-38345.89636988174	0.0	-569.3111608274104
10000	-38096.28830620089	-592.8613127140961	-37503.42699348679	2504.6534915237644	-2.79357414232436	8771.668436738157	142.4396499578763	2.4073192291672875E-5	2.407319229167286E-5	-37503.42699348679	0.0	-596.9757143095239
11000	-37367.76090881485	-610.7206971955464	-36757.04021161931	2511.9232497033345	-10.06333232189445	9560.059429144965	203.84524286072002	2.0858881598489258E-5	2.0858881598489238E-5	-36757.04021161931	0.0	-614.6030989858712
12000	-36629.029569113765	-627.6793564836462	-36001.35021263012	2520.873587158131	-19.01366977669113	10281.441894277632	215.45129414186334	1.878679443037271E-5	1.8786794430372695E-5	-36001.35021263012	0.0	-631.6013274097418
