# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Feb 16 16:35:32 GMT 2023 [seed=1676565296924]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1641067.903849409	-2714.06655516879	-1638353.8372942402	2530.1360031570985	-0.6283869600783873	2622.166166740159	1.0	1.0	1.0	-1638353.8372942402	0.0	-95.26390150389676
1000	-1510356.184417352	-1035.869783145432	-1509320.3146342067	2528.6296550938955	0.8779611031245622	2588.932188899638	0.588257854692698	0.3811839292859259	0.38118392928592587	-1509320.3146342067	0.0	-53.38040070861887
2000	-1185363.6953734257	-272.85364493717407	-1185090.8417284884	2528.523843037007	0.9837731600132429	2570.921168311012	0.41431809957356003	0.10075401821303644	0.10075401821303645	-1185090.8417284884	0.0	-19.205309392135355
3000	-475851.01059606194	-23.357473949791668	-475827.65312211215	2528.5154384642506	0.9921777327695054	2560.4019614787658	0.27774499677305153	0.016328943368000986	0.01632894336800099	-475827.65312211215	0.0	11.761129947182733
4000	-196022.39827350387	-64.42897014263485	-195957.96930336123	2528.5134357313527	0.9941804656673412	2593.358458141988	0.6630145463523632	0.004069402981815647	0.004069402981815647	-195957.96930336123	0.0	-60.39662690332284
5000	-135186.182894003	-195.3926394742079	-134990.79025452878	2528.5095467051246	0.9980694918954214	2779.009773879195	2.922656481316175	0.001827199828453009	0.0018271998284530092	-134990.79025452878	0.0	-195.78738568219887
6000	-97899.92502026792	-316.24597418066435	-97583.67904608726	2528.5101159192955	0.9975002777246118	3340.3431345982735	6.295165718907431	3.1858094596050644E-4	3.185809459605067E-4	-97583.67904608726	0.0	-320.8523889611673
7000	-90622.76667013757	-417.0546194390164	-90205.71205069855	2528.5098616241394	0.9977545728806945	4304.51509501685	21.95825120572508	1.9372706462301572E-4	1.9372706462301574E-4	-90205.71205069855	0.0	-421.01745046697374
8000	-83440.86661463264	-479.5711273172358	-82961.29548731541	2531.837794774518	-2.330178577497918	5419.425682495456	50.89579457052456	1.335383356436229E-4	1.3353833564362283E-4	-82961.29548731541	0.0	-483.1047145343716
9000	-79038.27768066264	-536.6444737456834	-78501.63320691696	2545.612770869162	-16.105154672141907	6911.937534744882	81.26137763523549	9.43175965727195E-5	9.431759657271951E-5	-78501.63320691696	0.0	-540.0774446514484
10000	-76324.14953694279	-563.8633733788463	-75760.28616356394	2541.470900597196	-11.96328440017578	7671.515573348631	107.88334559365448	8.689755083978376E-5	8.689755083978369E-5	-75760.28616356394	0.0	-567.0913471024924
11000	-71851.39867666911	-661.4870067590464	-71189.91166991006	2563.6494923936543	-34.14187619663426	11226.13027855818	200.71209293006393	6.0144968575827126E-5	6.014496857582716E-5	-71189.91166991006	0.0	-664.4599511393014
12000	-69292.59268400347	-683.4149472667643	-68609.1777367367	2556.564056928296	-27.05644073127587	12644.27097500447	371.7800625412007	4.567466644836512E-5	4.567466644836511E-5	-68609.1777367367	0.0	-686.0662201462166
13000	-64473.789718117085	-736.1765147489637	-63737.61320336812	2572.0007728918313	-42.493156694811205	16729.468289946257	564.9229726334283	3.0537041347115025E-5	3.0537041347115004E-5	-63737.61320336812	0.0	-738.8173405271691
14000	-62216.28640261242	-766.442635644126	-61449.8437669683	2572.0370177647064	-42.529401567686364	19341.077093529017	818.4159385239506	2.6184484406930457E-5	2.6184484406930484E-5	-61449.8437669683	0.0	-768.8666288703763
15000	-60744.18214284439	-790.8094998216947	-59953.372643022696	2602.016997884087	-72.5093816870667	22020.434821020273	1140.770501465048	2.211396903380952E-5	2.2113969033809524E-5	-59953.372643022696	0.0	-793.0702300849066
16000	-58288.609791326206	-807.4423863524453	-57481.16740497376	2592.237667850901	-62.730051653880764	23984.76945876752	1190.2843001079746	1.918481900470454E-5	1.9184819004704534E-5	-57481.16740497376	0.0	-809.8012132686281
17000	-56598.52191629424	-831.833376456323	-55766.688539837916	2614.4578975663194	-84.95028136929932	26868.793075785357	1407.7348544507815	1.6285270615770096E-5	1.6285270615770082E-5	-55766.688539837916	0.0	-834.1856938843281
18000	-55825.517353313466	-844.7462050177518	-54980.77114829572	2584.491794684324	-54.98417848730378	27974.904960198142	1664.7706690848258	1.4362855598379642E-5	1.4362855598379645E-5	-54980.77114829572	0.0	-847.0495620439486
19000	-54024.35729151551	-851.6821146240331	-53172.67517689148	2572.1568404161844	-42.64922421916435	29238.93247449644	1912.293711465883	1.3242431988453128E-5	1.3242431988453126E-5	-53172.67517689148	0.0	-853.9241667815695
20000	-53169.82401059999	-862.4765889812202	-52307.34742161877	2560.655127596168	-31.14751139914779	30926.890456084042	2316.032564127863	1.220171532798045E-5	1.220171532798045E-5	-52307.34742161877	0.0	-864.6059096964816
21000	-51669.683417273176	-877.0812750834233	-50792.60214218975	2553.190860313965	-23.683244116944934	33326.726747676345	2088.309962213668	1.0667490234634994E-5	1.0667490234634998E-5	-50792.60214218975	0.0	-879.4404995692576
22000	-50932.47262795353	-877.4062600715564	-50055.06636788198	2555.6751773848787	-26.16756118785861	33799.44862106128	2420.31523819096	1.0614954865234835E-5	1.061495486523483E-5	-50055.06636788198	0.0	-879.6241856742524
23000	-49067.289742736524	-886.475975159868	-48180.813767576656	2555.5872508749853	-26.07963467796526	35050.86793396472	2410.678866640727	9.634715445804601E-6	9.6347154458046E-6	-48180.813767576656	0.0	-888.785588126469
24000	-48320.736609278494	-889.6673015673056	-47431.06930771119	2556.3830615267743	-26.875445329754257	36324.375205643846	3147.444443698369	9.174143260767379E-6	9.174143260767365E-6	-47431.06930771119	0.0	-891.7570284046279
25000	-47001.83137238501	-893.9465885893699	-46107.884783795635	2561.9167639005577	-32.409147703537656	37340.569149766685	3114.2332931029987	8.090586807074912E-6	8.090586807074907E-6	-46107.884783795635	0.0	-896.1547007402329
26000	-46315.74144280245	-893.9168001354693	-45421.82464266698	2572.074427328407	-42.56681113138711	37435.23261594687	3209.5720838530806	7.976987337553584E-6	7.976987337553593E-6	-45421.82464266698	0.0	-896.1065805824297
27000	-45610.00354628902	-899.4083412094832	-44710.59520507954	2578.1955657808417	-48.68794958382159	38391.09787292715	2683.363298383829	7.575101516660936E-6	7.5751015166609285E-6	-44710.59520507954	0.0	-901.8234458993608
28000	-45312.789335082074	-902.2494397984678	-44410.539895283604	2633.287825341653	-103.78020914463286	39378.592567328546	4159.510016599176	7.384269360075031E-6	7.384269360075038E-6	-44410.539895283604	0.0	-904.2517082563277
29000	-45102.57584893436	-900.9993251991978	-44201.57652373516	2592.072417655718	-62.56480145869773	39375.26436564126	3043.636495592567	7.3208573127598654E-6	7.320857312759864E-6	-44201.57652373516	0.0	-903.3207293729374
30000	-44854.74915831762	-901.3266677665333	-43953.42249055109	2616.0044660420112	-86.49684984499117	39601.04615077042	3278.4554998534077	7.164065157009006E-6	7.164065157009016E-6	-43953.42249055109	0.0	-903.591992539218
31000	-44268.152952834855	-902.7015188664242	-43365.45143396843	2623.3726815286095	-93.86506533158945	39757.83794909177	3721.6640971999486	7.142410052279729E-6	7.1424100522797284E-6	-43365.45143396843	0.0	-904.84327224588
32000	-44154.63488582444	-904.3432485916252	-43250.29163723281	2611.5752413034725	-82.0676251064524	40175.76431359614	3464.813450008001	6.712036558987824E-6	6.712036558987824E-6	-43250.29163723281	0.0	-906.6071220565782
33000	-43961.26857048492	-912.2252708247909	-43049.04329966013	2611.0174900088514	-81.50987381183131	41160.41687080015	2963.415848739038	6.507011540913619E-6	6.507011540913616E-6	-43049.04329966013	0.0	-914.6749079802444
34000	-43398.22554044964	-908.2403225291488	-42489.98521792049	2657.7853469422125	-128.27773074519246	40704.26583485151	3203.732576137045	6.495095445891616E-6	6.495095445891611E-6	-42489.98521792049	0.0	-910.6107833506368
35000	-43242.58988724356	-907.5142337672431	-42335.07565347631	2609.5923320066	-80.08471580957985	40532.049979450945	3934.4023285692856	6.495095445891616E-6	6.495095445891621E-6	-42335.07565347631	0.0	-909.6782507829427
36000	-43087.891754557	-910.1306711112886	-42177.76108344571	2589.3852524666045	-59.8776362695844	41011.89181230466	3523.2888354010947	6.294482282436047E-6	6.294482282436046E-6	-42177.76108344571	0.0	-912.4317346235486
37000	-42957.48689852009	-909.1487364653043	-42048.33816205478	2593.660430893097	-64.1528146960768	40596.29608808545	3760.568807827369	6.10563558946617E-6	6.105635589466165E-6	-42048.33816205478	0.0	-911.4050450576908
38000	-42395.85541435657	-908.5256176582052	-41487.32979669837	2638.2995488437305	-108.79193264671039	40366.523236325505	3189.9205109961276	6.0238555078795E-6	6.023855507879502E-6	-41487.32979669837	0.0	-910.9551089054294
39000	-42273.085873077085	-908.755144367238	-41364.33072870985	2622.7286829032664	-93.22106670624635	40673.98664087693	3585.8286058023255	6.230990362749415E-6	6.230990362749408E-6	-41364.33072870985	0.0	-911.0442549925378
40000	-42236.33289642754	-906.687186054682	-41329.64571037286	2615.619140785078	-86.11152458805782	40225.520222636966	3585.8410538861317	6.21276774067905E-6	6.212767740679059E-6	-41329.64571037286	0.0	-908.9757414557512
41000	-42045.324647434005	-907.1761875412516	-41138.14845989276	2640.542316856824	-111.034700659804	40642.662836793344	3384.9445905275325	5.880974021969013E-6	5.880974021969014E-6	-41138.14845989276	0.0	-909.5658922191399
42000	-41969.29985782347	-906.3933568242618	-41062.906500999205	2603.838741905961	-74.33112570894082	40420.773345520356	3356.2131220858864	5.938755821982672E-6	5.938755821982675E-6	-41062.906500999205	0.0	-908.7829292217624
43000	-41874.05165366623	-907.4401141767871	-40966.611539489444	2636.6338534993274	-107.12623730230735	40395.453710100854	4075.348834247294	6.0929838713442625E-6	6.092983871344267E-6	-40966.611539489444	0.0	-909.6163313401694
44000	-41545.52285144706	-899.8578702591667	-40645.66498118789	2608.308731239568	-78.80111504254774	39127.2471295315	3563.7071216199397	6.287872754515044E-6	6.2878727545150465E-6	-40645.66498118789	0.0	-902.1366526067767
45000	-41548.696586206366	-898.7671550325276	-40649.92943117384	2668.550953633728	-139.04333743670804	38810.71979585934	3791.786185072894	6.0560786559744865E-6	6.056078655974482E-6	-40649.92943117384	0.0	-901.0096067541715
46000	-41543.216571506666	-898.2559760820234	-40644.96059542464	2622.433937402608	-92.92632120558801	38745.83233314795	2917.145160116884	6.314710053292347E-6	6.31471005329234E-6	-40644.96059542464	0.0	-900.729285306771
47000	-41535.66538454471	-897.4461100775347	-40638.21927446717	2610.109735403771	-80.60211920675101	38645.17211652832	3249.5583301711426	6.377720940639599E-6	6.377720940639591E-6	-40638.21927446717	0.0	-899.8034410820173
48000	-41536.312824529414	-896.962945174047	-40639.349879355366	2606.775167602229	-77.2675514052089	38634.1970335568	3137.7954636347067	6.261608545274877E-6	6.261608545274879E-6	-40639.349879355366	0.0	-899.3688755354169
49000	-41538.83937777256	-899.3201023403217	-40639.519275432234	2605.229539533474	-75.72192333645398	39054.45321836498	3049.4096212180416	6.260805608219915E-6	6.26080560821992E-6	-40639.519275432234	0.0	-901.7574787123069
50000	-41535.72299528917	-899.8298825778891	-40635.89311271128	2608.6973729905567	-79.18975679353662	39061.425880884315	3557.5688117894974	6.0711376710038914E-6	6.071137671003897E-6	-40635.89311271128	0.0	-902.1359652952617
