# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Feb 16 15:59:14 GMT 2023 [seed=1676563133035]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1632497.9612716404	-2584.5993125908362	-1629913.3619590495	2402.6046792998222	121.75222487136762	2492.939868331612	1.0	1.0	1.0	-1629913.3619590495	0.0	-94.99768829782387
1000	-1505370.484470828	-1082.0454849447196	-1504288.4389858833	2401.620499849086	122.73640432210368	2469.0775692312154	0.7713142040090519	0.41394309755941644	0.4139430975594165	-1504288.4389858833	0.0	-64.02197567341474
2000	-882648.456443538	-136.20452721360186	-882512.2519163244	2401.388643319024	122.96826085216571	2443.526783629048	0.3815840617914713	0.05158240546394152	0.05158240546394151	-882512.2519163244	0.0	-15.93548322353086
3000	-175647.5530969075	11.742225982937798	-175659.29532289045	2401.354966373226	123.00193779796382	2430.556277005267	0.3801935041023998	0.005524884825434252	0.00552488482543425	-175659.29532289045	0.0	18.27887532920059
4000	-102288.96942113765	42.89621488386501	-102331.86563602151	2401.3577053434565	122.99919882773338	2424.5196047118675	0.2531504046745682	0.002771488738990975	0.0027714887389909742	-102331.86563602151	0.0	41.97345745926176
5000	-34204.48384615581	-103.6012786689137	-34100.88256748689	2401.389484533079	122.96741963811064	2503.0716331250824	0.72285824122539	2.9687933267055403E-4	2.968793326705542E-4	-34100.88256748689	0.0	-110.58407498568272
6000	-28390.18749995796	-225.26770060273074	-28164.91979935523	2401.382927697418	122.97397647377193	2752.545380219326	4.084774510693055	8.685228461832739E-5	8.685228461832743E-5	-28164.91979935523	0.0	-231.68479583541102
7000	-27034.799829980977	-304.96533285691567	-26729.834497124062	2401.4088985608464	122.94800561034344	3148.0800841051887	8.379111076306906	4.4186839400038166E-5	4.418683940003818E-5	-26729.834497124062	0.0	-311.168938179472
8000	-26454.29811665829	-391.1307518626986	-26063.16736479559	2401.6551987104317	122.70170546075815	4001.521862843475	19.465408564397706	2.0349373495890585E-5	2.034937349589058E-5	-26063.16736479559	0.0	-397.0567647195326
9000	-26078.524630607015	-448.51634789412407	-25630.00828271289	2403.5179232414234	120.83898092976642	4865.985079705872	30.617853801383507	1.6269970595247003E-5	1.6269970595247003E-5	-25630.00828271289	0.0	-454.2013371712411
10000	-25610.901973517015	-512.3229981500375	-25098.578975366978	2414.4369794912113	109.91992467997852	6384.523645043137	70.73493160578998	1.1771969488878845E-5	1.177196948887884E-5	-25098.578975366978	0.0	-517.4722459964703
11000	-24999.033758004498	-537.855510711655	-24461.178247292843	2417.666908804933	106.68999536625688	6952.690699037266	100.05145299238457	9.27512915468808E-6	9.275129154688074E-6	-24461.178247292843	0.0	-542.830503100503
12000	-24570.475493572172	-586.9889305551417	-23983.48656301703	2420.6697286503877	103.68717552080216	8429.052649535422	154.2461581710209	7.756253819486987E-6	7.756253819486984E-6	-23983.48656301703	0.0	-591.7158633653381
13000	-24248.22126309164	-620.304926375621	-23627.916336716018	2418.877234737257	105.47966943393294	9603.485408634117	154.54781799745743	5.774764469317992E-6	5.774764469317995E-6	-23627.916336716018	0.0	-625.2525472472768
14000	-24142.28754762403	-630.9904760152453	-23511.297071608784	2423.3416251442604	101.01527902692942	10298.774023057138	252.61850781918056	5.325221330830465E-6	5.325221330830467E-6	-23511.297071608784	0.0	-635.5228055562154
15000	-23969.089552203244	-652.7378494066595	-23316.351702796586	2435.764605943711	88.59229822747875	11547.28662088385	282.38387780005314	4.842234450456595E-6	4.842234450456593E-6	-23316.351702796586	0.0	-657.2624724027164
16000	-23901.529004594842	-664.4022822935158	-23237.126722301327	2418.0909066465188	106.26599752467109	11818.124307819577	413.8797915323639	4.823555591914085E-6	4.8235555919140885E-6	-23237.126722301327	0.0	-668.5570308067379
17000	-23781.056827731154	-680.3351114417846	-23100.72171628937	2424.4516386577984	99.90526551339144	12789.888255973861	451.28810213688655	4.2534123025113535E-6	4.2534123025113535E-6	-23100.72171628937	0.0	-684.508339467951
18000	-23527.61553261241	-681.8587836528591	-22845.75674895955	2430.2802811655993	94.07662300559059	12850.768176401269	397.3933768861718	4.417035771362374E-6	4.417035771362375E-6	-22845.75674895955	0.0	-686.1403300411654
19000	-23448.40807519051	-693.0313607129343	-22755.376714477574	2430.830867867028	93.52603630416206	13577.500427573304	401.59373360860576	3.7047235352843505E-6	3.70472353528435E-6	-22755.376714477574	0.0	-697.4242895413231
20000	-23318.240625986262	-694.1511598787281	-22624.089466107533	2410.86494814627	113.49195602492	13725.114646288741	353.37641092880796	3.7119153115260504E-6	3.711915311526053E-6	-22624.089466107533	0.0	-698.6757872526393
21000	-23259.098653305424	-709.294168411371	-22549.80448489405	2425.6441257875863	98.71277838360356	15032.691456174813	555.8634081901478	3.223268595783021E-6	3.2232685957830204E-6	-22549.80448489405	0.0	-713.4843750510248
22000	-23032.3466666225	-717.9962270926832	-22314.350439529815	2436.604553359616	87.7523508115737	15836.510194125685	540.3399951930194	2.8688080641947917E-6	2.868808064194792E-6	-22314.350439529815	0.0	-722.3020753035415
23000	-22993.378588715834	-718.5764261609313	-22274.8021625549	2438.9575652539497	85.39933891724013	16066.851010766319	556.1479168121865	3.03028010809857E-6	3.0302801080985695E-6	-22274.8021625549	0.0	-722.8300243541001
24000	-22910.178836957424	-726.2980771988716	-22183.88075975855	2425.256682456098	99.10022171509172	16453.558846237353	534.8560590856531	2.8901519403121893E-6	2.89015194031219E-6	-22183.88075975855	0.0	-730.6274105880505
25000	-22764.396080352068	-746.0102851344649	-22018.385795217604	2427.9633106424076	96.39359352878228	17952.880895699418	740.8055972416504	2.3727235933925033E-6	2.3727235933925054E-6	-22018.385795217604	0.0	-750.1610737003717
26000	-22681.67537700832	-759.3446088692513	-21922.33076813907	2433.033057510061	91.32384666112875	18992.032092644702	906.7378513463568	2.416536916755684E-6	2.416536916755685E-6	-21922.33076813907	0.0	-763.3089705373427
27000	-22609.208443979875	-777.5582288122034	-21831.650215167672	2435.1776132243995	89.17929094679039	20924.973818362934	976.1007728270652	1.8826297684352216E-6	1.8826297684352222E-6	-21831.650215167672	0.0	-781.6286738535929
