"","AncId","Desc","Branch.Length"
"1","151","40139_2229.8863385747",34.0024641443
"2","151","40780_2254.46224206859",58.5783676382
"3","152","151",29.7711203302
"4","152","39043_2190.17771623257",24.0649621324
"5","153","152",28.068545587
"6","153","39044_2190.17771623257",52.1335077194
"7","154","37157_2117.43061600396",14.4036362932
"8","154","153",35.0172288025
"9","155","36775_2103.7232006158",8.6326330587
"10","155","37899_2146.17293943746",51.0823718804
"11","156","154",41.024550344
"12","156","155",33.0881381903
"13","157","156",6.0841491615
"14","157","36777_2103.7232006158",47.8049204106
"15","158","36771_2103.7232006158",70.4126585074
"16","158","157",22.6077380968
"17","159","35758_2065.00399875399",85.9449104146
"18","159","158",54.251453769
"19","160","38690_2177.19693200358",16.261701017
"20","160","39942_2223.39305481869",62.4578238321
"21","161","38303_2162.21955182523",11.2706159382
"22","161","38302_2162.21955182523",11.2706159382
"23","162","47524_2484.98526624003",10.7000996037
"24","162","47994_2501.7550794017",27.4699127654
"25","163","47521_2484.98526624003",8.7546454666
"26","163","47522_2484.98526624003",8.7546454666
"27","164","163",9.4487764722
"28","164","49001_2537.32417839124",70.54233409
"29","165","162",22.0034445433
"30","165","164",14.5001222083
"31","166","47671_2490.49549799586",9.8905078876
"32","166","48138_2507.51112716475",26.9061370565
"33","167","165",8.1036987304
"34","167","166",36.4269667457
"35","168","46520_2452.504781302",29.9412255233
"36","168","167",21.6144675839
"37","169","47968_2501.01792219308",36.0474915549
"38","169","48384_2516.49010830204",51.5196776639
"39","170","169",66.2254451284
"40","170","45507_2422.42501588809",23.6800303783
"41","171","44810_2400.40056365174",9.3671879332
"42","171","45131_2410.40712278005",19.3737470615
"43","172","170",26.3321532065
"44","172","171",18.6205434153
"45","173","45336_2417.03284824881",9.4302334416
"46","173","46670_2456.99141219886",49.3887973916
"47","174","172",21.1728729527
"48","174","173",56.3626554567
"49","175","168",90.2346403717
"50","175","174",18.9110439436
"51","176","175",70.130598899
"52","176","41765_2289.53335444437",27.3350379365
"53","177","161",12.6410570415
"54","177","176",123.8904376625
"55","178","177",18.8489230932
"56","178","37976_2149.84813983467",30.3891840825
"57","179","37516_2130.59507849564",38.4335128966
"58","179","178",27.2973901532
"59","180","160",81.0824497851
"60","180","179",12.3087843975
"61","181","35891_2069.70677146791",23.1841210702
"62","181","180",33.3301308037
"63","182","159",28.8071282362
"64","182","181",96.2706902946
"65","183","36280_2086.1095824782",20.83968092
"66","183","36749_2103.18549432921",37.915592771
"67","184","182",25.8952059011
"68","184","183",140.9131473561
