"","AncId","Desc","Branch.Length"
"1","151","5417_318.922588101129",230.7670777818
"2","151","1805_106.105280176545",17.9497698573
"3","152","3106_190.934434258281",9.7084398321
"4","152","3347_206.416983554409",25.1909891282
"5","153","5030_297.238811628315",39.1073273192
"6","153","4491_271.647829975728",13.5163456666
"7","154","7382_403.32037595417",37.0429578853
"8","154","7176_394.515615225714",28.2381971569
"9","155","9781_546.873138276622",18.1301754706
"10","155","13517_766.611160916713",237.8681981107
"11","156","155",21.5628901741
"12","156","10673_596.327413791202",89.1473411593
"13","157","154",14.445842711
"14","157","156",155.348497274
"15","158","21786_1300.80534853399",23.5566487562
"16","158","21808_1302.46066652684",25.2119667491
"17","159","21897_1307.92936142971",48.0734820199
"18","159","158",17.392820368
"19","160","30942_1844.65315464759",16.4600512894
"20","160","31926_1894.56679886152",66.3736955034
"21","161","30949_1845.1183134844",32.2199025297
"22","161","160",15.2946924034
"23","162","40301_2235.84502384616",93.2840280931
"24","162","38083_2154.12225116628",11.5612554132
"25","163","41641_2285.04920865465",50.5503174331
"26","163","41220_2269.90886208745",35.4099708659
"27","164","162",49.8015940185
"28","164","163",141.7394894869
"29","165","37418_2127.25946143736",169.1689447513
"30","165","34185_1994.62023970808",36.529723022
"31","166","164",173.8247634512
"32","166","165",39.1558784027
"33","167","41984_2299.1985825079",262.8070979939
"34","167","37035_2111.91092601268",75.5194414986
"35","168","34922_2031.60673048644",38.2242055484
"36","168","167",43.008959576
"37","169","33190_1954.03011702032",39.313974459
"38","169","168",78.6663823767
"39","170","45600_2425.09506708441",106.2813652843
"40","170","48994_2536.93585007998",218.1221482799
"41","171","44931_2404.55929688333",115.0982503095
"42","171","170",29.3526552263
"43","172","41325_2274.03331569595",41.1861612943
"44","172","171",56.6138921722
"45","173","39910_2222.21822721568",50.8134347584
"46","173","172",61.4423619444
"47","174","173",83.2059204651
"48","174","37760_2140.53143237702",52.3325603848
"49","175","34936_2031.97479493869",95.2565140305
