"","AncId","Desc","Branch.Length"
"1","101","17676_1773.31651753814",179.3507478651
"2","101","17193_1696.67001786284",102.7042481898
"3","102","101",240.8636925604
"4","102","15741_1460.18853305062",107.086455938
"5","103","16202_1548.56334746564",279.9956248988
"6","103","102",84.5343545458
"7","104","10961_939.902785823716",108.5995908804
"8","104","103",437.2645276236
"9","105","13281_1151.58839296622",101.273401773
"10","105","12478_1081.93371243765",31.6187212444
"11","106","17591_1757.55542681055",42.6337605977
"12","106","18985_2000.82367473192",285.902008519
"13","107","106",859.3294199177
"14","107","18598_1925.95270577536",1070.3604594801
"15","108","105",308.2641792946
"16","108","107",113.5414343966
"17","109","104",187.6592066675
"18","109","108",98.4068236229
"19","110","8243_683.054268895849",615.7236511287
"20","110","2578_173.525679086121",106.195061319
"21","111","110",125.9682216837
"22","111","607_10.6342066685156",69.2718105851
"23","112","1404_76.6924626917503",108.3643360796
"24","112","1104_49.6494442195388",81.3213176074
"25","113","1795_109.262800449727",84.228864714
"26","113","2561_171.740919517266",146.7069837816
"27","114","112",68.4599118649
"28","114","113",125.1657209884
"29","115","2555_171.108602654488",97.7854243486
"30","115","2765_188.286044234304",114.9628659285
"31","116","1785_109.034980804536",63.1869994654
"32","116","115",27.4751969667
"33","117","10562_901.275276489998",57.8029774028
"34","117","10547_899.672853573163",56.200554486
"35","118","117",51.300812677
"36","118","18705_1946.66992852865",1154.4984421185
"37","119","7027_575.487028112423",329.2693064038
"38","119","118",545.9537647015
"39","120","3078_210.923340659099",136.1882787978
"40","120","119",171.4826598473
"41","121","3820_272.368059249251",57.1518466622
"42","121","4124_303.567930747937",88.3517181609
"43","122","5246_419.525492623892",226.6717973144
"44","122","121",22.3625172775
"45","123","120",-20.9031278526
"46","123","122",97.2155055957
"47","124","3368_237.81694052876",66.9150267701
"48","124","3543_251.766331706399",80.8644179477
"49","125","123",-17.8190392583
"50","125","124",57.4446847865
"51","126","7199_588.727717220913",81.7186274182
"52","126","9449_807.330193694588",300.3211038919
"53","127","126",129.6319842629
"54","127","7050_577.559880559195",200.1827750194
"55","128","5534_446.911389175054",196.131399637
"56","128","127",126.5971160018
"57","129","4420_334.715328381369",121.742213945
"58","129","128",37.8068751016
"59","130","14212_1235.31521111115",24.7088733965
"60","130","14208_1235.31521111115",24.7088733965
"61","131","130",168.4510671391
"62","131","17024_1670.41167868736",628.2564081119
"63","132","11409_987.771489737369",118.2368848321
"64","132","131",172.6206656701
"65","133","132",21.0192637117
"66","133","10867_930.180678599865",81.6653374062
"67","134","10936_936.722138851915",152.5217341793
"68","134","133",64.314936521
"69","135","134",150.6874721838
"70","135","10010_853.632823469781",220.1198909809
"71","136","4154_306.112093918963",148.6147095853
"72","136","3031_206.929788002341",49.4324036686
"73","137","135",482.7270975539
"74","137","136",6.7115493987
"75","138","129",53.9236187265
"76","138","137",-8.2636607749
"77","139","125",43.995124318
"78","139","138",89.5873910557
"79","140","116",13.5834185788
"80","140","139",37.1975418939
"81","141","114",49.4011039028
"82","141","140",181.7974519159
"83","142","111",149.9069506828
"84","142","141",59.0116654438
"85","143","3125_216.01154119189",325.5212999384
"86","143","3941",110.5097587465
"87","144","15825_1470.32949645884",847.6783931114
"88","144","12687_1100.43691281139",477.7858094639
"89","145","13232_1145.97000130221",271.1724343968
"90","145","10838_924.685220549409",49.887653644
"91","146","144",391.8000918794
"92","146","145",643.9465554374
"93","147","2187_142.211655739182",42.2981983097
"94","147","146",130.9375540386
"95","148","143",-9.9013907227
"96","148","147",199.5218254533
"97","149","142",19.5415242317
"98","149","148",128.4777108073
"99","150","14563_1273.77213611518",649.6839477133
"100","150","11150_957.815578015595",333.7273896137
"101","151","150",685.5229955067
"102","151","3871",62.4348071048
"103","152","1646_96.6576132700714",47.9991511539
"104","152","1346_71.6021660333798",22.9437039172
"105","153","1650_97.4126719984544",47.4736541934
"106","153","152",-1.2805556889
"107","154","3470_245.062915906749",34.0879887173
"108","154","3857_276.910155822527",65.9352286331
"109","155","18854_1973.95353116179",437.9668193181
"110","155","17362_1724.4979735717",188.511261728
"111","156","155",99.6815684188
"112","156","16755_1632.64408667089",196.3389432461
"113","157","12445_1080.25746771148",183.3157081309
"114","157","156",539.3633838443
"115","158","18019_1827.2655146859",812.0491711155
"116","158","12329_1069.16023018773",53.9438866174
"117","159","157",181.638017054
"118","159","158",299.9126010439
"119","160","13394_1162.39378293481",427.6354441844
"120","160","8893_756.773054953546",22.0147162032
"121","161","159",121.8601047034
"122","161","160",141.3147009272
"123","162","12759_1106.00004207992",163.6518508012
"124","162","11406_987.620029551685",45.2718382729
"125","163","14798_1305.39222200357",100.9588638381
"126","163","14552_1271.87984378216",67.4464856167
"127","164","162",191.034608704
"128","164","163",453.1197755908
"129","165","19167_2039.29197906028",405.4093601526
"130","165","17897_1807.12793994913",173.2453210415
"131","166","19917_2299.45399266057",361.2476292276
"132","166","18968_1999.85486247621",61.6484990433
"133","167","166",99.1439863469
"134","167","18532_1913.89057540499",74.828198319
"135","168","165",52.87727278
"136","168","167",258.0570309583
"137","169","168",85.0221890664
"138","169","18653_1936.44845949458",440.4653024333
"139","170","20333_2481.39407475465",571.4652073311
"140","170","18803_1964.10218546626",54.1733180427
"141","171","170",50.7699828645
"142","171","20284_2464.28100768084",605.1221231218
"143","172","19214_2048.46101626697",257.1909817557
"144","172","171",67.8888500478
"145","173","16996_1666.71808547003",59.7573439629
"146","173","172",184.3092930042
"147","174","169",120.3994785003
"148","174","173",231.3770629461
"149","175","14588_1276.5328330483",28.6328149624
"150","175","174",127.6836604751
"151","176","175",89.0306997594
"152","176","17899_1807.81602317681",648.9467048503
"153","177","11253_971.419865899296",87.7448818219
"154","177","176",275.1943342491
"155","178","164",92.9136101392
"156","178","177",225.2750116418
"157","179","8819_748.446671129419",43.7851135329
"158","179","14480_1262.62589026506",557.9643326686
"159","180","14985_1335.00154972927",57.7306066746
"160","180","16577_1608.76350731266",331.492564258
"161","181","11722_1013.62947677045",241.9818718706
"162","181","180",505.6233381549
"163","182","179",56.2433618726
"164","182","181",123.2294091759
"165","183","178",105.6869893566
"166","183","182",95.7052126449
"167","184","183",99.1734060633
"168","184","6021_499.908739095861",46.3691620802
"169","185","161",179.3629120817
"170","185","184",39.4588512742
"171","186","12613_1092.42442300476",116.5364276447
"172","186","11610_1003.28657289833",27.3985775383
"173","187","8546_716.982002781067",44.3835099089
"174","187","186",303.2895024878
"175","188","185",38.8620508155
"176","188","187",297.3798179462
"177","189","14337_1247.98205910508",977.9415512247
"178","189","188",105.1781670457
"179","190","189",113.1912928383
"180","190","3002_205.421735790371",48.5725207483
"181","191","154",132.8537217834
"182","191","190",78.728009636
"183","192","153",123.813378241
"184","192","191",151.995565842
"185","193","192",48.8149533763
"186","193","1059_45.0381922409992",167.7275060532
"187","194","953_36.5096383928714",46.5457241442
"188","194","5324_428.661681046418",438.6977667977
"189","195","193",31.7002050562
"190","195","194",144.3534331171
"191","196","151",248.3849489865
"192","196","195",155.4302372229
"193","197","3815_272.210208120494",599.8119628795
"194","197","196",17.7819986678
"195","198","149",195.5589873432
"196","198","197",96.0433114153
"197","199","109",1110.4507677778
"198","199","198",43.1617133277
