"","AncId","Desc","Branch.Length"
"1","101","7275_998.879907605484",104.0359779659
"2","101","8094_1110.02087363746",215.1769439979
"3","102","23652_2306.77873993176",359.031748888
"4","102","26980_2475.70491750114",527.9579264574
"5","103","102",170.9921078417
"6","103","16118_1831.56501972815",54.8101365261
"7","104","103",116.7227139309
"8","104","14281_1701.44425447618",41.4120852051
"9","105","11139_1418.70055773517",215.1356366222
"10","105","104",456.4672481581
"11","106","101",53.1321768475
"12","106","105",361.8531683209
"13","107","106",699.22404739
"14","107","2275_228.807828014659",86.3201226126
"15","108","107",57.7679467755
"16","108","4243_503.265115229737",418.5453566032
"17","109","10006_1307.58654245059",424.6655521541
"18","109","7820_1077.03649559057",194.1155052941
"19","110","13342_1633.08941823558",820.9009994613
"20","110","109",70.7325715222
"21","111","108",156.7314319336
"22","111","110",884.2000920813
"23","112","8334_1138.58061984676",261.2422210524
"24","112","8746_1186.66793005034",309.329531256
"25","113","15891_1818.16489104053",108.0550961148
"26","113","20028_2076.7314019877",366.621607062
"27","114","25895_2423.54346180325",152.067888886
"28","114","23270_2282.93545040941",11.4598774922
"29","115","114",49.1465812446
"30","115","26580_2455.95065871006",233.6216670374
"31","116","17089_1900.85988728073",59.7210544482
"32","116","115",381.1901588402
"33","117","113",81.9702165719
"34","117","116",212.9992544787
"35","118","19794_2063.4011338013",232.7574280516
"36","118","19070_2022.91634457608",192.2726388263
"37","119","118",90.1905576651
"38","119","17398_1920.26803921055",179.8148911259
"39","120","117",125.3370459589
"40","120","119",237.6506156897
"41","121","27039_2478.59357260285",637.0483720647
"42","121","25776_2417.53952759359",575.9943270555
"43","122","16043_1827.65561900952",388.9054688831
"44","122","121",402.7950504117
"45","123","122",523.0914927412
"46","123","9101_1223.4940742928",307.8354169076
"47","124","120",751.3568169853
"48","124","123",164.2129419756
"49","125","5889_765.968639097601",59.2678586603
"50","125","124",44.7449349724
"51","126","112",535.7523723619
"52","126","125",365.1147540048
"53","127","3627_420.319222231964",66.134205955
"54","127","4475_547.540492850049",193.3554765731
"55","128","126",226.2131868168
"56","128","127",238.8121766613
"57","129","1153_85.403354489112",160.2317080509
"58","129","4007_469.560981993699",544.3893355555
"59","130","6389_842.802751741103",471.1389414016
"60","130","4858_617.223032437977",245.5592220985
"61","131","2634_285.124452149754",260.5425586865
"62","131","130",347.0819168762
"63","132","1455_126.254080153726",173.9213996736
