"","AncId","Desc","Branch.Length"
"1","154","RV2859_01-03-2011_Serengeti.fasta",31.74551
"2","154","RV2868_06-06-2011_Serengeti.fasta",128.745355
"3","155","RV2897_02-09-2011_Serengeti.fasta",138.73066
"4","155","RV2880_02-07-2011_Serengeti.fasta",76.730665
"5","156","154",126.110785
"6","156","155",204.125155
"7","157","RV2798_31-01-2011_Serengeti.fasta",50.077635
"8","157","RV2797_30-01-2011_Serengeti.fasta",49.077535
"9","158","RV3129_25-06-2012_Serengeti.fasta",54.068545
"10","158","RV3130_28-06-2012_Serengeti.fasta",57.06045
"11","159","158",111.261855
"12","159","RV3123_26-04-2012_Serengeti.fasta",105.49449
"13","160","159",155.136315
"14","160","RV3132_02-04-2012_Serengeti.fasta",236.696295
"15","161","RV3145_08-08-2012_Serengeti.fasta",555.272675
"16","161","160",190.926025
"17","162","157",223.363575
"18","162","161",272.567765
"19","163","RV3050_02-09-2012_Serengeti.fasta",134.565645
"20","163","RV3138_16-07-2012_Serengeti.fasta",86.696625
"21","164","RV3070_27-02-2013_Serengeti.fasta",408.506175
"22","164","163",96.271305
"23","165","164",167.19336
"24","165","RV2909_12-11-2011_Serengeti.fasta",103.699785
"25","166","165",351.27746
"26","166","RV3088_25-04-2013_Serengeti.fasta",983.97722
"27","167","RV3073_18-02-2013_Serengeti.fasta",85.67134
"28","167","RV3085_06-09-2013_Serengeti.fasta",285.671265
"29","168","167",568.64591
"30","168","RV2888_29-07-2011_Serengeti.fasta",85.31729
"31","169","RV2786_20-06-2010_Serengeti.fasta",74.688125
"32","169","168",393.37072
"33","170","166",200.864245
"34","170","169",71.1531
"35","171","162",227.11322
"36","171","170",129.713335
"37","172","171",40.470835
"38","172","RV2796_19-01-2011_Serengeti.fasta",529.02516
"39","173","156",527.3155
"40","173","172",115.14655
"41","174","RV2866_15-04-2011_Serengeti.fasta",1258.034185
"42","174","173",527.86227
"43","175","SD645_30-12-2016_Serengeti.fasta",274.009515
"44","175","SD678_06-10-2016_Serengeti.fasta",189.24155
"45","176","174",697.396375
"46","176","175",3765.42687
"47","177","PM024_14-05-2017_Pemba.fasta",703.763435
"48","177","RAB16033_07-10-2016_Pemba.fasta",484.99813
"49","178","177",338.534945
"50","178","PM015_09-11-2016_Pemba.fasta",856.442935
"51","179","PM019_05-02-2017_Pemba.fasta",1304.697975
"52","179","178",360.399905
"53","180","179",537.594995
"54","180","PM018_17-02-2017_Pemba.fasta",1854.293075
"55","181","SD620_20-02-2016_Serengeti.fasta",490.696875
"56","181","SD622_15-02-2016_Serengeti.fasta",485.71061
"57","182","181",365.396025
"58","182","SD643_14-05-2017_Serengeti.fasta",1304.22968
"59","183","SD635_07-06-2016_Serengeti.fasta",1205.832615
"60","183","182",242.034785
"61","184","183",678.52916
"62","184","SD681_08-09-2017_Serengeti.fasta",2341.793645
"63","185","RV3240_22-05-2015_Serengeti.fasta",407.048365
"64","185","RV3253_04-06-2015_Serengeti.fasta",420.04857
"65","186","185",801.18741
"66","186","RAB12005_09-05-2012_Pemba.fasta",100.883445
"67","187","SD648_31-03-2017_Serengeti.fasta",1036.82557
"68","187","SD601_17-12-2015_Serengeti.fasta",567.82539
"69","188","SD647_18-08-2016_Serengeti.fasta",1375.365625
"70","188","187",563.16872
"71","189","186",223.51359
"72","189","188",509.75535
"73","190","SUB7101_24-09-2015_Serengeti.fasta",1689.04699
"74","190","189",132.29717
"75","191","RAB12039_24-08-2011_Pemba.fasta",39.978815
"76","191","RAB12002_15-06-2012_Pemba.fasta",335.525155
"77","192","RV3229_05-01-2015_Serengeti.fasta",1596.96844
"78","192","191",327.989365
"79","193","190",404.367075
"80","193","192",234.445705
"81","194","184",656.7299
"82","194","193",191.10962
"83","195","180",1520.39144
"84","195","194",579.16156
"85","196","SD577_30-09-2015_Serengeti.fasta",69.45439
"86","196","SD577sg_30-09-2015_Serengeti.fasta",69.45439
"87","197","RV3078_26-05-2013_Serengeti.fasta",314.098925
"88","197","196",1101.64446
"89","198","RV3093_22-12-2011_Serengeti.fasta",142.53834
"90","198","RV3092_16-12-2011_Serengeti.fasta",136.538105
"91","199","197",554.632465
"92","199","198",206.193245
"93","200","RV3109_12-04-2012_Serengeti.fasta",161.11465
"94","200","RV3107_09-04-2012_Serengeti.fasta",158.122745
"95","201","RV3122_30-03-2012_Serengeti.fasta",45.18408
"96","201","RV3124_07-05-2012_Serengeti.fasta",83.08057
"97","202","RV3105_22-03-2012_Serengeti.fasta",250.361165
"98","202","201",213.155255
"99","203","200",252.76761
"100","203","202",142.578125
"101","204","199",704.491245
"102","204","203",751.061595
"103","205","RV3151_03-01-2012_Serengeti.fasta",106.273765
"104","205","RV3103_10-12-2011_Serengeti.fasta",82.279395
"105","206","RV3104_22-12-2011_Serengeti.fasta",205.26943
"106","206","205",110.98993
"107","207","RV2903_05-10-2011_Serengeti.fasta",116.902565
"108","207","RV2900_28-09-2011_Serengeti.fasta",109.902595
"109","208","206",695.033
"110","208","207",705.399365
"111","209","204",298.90069
"112","209","208",451.821455
"113","210","195",513.120285
"114","210","209",653.681785
"115","211","176",508.18877
"116","211","210",708.81394
"117","212","SD709_08-09-2017_Serengeti.fasta",1760.472015
"118","212","SD670_11-04-2017_Serengeti.fasta",1610.47198
"119","213","RV3053_10-11-2012_Serengeti.fasta",53.329785
"120","213","RV3052_13-11-2012_Serengeti.fasta",56.32169
"121","214","RV2883_23-07-2011_Serengeti.fasta",113.16387
"122","214","213",534.975755
"123","215","RV3084_22-08-2013_Serengeti.fasta",584.12702
"124","215","RV3113_06-05-2012_Serengeti.fasta",111.78271
"125","216","RV3049_04-10-2012_Serengeti.fasta",474.24596
"126","216","215",211.875565
"127","217","RV3048_17-09-2012_Serengeti.fasta",484.333465
"128","217","216",27.041025
"129","218","214",122.244705
"130","218","217",172.365045
"131","219","RV3137_21-07-2012_Serengeti.fasta",310.95445
"132","219","RV3051_13-10-2012_Serengeti.fasta",394.72487
"133","220","219",67.44105
"134","220","RV3136_16-07-2012_Serengeti.fasta",373.40887
"135","221","RV3150_24-03-2012_Serengeti.fasta",61.58791
"136","221","RV3110_30-04-2012_Serengeti.fasta",98.486855
"137","222","RV3134_19-07-2012_Serengeti.fasta",291.944885
"138","222","221",113.676695
"139","223","220",120.13829
"140","223","222",204.59418
"141","224","RV3067_25-02-2013_Serengeti.fasta",321.405495
"142","224","RV3115_11-05-2012_Serengeti.fasta",32.047365
"143","225","224",98.997125
"144","225","RV3119_17-05-2012_Serengeti.fasta",137.0283
"145","226","223",103.90528
"146","226","225",400.588595
"147","227","226",202.73852
"148","227","RV2894_15-08-2011_Serengeti.fasta",464.72968
"149","228","RV2893_01-08-2011_Serengeti.fasta",90.75433
"150","228","RV2873_20-06-2011_Serengeti.fasta",48.754145
"151","229","228",141.569995
"152","229","RV2870_01-06-2011_Serengeti.fasta",171.324065
"153","230","RV2879_10-06-2011_Serengeti.fasta",182.69783
"154","230","229",2.373595
"155","231","230",32.17986
"156","231","RV2895_18-08-2011_Serengeti.fasta",283.877655
"157","232","RV2891_10-08-2011_Serengeti.fasta",51.68546
"158","232","RV2890_03-08-2011_Serengeti.fasta",44.68549
"159","233","231",57.365955
"160","233","232",281.55808
"161","234","RV3131_07-07-2012_Serengeti.fasta",38.47027
"162","234","RV3135_19-07-2012_Serengeti.fasta",50.437525
"163","235","234",164.537985
"164","235","RV3064_02-01-2013_Serengeti.fasta",381.52209
"165","236","235",253.53484
"166","236","RV3082_03-09-2013_Serengeti.fasta",879.05724
"167","237","236",316.12285
"168","237","RV2858_21-02-2011_Serengeti.fasta",271.180035
"169","238","233",180.243935
"170","238","237",72.30723
"171","239","227",144.823605
"172","239","238",91.06604
"173","240","218",388.48118
"174","240","239",37.33658
"175","241","RV2878_03-07-2011_Serengeti.fasta",69.393435
"176","241","RV2885_24-07-2011_Serengeti.fasta",90.393345
"177","242","RV2887_25-07-2011_Serengeti.fasta",175.47594
"178","242","241",84.082495
"179","243","242",152.049145
"180","243","RV2889_04-08-2011_Serengeti.fasta",337.52499
"181","244","243",151.046125
"182","244","RV2793_02-01-2011_Serengeti.fasta",274.57125
"183","245","240",34.95021
"184","245","244",182.26932
"185","246","RV2808_04-04-2010_Morogoro.fasta",321.51901
"186","246","245",137.67873
"187","247","RV2867_22-05-2011_Serengeti.fasta",191.529005
"188","247","RV2906_09-09-2011_Serengeti.fasta",301.529055
"189","248","247",62.390545
"190","248","RV3114_06-05-2012_Serengeti.fasta",603.575315
"191","249","RV2882_23-07-2011_Serengeti.fasta",46.058985
