AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
154, RV2859_01-03-2011_Serengeti.fasta, RV2868_06-06-2011_Serengeti.fasta, 0.0869740000, 0.3527270000
155, RV2897_02-09-2011_Serengeti.fasta, RV2880_02-07-2011_Serengeti.fasta, 0.3800840000, 0.2102210000
156,   154,   155, 0.3455090000, 0.5592470000
157, RV2798_31-01-2011_Serengeti.fasta, RV2797_30-01-2011_Serengeti.fasta, 0.1371990000, 0.1344590000
158, RV3129_25-06-2012_Serengeti.fasta, RV3130_28-06-2012_Serengeti.fasta, 0.1481330000, 0.1563300000
159,   158, RV3123_26-04-2012_Serengeti.fasta, 0.3048270000, 0.2890260000
160,   159, RV3132_02-04-2012_Serengeti.fasta, 0.4250310000, 0.6484830000
161, RV3145_08-08-2012_Serengeti.fasta,   160, 1.5212950000, 0.5230850000
162,   157,   161, 0.6119550000, 0.7467610000
163, RV3050_02-09-2012_Serengeti.fasta, RV3138_16-07-2012_Serengeti.fasta, 0.3686730000, 0.2375250000
164, RV3070_27-02-2013_Serengeti.fasta,   163, 1.1191950000, 0.2637570000
165,   164, RV2909_12-11-2011_Serengeti.fasta, 0.4580640000, 0.2841090000
166,   165, RV3088_25-04-2013_Serengeti.fasta, 0.9624040000, 2.6958280000
167, RV3073_18-02-2013_Serengeti.fasta, RV3085_06-09-2013_Serengeti.fasta, 0.2347160000, 0.7826610000
168,   167, RV2888_29-07-2011_Serengeti.fasta, 1.5579340000, 0.2337460000
169, RV2786_20-06-2010_Serengeti.fasta,   168, 0.2046250000, 1.0777280000
170,   166,   169, 0.5503130000, 0.1949400000
171,   162,   170, 0.6222280000, 0.3553790000
172,   171, RV2796_19-01-2011_Serengeti.fasta, 0.1108790000, 1.4493840000
173,   156,   172, 1.4447000000, 0.3154700000
174, RV2866_15-04-2011_Serengeti.fasta,   173, 3.4466690000, 1.4461980000
175, SD645_30-12-2016_Serengeti.fasta, SD678_06-10-2016_Serengeti.fasta, 0.7507110000, 0.5184700000
176,   174,   175, 1.9106750000, 10.3162380000
177, PM024_14-05-2017_Pemba.fasta, RAB16033_07-10-2016_Pemba.fasta, 1.9281190000, 1.3287620000
178,   177, PM015_09-11-2016_Pemba.fasta, 0.9274930000, 2.3464190000
179, PM019_05-02-2017_Pemba.fasta,   178, 3.5745150000, 0.9873970000
180,   179, PM018_17-02-2017_Pemba.fasta, 1.4728630000, 5.0802550000
181, SD620_20-02-2016_Serengeti.fasta, SD622_15-02-2016_Serengeti.fasta, 1.3443750000, 1.3307140000
182,   181, SD643_14-05-2017_Serengeti.fasta, 1.0010850000, 3.5732320000
183, SD635_07-06-2016_Serengeti.fasta,   182, 3.3036510000, 0.6631090000
184,   183, SD681_08-09-2017_Serengeti.fasta, 1.8589840000, 6.4158730000
185, RV3240_22-05-2015_Serengeti.fasta, RV3253_04-06-2015_Serengeti.fasta, 1.1152010000, 1.1508180000
186,   185, RAB12005_09-05-2012_Pemba.fasta, 2.1950340000, 0.2763930000
187, SD648_31-03-2017_Serengeti.fasta, SD601_17-12-2015_Serengeti.fasta, 2.8406180000, 1.5556860000
188, SD647_18-08-2016_Serengeti.fasta,   187, 3.7681250000, 1.5429280000
189,   186,   188, 0.6123660000, 1.3965900000
190, SUB7101_24-09-2015_Serengeti.fasta,   189, 4.6275260000, 0.3624580000
191, RAB12039_24-08-2011_Pemba.fasta, RAB12002_15-06-2012_Pemba.fasta, 0.1095310000, 0.9192470000
192, RV3229_05-01-2015_Serengeti.fasta,   191, 4.3752560000, 0.8986010000
193,   190,   192, 1.1078550000, 0.6423170000
194,   184,   193, 1.7992600000, 0.5235880000
195,   180,   194, 4.1654560000, 1.5867440000
196, SD577_30-09-2015_Serengeti.fasta, SD577sg_30-09-2015_Serengeti.fasta, 0.1902860000, 0.1902860000
197, RV3078_26-05-2013_Serengeti.fasta,   196, 0.8605450000, 3.0182040000
198, RV3093_22-12-2011_Serengeti.fasta, RV3092_16-12-2011_Serengeti.fasta, 0.3905160000, 0.3740770000
199,   197,   198, 1.5195410000, 0.5649130000
200, RV3109_12-04-2012_Serengeti.fasta, RV3107_09-04-2012_Serengeti.fasta, 0.4414100000, 0.4332130000
201, RV3122_30-03-2012_Serengeti.fasta, RV3124_07-05-2012_Serengeti.fasta, 0.1237920000, 0.2276180000
202, RV3105_22-03-2012_Serengeti.fasta,   201, 0.6859210000, 0.5839870000
203,   200,   202, 0.6925140000, 0.3906250000
204,   199,   203, 1.9301130000, 2.0577030000
205, RV3151_03-01-2012_Serengeti.fasta, RV3103_10-12-2011_Serengeti.fasta, 0.2911610000, 0.2254230000
206, RV3104_22-12-2011_Serengeti.fasta,   205, 0.5623820000, 0.3040820000
207, RV2903_05-10-2011_Serengeti.fasta, RV2900_28-09-2011_Serengeti.fasta, 0.3202810000, 0.3011030000
208,   206,   207, 1.9042000000, 1.9326010000
209,   204,   208, 0.8189060000, 1.2378670000
210,   195,   209, 1.4058090000, 1.7909090000
211,   176,   210, 1.3922980000, 1.9419560000
