"","AncId","Desc","Branch.Length"
"1","176","KY210264",751.290703164
"2","176","MN726833",2206.2907031775
"3","177","KY210254",22.227052118
"4","177","KY210253",29.227052121
"5","178","177",30.1112917405
"6","178","KY210256",47.338343872
"7","179","178",45.674076221
"8","179","KY210255",91.012420113
"9","180","KY210266",227.1646830655
"10","180","179",108.152262977
"11","181","176",371.015582447
"12","181","180",827.141602532
"13","182","KR906777",108.046096741
"14","182","KY210261",600.0460967485
"15","183","KY210277",40.793673339
"16","183","KY210310",96.7335640315
"17","184","KY210284",164.6892255605
"18","184","KY210283",117.817640878
"19","185","183",110.014339093
"20","185","184",84.941191226
"21","186","182",118.1727956965
"22","186","185",68.4108800025
"23","187","186",54.2528901115
"24","187","KY210233",122.4717825595
"25","188","KR906770",206.467973711
"26","188","187",84.9961911415
"27","189","188",235.7920987135
"28","189","KY210227",371.260072441
"29","190","KY210294",331.5626524025
"30","190","KR906784",340.5380622625
"31","191","189",227.0888373795
"32","191","190",671.3818858185
"33","192","KY210269",67.5178582275
"34","192","KY210270",66.5178582375
"35","193","192",114.9004736065
"36","193","KY210274",230.418331865
"37","194","193",132.7755872895
"38","194","KY210257",124.1939191355
"39","195","194",266.2666995915
"40","195","KR906789",202.9551542525
"41","196","KR906776",149.818464874
"42","196","195",208.3578461465
"43","197","196",194.145827678
"44","197","KY210237",242.9642925765
"45","198","KY210304",816.328266124
"46","198","197",207.8776347725
"47","199","KY210242",245.8565555695
"48","199","KY210279",398.8565555725
"49","200","KY210240",423.9328964595
"50","200","199",178.0763408535
"51","201","200",170.922255626
"52","201","KR534230",332.8551520775
"53","202","198",344.2850747
"54","202","201",214.2718499695
"55","203","191",347.391629339
"56","203","202",229.6135371235
"57","204","203",762.148976328
"58","204","KR906769",1766.8895154815
"59","205","181",2969.076086388
"60","205","204",1662.4928564945
"61","206","KR906734",724.5728852625
"62","206","KR534219",473.1002076625
"63","207","KY210281",58.6158419835
"64","207","KY210306",186.266115187
"65","208","207",112.1103170275
"66","208","KR534251",48.775339309
"67","209","208",72.7391519835
"68","209","KR906774",124.514491299
"69","210","KY210282",154.9404660375
"70","210","KY210280",158.929537058
"71","211","209",162.131105212
"72","211","210",257.636824464
"73","212","KR906785",356.077316288
"74","212","KY210285",261.3368791405
"75","213","212",400.442224817
"76","213","KR534231",175.9621640555
"77","214","213",123.729360385
"78","214","KR534234",368.691524444
"79","215","214",211.28827489
"80","215","KR534238",611.9797993425
"81","216","215",1917.3174423905
"82","216","KR534228",59.933853735
"83","217","211",2939.054087627
"84","217","216",479.4024424215
"85","218","206",1818.6090986015
"86","218","217",484.0096221445
"87","219","KY210223",2433.7558531845
"88","219","218",276.0465468945
"89","220","205",1886.326716219
"90","220","219",1426.9532350335
"91","221","DQ900560",1123.769484544
"92","221","DQ900548",1092.85418398
"93","222","DQ900559",1543.9717998075
"94","222","221",420.2023152635
"95","223","DQ900547",2286.6780276755
"96","223","222",803.539561177
"97","224","DQ900564",1977.6350744265
"98","224","DQ900563",1885.635074434
"99","225","DQ900565",4096.9584426525
"100","225","DQ900561",2421.958442649
"101","226","KR906790",88.2034221975
"102","226","KY210252",221.8373019865
"103","227","226",70.236034361
"104","227","KY210245",172.4012052215
"105","228","227",280.2498782805
"106","228","KY210311",349.9325042405
"107","229","228",361.776791361
"108","229","KY210263",1060.0344322235
"109","230","KR906779",90.571080071
"110","230","KY210309",192.2923915135
"111","231","230",272.64264621
"112","231","KR534252",214.347606048
"113","232","229",1179.2470785735
"114","232","231",1457.9339047615
"115","233","232",6015.4936638525
"116","233","DQ900550",2402.7751746235
"117","234","225",1215.036002765
"118","234","233",2238.219270788
"119","235","224",3978.4126091815
"120","235","234",736.0532381465
"121","236","223",4819.1169379235
"122","236","235",1879.580615326
